Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2019",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Jackson,3,0,0,0,3,23,6,12,5,0
,Jefferson,2,0,1,0,1,26,11,12,3,0
,Kossuth,6,3,3,0,0,32,22,8,2,0
,Lee,15,0,2,0,13,108,42,49,17,0
,Louisa,23,0,6,0,17,58,18,35,5,0
,Lucas,12,0,2,2,8,68,29,34,5,0
,Lyon,11,0,2,0,9,57,21,26,10,0
,Mahaska,23,0,1,0,22,64,22,31,11,0
,Marion,19,0,10,0,9,44,12,28,4,0
,Marshall,42,0,3,0,39,94,31,49,14,3
,Mitchell,0,0,0,0,0,5,2,3,0,0
,Monona,16,0,1,0,15,37,15,15,7,0
,Monroe,5,0,3,0,2,20,5,8,7,0
,Muscatine,21,1,7,1,12,56,29,20,7,0
,O'Brien,21,0,5,0,16,57,12,41,4,1
,Osceola,14,0,1,0,13,73,14,57,2,0
,Page,3,0,1,0,2,26,9,11,6,0
,Palo Alto,15,0,2,0,13,48,23,21,4,0
,Plymouth,13,0,3,0,10,45,15,23,7,0
,Ringgold,4,0,0,0,4,21,4,16,1,0
,Sac,6,0,1,0,5,32,10,20,2,1
,Shelby,3,0,0,0,3,14,6,7,1,1
,Sioux,7,0,3,0,4,50,12,35,3,0
,Tama,23,0,1,0,22,57,22,23,12,0
,Taylor,8,0,0,0,8,14,3,8,3,1
,Union,4,0,0,0,4,46,14,28,4,0
,Van Buren,4,0,0,0,4,58,24,31,3,0
,Wapello,25,0,2,0,23,91,33,45,13,2
,Wayne,8,0,0,0,8,28,13,12,3,1
,Webster,27,0,4,0,23,113,41,59,13,2
,Winneshiek,9,0,2,0,7,12,1,8,3,0
,Worth,6,0,1,0,5,27,7,19,1,0
,Wright,4,0,1,0,3,21,4,14,3,1
KANSAS - Metropolitan Counties,Butler,49,0,12,1,36,301,61,201,39,3
,Doniphan,1,0,0,0,1,8,3,4,1,0
,Geary,15,1,1,0,13,32,8,19,5,0
,Harvey,11,0,0,1,10,24,12,11,1,0
,Jackson,15,0,3,0,12,122,17,96,9,1
,Jefferson,33,0,11,1,21,224,25,164,35,1
,Johnson,50,0,10,2,38,220,24,163,33,1
,Linn,13,1,2,0,10,86,26,52,8,1
,Osage4,14,0,1,1,12,,,31,10,1
,Pottawatomie,27,0,5,1,21,177,42,111,24,4
,Riley County Police Department4,263,1,32,21,209,,,998,105,13
,Sedgwick,94,2,21,3,68,205,61,109,35,3
,Shawnee,87,1,8,3,75,958,250,589,119,2
,Sumner,12,0,2,2,8,156,65,75,16,3
,Wabaunsee,14,0,2,0,12,77,29,45,3,2
,Wyandotte,21,0,4,2,15,92,6,82,4,0
KANSAS - Nonmetropolitan Counties,Allen,14,0,3,0,11,51,22,22,7,0
,Anderson,8,0,0,0,8,31,13,14,4,0
,Barber,6,0,0,1,5,19,4,13,2,0
,Barton,20,1,3,0,16,69,15,52,2,0
,Bourbon,10,0,0,0,10,33,7,19,7,1
,Brown,5,0,0,0,5,16,5,8,3,0
,Clark,3,0,0,0,3,14,1,13,0,0
,Clay,2,0,0,1,1,5,0,5,0,0
,Cowley,30,0,8,0,22,125,45,67,13,1
,Crawford,22,1,2,1,18,157,1,125,31,2
,Dickinson,23,0,2,0,21,106,33,64,9,1
,Edwards,0,0,0,0,0,15,5,9,1,0
,Ellis,14,0,0,2,12,32,10,20,2,1
,Ellsworth,8,0,1,0,7,47,26,16,5,1
,Finney,28,1,5,2,20,135,28,83,24,1
,Ford,13,0,0,0,13,59,15,34,10,0
,Franklin,52,0,6,1,45,155,54,81,20,4
,Gove,4,0,2,0,2,7,2,4,1,0
,Grant,2,0,0,0,2,13,5,7,1,0
,Gray,4,0,2,0,2,42,6,33,3,0
,Greenwood,25,0,4,0,21,72,18,46,8,1
,Hamilton,9,0,1,1,7,21,3,16,2,0
,Haskell,0,0,0,0,0,22,5,15,2,0
,Jewell,2,0,1,0,1,16,10,5,1,0
,Kearny,12,0,3,0,9,74,14,55,5,0
,Kingman,3,0,0,0,3,30,8,19,3,0
,Kiowa,3,0,0,0,3,18,9,8,1,0
,Labette,6,0,0,0,6,55,22,29,4,0
,Logan,1,0,0,0,1,10,0,9,1,0
,Lyon,17,0,7,0,10,57,18,36,3,0
,Marion,9,0,1,0,8,40,17,17,6,0
,McPherson,14,0,1,0,13,37,15,20,2,0
,Mitchell,2,0,0,0,2,29,12,12,5,0
,Montgomery4,27,0,2,1,24,,,76,17,3
,Morris,7,0,0,0,7,21,8,10,3,0
,Nemaha,5,0,0,0,5,51,4,39,8,1
,Neosho,8,0,1,0,7,30,13,14,3,1
,Ness,8,0,0,0,8,18,5,11,2,0
,Osborne,1,0,0,0,1,26,14,10,2,0
,Phillips,5,0,0,0,5,5,2,2,1,0
,Pratt,5,0,1,0,4,20,13,5,2,0
,Reno,32,0,4,0,28,178,64,96,18,0
,Rice,4,0,0,0,4,28,3,20,5,0
,Rooks,3,1,1,0,1,16,5,10,1,1
,Rush,11,0,0,1,10,31,11,18,2,0
,Russell,5,0,1,0,4,40,13,22,5,0
,Seward,4,1,0,0,3,19,6,8,5,2
,Thomas,4,0,0,0,4,19,2,15,2,0
,Washington,3,0,0,0,3,5,3,0,2,0
,Wichita,4,0,0,0,4,5,1,3,1,0
,Wilson,10,0,2,0,8,47,14,28,5,1
,Woodson,1,0,0,0,1,19,7,11,1,0
KENTUCKY - Metropolitan Counties,Allen,8,0,2,1,5,86,38,37,11,2
,Boone,66,0,24,15,27,817,152,553,112,5
,Bourbon,3,0,1,0,2,55,16,31,8,0
,Boyd,20,0,5,0,15,181,67,94,20,0
,Bracken,2,0,0,1,1,50,12,25,13,0
,Bullitt,20,0,5,5,10,347,90,205,52,1
,Butler,2,0,0,0,2,32,10,15,7,0
,Campbell,0,0,0,0,0,0,0,0,0,0
,Campbell County Police Department,13,0,7,1,5,141,38,79,24,0
,Carter,6,1,0,1,4,57,13,24,20,0
,Christian,18,0,6,2,10,258,88,133,37,1
,Clark,6,0,2,2,2,142,54,67,21,0
,Daviess,20,2,9,1,8,374,93,242,39,4
,Edmonson,9,0,0,0,9,22,4,12,6,0
,Fayette,0,0,0,0,0,0,0,0,0,0
,Gallatin,2,0,0,0,2,17,11,3,3,0
,Grant,6,0,2,1,3,135,33,79,23,0
,Greenup,3,0,0,1,2,34,4,18,12,0
,Hancock,2,0,1,0,1,27,8,12,7,0
,Hardin,16,1,3,3,9,140,39,79,22,3
,Henderson,19,1,4,0,14,163,48,93,22,1
,Henry,1,0,0,0,1,8,4,1,3,0
,Jefferson,1,0,0,0,1,0,0,0,0,0
,Jessamine,14,0,7,1,6,206,59,121,26,2
,Kenton,0,0,0,0,0,6,0,5,1,0
,Kenton County Police Department,19,0,7,5,7,116,41,69,6,2
,Larue,3,0,0,1,2,18,4,5,9,0
,McLean,2,0,1,0,1,53,27,18,8,0
,Meade,14,0,0,2,12,122,48,52,22,1
,Oldham,0,0,0,0,0,3,2,1,0,0
,Oldham County Police Department,25,0,13,4,8,455,87,337,31,6
,Pendleton,4,0,0,1,3,60,15,40,5,1
,Scott,8,1,0,2,5,161,35,104,22,0
,Shelby,18,0,3,4,11,244,56,162,26,1
,Spencer,0,0,0,0,0,43,13,24,6,0
,Trigg,6,0,1,0,5,98,42,51,5,0
,Warren,39,1,16,5,17,537,165,313,59,0
,Woodford,0,0,0,0,0,14,1,12,1,0
KENTUCKY - Nonmetropolitan Counties,Adair,1,0,0,0,1,5,1,3,1,0
,Anderson,2,0,0,0,2,15,4,7,4,0
,Ballard,9,0,1,0,8,62,21,32,9,0
,Barren,30,1,2,3,24,84,22,43,19,0
,Bath,4,0,0,0,4,33,11,17,5,0
,Bell,18,0,0,0,18,137,54,66,17,0
,Boyle,6,0,1,2,3,34,12,18,4,1
,Breathitt,2,2,0,0,0,10,6,3,1,0
,Breckinridge,7,1,0,1,5,40,13,13,14,1
,Caldwell,2,0,0,0,2,22,4,12,6,0
,Calloway,10,0,4,1,5,194,68,110,16,4
,Carlisle,2,0,0,1,1,19,5,13,1,1
,Carroll,5,0,1,3,1,54,18,27,9,1
,Casey,1,0,0,0,1,44,27,9,8,0
,Clay,4,1,0,0,3,95,30,32,33,1
,Clinton,0,0,0,0,0,15,2,6,7,0
,Crittenden,1,0,1,0,0,24,10,9,5,0
,Cumberland,0,0,0,0,0,10,6,1,3,0
,Elliott,0,0,0,0,0,0,0,0,0,0
,Estill,2,0,0,1,1,29,6,18,5,0
,Fleming,2,0,0,0,2,12,4,8,0,0
,Floyd,5,0,1,0,4,50,6,30,14,0
,Franklin,25,1,4,2,18,209,43,119,47,0
,Fulton,0,0,0,0,0,13,4,7,2,0
,Garrard,0,0,0,0,0,0,0,0,0,0
,Garrard County Police Department,3,0,0,0,3,69,21,36,12,0
,Graves,28,0,15,3,10,223,81,120,22,1
,Grayson,4,0,0,3,1,84,25,45,14,1
,Green,2,0,1,0,1,2,2,0,0,0
,Harlan,1,0,1,0,0,39,21,14,4,1
,Harrison,7,0,0,2,5,73,23,41,9,1
,Hart,3,0,1,1,1,79,32,30,17,0
,Hickman,0,0,0,0,0,13,5,6,2,0
,Hopkins,18,0,2,0,16,204,56,128,20,1
,Jackson,4,0,0,0,4,76,23,30,23,0
,Johnson,4,0,1,0,3,45,20,13,12,0
,Knott,2,0,0,1,1,26,4,17,5,0
,Knox,17,0,1,4,12,81,23,27,31,0
,Laurel,25,1,1,6,17,460,112,229,119,0
,Lawrence,3,0,0,2,1,42,11,16,15,0
,Lee,1,0,0,1,0,5,2,2,1,0
,Leslie,1,0,0,0,1,17,2,6,9,0
,Letcher,1,0,0,0,1,13,0,11,2,0
,Lewis,4,0,1,0,3,18,10,5,3,0
,Lincoln,5,0,0,0,5,57,16,21,20,0
,Livingston,2,0,0,0,2,52,19,26,7,0
,Logan,26,0,10,1,15,80,39,36,5,2
,Lyon,3,0,0,2,1,60,22,34,4,0
,Madison,18,0,4,3,11,226,60,139,27,0
,Magoffin,1,0,1,0,0,19,3,8,8,0
,Marion,3,0,0,2,1,49,22,23,4,1
,Marshall,19,0,7,2,10,204,61,119,24,0
,Martin,4,0,0,0,4,13,2,4,7,0
,Mason,4,0,0,0,4,73,36,26,11,0
,McCracken,38,1,16,5,16,472,137,289,46,2
,McCreary,1,0,0,0,1,58,12,30,16,0
,Menifee,0,0,0,0,0,10,2,4,4,0
,Mercer,2,0,0,0,2,49,17,30,2,0
,Metcalfe,2,0,0,0,2,34,21,9,4,0
,Monroe,0,0,0,0,0,9,1,6,2,0
,Montgomery,10,1,2,1,6,285,96,150,39,0
,Morgan,2,0,0,0,2,14,5,7,2,0
,Muhlenberg,14,0,0,2,12,66,24,31,11,2
,Nelson,22,0,6,0,16,213,57,122,34,3
,Nicholas,0,0,0,0,0,2,1,0,1,1
,Ohio,19,0,10,0,9,116,33,56,27,1
,Owen,2,0,1,0,1,28,14,9,5,0
,Owsley,0,0,0,0,0,16,3,3,10,0
,Perry,8,1,2,0,5,51,15,17,19,0
,Pike,2,0,1,0,1,33,4,24,5,0
,Powell,0,0,0,0,0,8,2,4,2,0
,Pulaski,30,0,13,3,14,315,135,124,56,2
,Robertson,0,0,0,0,0,8,1,6,1,0
,Rockcastle,3,0,1,1,1,40,15,15,10,1
,Rowan,8,0,4,1,3,65,27,31,7,1
,Russell,3,0,2,0,1,63,15,42,6,2
,Simpson,2,0,1,0,1,40,11,19,10,0
,Taylor,13,1,4,1,7,148,63,74,11,0
,Todd,1,0,0,0,1,45,24,13,8,0
,Trimble,0,0,0,0,0,11,4,4,3,1
,Union,3,0,0,0,3,35,12,19,4,0
,Washington,6,0,1,1,4,43,25,13,5,0
,Wayne,8,0,5,1,2,35,7,23,5,2
,Webster,0,0,0,0,0,21,7,9,5,0
,Whitley,9,0,0,1,8,176,78,67,31,0
,Wolfe,0,0,0,0,0,18,7,7,4,0
LOUISIANA - Metropolitan Counties,Acadia,109,4,10,8,87,514,192,271,51,0
,Ascension,340,3,21,37,279,"1,519",260,"1,150",109,8
,Assumption,70,1,6,0,63,215,25,182,8,0
,Bossier,64,2,4,1,57,467,99,345,23,1
,Caddo,8,1,1,0,6,309,46,245,18,1
,Calcasieu,583,4,80,26,473,"3,819",869,"2,669",281,3
,De Soto,72,1,6,4,61,358,92,245,21,0
,East Baton Rouge,609,18,53,149,389,"6,475",729,"5,433",313,4
,East Feliciana,70,4,2,2,62,131,32,85,14,0
,Iberville,206,0,2,6,198,335,55,279,1,0
,Jefferson,"1,240",45,99,264,832,"9,618","1,079","8,014",525,45
,Lafourche,231,12,24,0,195,"2,084",451,"1,530",103,6
,Livingston,550,9,53,16,472,"2,948",681,"2,094",173,0
,Morehouse,30,2,4,4,20,226,58,142,26,0
,Ouachita,425,7,42,39,337,"2,512",599,"1,724",189,7
,Plaquemines,37,0,2,1,34,108,20,82,6,1
,Pointe Coupee,154,3,3,1,147,286,66,194,26,0
,Rapides,326,5,40,21,260,"1,512",554,850,108,8
,St. Charles,133,3,4,19,107,762,133,592,37,5
,St. Helena,54,5,1,1,47,137,27,101,9,0
,St. James,59,2,0,0,57,371,124,226,21,1
,St. John the Baptist,93,10,2,0,81,965,175,755,35,1
,St. Martin,156,3,21,8,124,627,153,417,57,0
,St. Tammany,259,8,32,13,206,"1,485",286,"1,076",123,3
,Tangipahoa,688,10,36,78,564,"2,350",647,"1,463",240,8
,West Baton Rouge,85,2,6,15,62,545,66,427,52,6
,West Feliciana,34,0,3,1,30,60,13,42,5,0
LOUISIANA - Nonmetropolitan Counties,Allen7,19,1,8,0,10,,26,,28,0
,Beauregard,18,1,5,0,12,241,55,166,20,1
,Bienville,83,0,12,3,68,196,60,118,18,1
,Caldwell,38,1,0,0,37,207,60,132,15,0
,Claiborne,16,0,0,1,15,51,12,35,4,1
,Concordia,73,0,4,18,51,304,95,196,13,0
,East Carroll,21,5,3,0,13,28,8,18,2,1
,Franklin,58,2,0,1,55,143,32,102,9,0
,Jackson,6,0,0,0,6,52,14,34,4,0
,La Salle,30,0,2,1,27,66,28,31,7,0
,Lincoln,79,0,7,0,72,197,39,147,11,0
,Madison,11,1,0,0,10,27,8,18,1,1
,Natchitoches,79,2,7,4,66,371,92,245,34,0
,Red River,33,0,0,1,32,136,45,84,7,0
,Richland,12,1,3,1,7,40,20,18,2,2
,Sabine,27,1,8,0,18,194,8,186,0,0
,St. Landry,159,4,0,13,142,746,326,370,50,0
,St. Mary,121,0,12,9,100,563,121,400,42,1
,Tensas,6,0,1,1,4,18,8,9,1,0
,Vernon,58,1,8,4,45,451,87,327,37,1
,Washington,274,0,48,13,213,657,174,418,65,4
,Webster,21,2,7,1,11,151,64,65,22,0
,West Carroll,33,1,5,1,26,57,4,48,5,0
,Winn,32,2,2,1,27,63,21,24,18,0
MAINE - Metropolitan Counties,Androscoggin,13,0,5,1,7,100,25,69,6,1
,Cumberland,29,0,9,2,18,285,57,207,21,0
,Penobscot,5,0,0,2,3,226,46,163,17,0
,Sagadahoc6,8,0,1,1,6,58,17,36,5,1
,York,20,0,4,4,12,291,70,209,12,0
MAINE - Nonmetropolitan Counties,Aroostook,6,0,0,0,6,77,25,48,4,0
,Franklin,6,0,4,0,2,38,7,30,1,0
,Hancock,4,0,1,0,3,72,16,49,7,0
,Kennebec,21,0,4,1,16,174,51,117,6,0
,Knox,5,0,0,0,5,156,21,122,13,1
,Lincoln,25,0,19,0,6,128,29,92,7,0
,Oxford,25,0,13,3,9,223,56,156,11,0
,Piscataquis,4,0,2,0,2,45,10,32,3,0
,Somerset,33,0,14,3,16,296,59,212,25,6
,Waldo6,13,0,0,1,12,75,33,38,4,0
,Washington,14,0,1,0,13,82,26,54,2,0
MARYLAND - Metropolitan Counties,Allegany,43,0,8,4,31,178,51,119,8,
,Anne Arundel,0,0,0,0,0,0,0,0,0,0
,Anne Arundel County Police Department,"1,580",16,148,371,"1,045","9,594","1,045","7,986",563,31
,Baltimore County,0,0,0,0,0,0,0,0,0,0
,Baltimore County Police Department,"4,718",50,382,"1,155","3,131","20,246","2,539","16,114","1,593",144
,Calvert,111,0,18,18,75,760,109,618,33,3
,Cecil,69,2,5,12,50,398,95,273,30,1
,Charles,539,5,64,118,352,"2,213",284,"1,778",151,9
,Frederick,196,0,20,23,153,"1,183",153,979,51,9
,Harford,252,5,32,45,170,"1,624",257,"1,275",92,1
,Howard,0,0,0,0,0,1,0,1,0,0
,Howard County Police Department,512,8,57,167,280,"4,303",428,"3,612",263,26
,Montgomery,7,0,0,0,7,0,0,0,0,0
,Montgomery County Police Department,"1,491",15,288,512,676,"14,209","1,329","12,016",864,6
,Prince George's County Police Department6,"1,983",50,185,831,917,"10,750","1,253","7,426","2,071",44
,Queen Anne's,45,0,5,4,36,317,52,249,16,3
,Somerset,6,0,1,0,5,40,2,38,0,0
,St. Mary's,202,1,20,39,142,"1,663",301,"1,297",65,6
,Washington,254,0,19,30,205,"1,081",261,787,33,0
,Wicomico,50,0,6,10,34,486,119,350,17,1
,Worcester,15,0,4,2,9,248,33,207,8,1
MARYLAND - Nonmetropolitan Counties,Caroline,12,0,2,6,4,184,61,112,11,1
,Dorchester,15,0,2,1,12,137,31,98,8,0
,Garrett,60,0,11,0,49,159,37,119,3,0
,Kent,5,0,2,1,2,94,33,58,3,1
,Talbot,19,0,5,0,14,111,39,70,2,0
MICHIGAN - Metropolitan Counties,Bay,68,1,15,7,45,422,80,324,18,1
,Berrien,117,0,37,7,73,689,106,532,51,8
,Cass,0,0,0,0,0,0,0,0,0,0
,Clinton,14,0,5,0,9,97,19,62,16,0
,Eaton,154,2,46,21,85,981,114,808,59,2
,Genesee4,155,1,16,5,133,,,347,32,3
,Ingham,182,2,50,12,118,479,104,336,39,0
,Ionia,61,1,31,1,28,217,35,164,18,1
,Kalamazoo,290,2,56,34,198,"2,529",493,"1,814",222,5
,Kent,390,4,135,30,221,"2,325",333,"1,850",142,7
,Lapeer,55,1,26,1,27,180,44,112,24,0
,Livingston,63,0,23,5,35,416,48,347,21,3
,Macomb,272,1,69,30,172,"1,046",193,758,95,6
,Midland,47,0,24,0,23,259,53,196,10,0
,Montcalm,18,0,6,0,12,109,30,74,5,2
,Muskegon,68,1,29,2,36,421,87,314,20,2
,Oakland,23,0,6,5,12,37,2,30,5,1
,Ottawa,571,3,216,32,320,"2,081",331,"1,650",100,22
,Saginaw,99,0,28,10,61,522,74,435,13,1
,Shiawassee,15,0,5,0,10,152,49,95,8,1
,St. Clair,146,1,38,9,98,540,129,372,39,7
,Washtenaw,574,3,71,55,445,"1,655",268,"1,218",169,8
,Wayne,20,0,1,0,19,1,0,1,0,0
MICHIGAN - Nonmetropolitan Counties,Alcona,10,0,1,0,9,62,12,50,0,0
,Alger,3,0,0,0,3,2,1,1,0,0
,Allegan,100,0,14,3,83,535,112,369,54,3
,Alpena,23,0,9,0,14,51,12,39,0,0
,Antrim,33,1,12,0,20,130,36,85,9,2
,Arenac,25,0,7,1,17,71,35,33,3,2
,Baraga,3,0,0,0,3,15,4,9,2,0
,Barry,83,2,53,2,26,304,78,205,21,0
,Benzie,19,0,4,0,15,38,6,28,4,1
,Branch,13,0,3,0,10,119,38,67,14,1
,Charlevoix,30,0,12,0,18,96,41,52,3,1
,Cheboygan,22,0,9,0,13,30,8,21,1,0
,Chippewa,6,0,3,0,3,11,3,8,0,1
,Crawford,21,0,5,0,16,95,40,50,5,1
,Delta,4,0,1,0,3,46,2,41,3,0
,Dickinson,1,0,1,0,0,0,0,0,0,0
,Emmet,50,0,10,0,40,72,10,60,2,1
,Gladwin,31,0,2,0,29,115,49,61,5,2
,Gogebic,4,0,1,0,3,29,6,22,1,1
,Grand Traverse,145,2,57,4,82,510,65,430,15,4
,Gratiot,34,1,12,1,20,273,19,239,15,2
,Hillsdale,70,0,18,0,52,133,57,60,16,6
,Huron,16,0,7,1,8,91,31,57,3,1
,Iosco,3,0,0,0,3,1,0,1,0,0
,Iron,0,0,0,0,0,0,0,0,0,0
,Isabella,47,0,20,3,24,256,51,186,19,2
,Keweenaw,1,0,1,0,0,13,5,8,0,0
,Leelanau,7,0,2,0,5,39,11,27,1,0
,Lenawee,45,2,19,2,22,169,54,105,10,4
,Luce,35,0,1,0,34,84,15,67,2,0
,Mackinac,10,0,2,0,8,107,9,97,1,0
,Manistee,39,0,17,0,22,118,19,94,5,2
,Marquette,15,0,6,1,8,87,3,77,7,1
,Mason,36,2,7,0,27,138,29,106,3,0
,Mecosta,99,1,15,1,82,378,85,269,24,9
,Menominee,19,1,5,0,13,63,34,28,1,0
,Missaukee,26,0,5,0,21,51,8,40,3,2
,Montmorency,9,0,1,0,8,17,5,10,2,1
,Newaygo,40,0,8,0,32,241,80,152,9,2
,Oceana,46,0,5,0,41,186,56,122,8,1
,Ogemaw,12,0,4,0,8,138,42,94,2,1
,Ontonagon,8,0,0,0,8,14,3,8,3,0
,Osceola,31,0,13,0,18,140,34,98,8,0
,Oscoda,18,0,7,0,11,74,18,47,9,1
,Otsego,0,0,0,0,0,2,1,1,0,0
,Presque Isle,10,0,2,0,8,33,6,23,4,0
,Sanilac,34,0,3,2,29,87,34,41,12,0
,Schoolcraft,1,0,0,0,1,4,0,3,1,0
,St. Joseph,67,1,15,2,49,224,81,113,30,2
,Tuscola,61,1,18,1,41,160,56,91,13,1
,Van Buren,97,1,32,1,63,376,114,231,31,3
,Wexford,25,0,15,0,10,260,92,153,15,0
MINNESOTA - Metropolitan Counties,Anoka6,75,0,18,7,50,936,112,731,93,0
,Benton,9,0,5,1,3,173,41,101,31,1
,Blue Earth,24,0,8,0,16,105,25,66,14,0
,Carlton,12,0,4,0,8,166,56,93,17,1
,Carver,38,0,16,4,18,497,77,401,19,1
,Chisago,12,0,0,2,10,152,18,119,15,0
,Clay,7,0,1,2,4,58,22,29,7,0
,Dakota,17,0,2,0,15,48,13,34,1,1
,Dodge6,11,0,1,0,10,104,27,71,6,0
,Fillmore,9,0,2,0,7,59,11,46,2,1
,Hennepin,20,0,0,0,20,44,5,35,4,0
,Houston6,5,0,0,0,5,29,15,13,1,0
,Isanti,15,0,4,0,11,232,43,165,24,1
,Lake,0,0,0,0,0,19,14,5,0,0
,Le Sueur,4,0,2,0,2,60,4,53,3,0
,Mille Lacs,34,0,14,2,18,354,94,225,35,0
,Nicollet,7,0,6,1,0,52,13,37,2,0
,Olmsted6,40,1,3,3,33,228,57,153,18,2
,Polk6,34,1,4,0,29,167,49,112,6,0
,Ramsey,141,1,22,27,91,"1,249",158,930,161,8
,Scott,4,0,0,0,4,25,8,15,2,0
,Sherburne,30,2,5,1,22,272,26,226,20,2
,Stearns,21,0,12,1,8,164,32,124,8,0
,St. Louis6,50,1,22,0,27,566,208,303,55,5
,Wabasha,7,0,1,0,6,22,3,16,3,0
,Washington,52,0,27,7,18,579,116,428,35,2
,Wright,98,0,45,3,50,"1,396",127,"1,204",65,3
MINNESOTA - Nonmetropolitan Counties,Aitkin6,11,1,3,0,7,167,59,99,9,0
,Becker,29,0,11,0,18,134,57,59,18,2
,Beltrami,50,2,13,2,33,268,74,164,30,3
,Big Stone,0,0,0,0,0,14,5,7,2,0
,Brown6,5,0,2,0,3,31,6,21,4,0
,Cass6,37,1,5,3,28,486,143,293,50,1
,Chippewa,2,0,0,0,2,1,0,1,0,0
,Clearwater,10,0,1,0,9,47,19,24,4,1
,Cook,10,0,5,0,5,47,6,36,5,0
,Cottonwood6,2,0,0,0,2,13,6,3,4,0
,Crow Wing,15,0,6,0,9,210,71,121,18,1
,Douglas,18,0,4,1,13,180,50,114,16,1
,Faribault,12,0,0,0,12,27,8,11,8,0
,Freeborn,11,0,1,0,10,84,28,48,8,6
,Goodhue,10,0,4,0,6,171,39,103,29,0
,Grant,2,0,0,0,2,6,1,5,0,0
,Hubbard,18,0,9,0,9,170,46,105,19,1
,Itasca6,46,1,15,0,30,134,35,79,20,3
,Jackson6,6,0,0,0,6,30,11,16,3,0
,Kandiyohi,25,0,10,1,14,170,32,121,17,1
,Kittson,0,0,0,0,0,0,0,0,0,0
,Koochiching,6,0,1,0,5,32,7,19,6,0
,Lac qui Parle6,0,0,0,0,0,20,3,14,3,0
,Lake of the Woods,6,0,1,0,5,9,4,3,2,0
,Lyon6,4,0,1,0,3,34,13,15,6,1
,Mahnomen,10,0,1,0,9,42,14,23,5,1
,Martin,0,0,0,0,0,14,5,7,2,0
,McLeod,11,0,6,0,5,55,10,40,5,0
,Meeker,4,0,0,1,3,103,21,77,5,0
,Morrison,10,0,0,0,10,195,45,128,22,1
,Mower,9,0,2,0,7,68,18,40,10,0
,Murray6,2,0,0,0,2,6,1,5,0,0
,Nobles,6,0,1,0,5,35,10,21,4,0
,Norman,0,0,0,0,0,0,0,0,0,0
,Otter Tail,30,0,8,1,21,214,65,135,14,0
,Pennington,2,0,0,1,1,45,21,20,4,0
,Pine,138,0,42,3,93,563,126,374,63,4
,Pipestone,5,0,0,0,5,80,14,64,2,0
,Pope,6,0,1,1,4,49,18,26,5,0
,Red Lake6,3,0,2,0,1,16,0,15,1,0
,Redwood,6,0,0,0,6,44,9,32,3,0
,Renville,5,0,2,0,3,81,18,55,8,0
,Rice,18,0,7,1,10,142,42,92,8,0
,Rock,7,0,1,0,6,57,14,29,14,0
,Roseau,6,0,2,0,4,31,2,27,2,0
,Sibley,2,0,0,0,2,1,1,0,0,0
,Steele,12,0,3,2,7,76,17,48,11,0
,Stevens,2,0,1,0,1,33,9,24,0,0
,Swift,2,0,0,1,1,2,0,1,1,0
,Todd6,17,2,7,0,8,140,39,91,10,1
,Traverse6,6,0,1,0,5,12,1,6,5,0
,Wadena,10,0,2,0,8,10,1,8,1,0
,Waseca,4,0,3,0,1,55,13,41,1,0
,Watonwan6,8,0,5,0,3,26,15,10,1,1
,Wilkin,0,0,0,0,0,20,6,11,3,0
,Winona,6,0,2,0,4,79,14,60,5,0
,Yellow Medicine,3,0,1,0,2,35,8,24,3,1
MISSISSIPPI - Metropolitan Counties,DeSoto,35,2,7,4,22,359,86,228,45,1
,Hancock,28,0,2,6,20,516,108,354,54,1
,Harrison,60,2,12,17,29,869,172,559,138,4
,Hinds,111,5,6,6,94,383,150,169,64,0
,Jackson,135,1,30,11,93,"1,388",292,860,236,7
,Lamar,87,3,20,10,54,637,166,434,37,2
,Madison8,,2,,3,28,223,78,125,20,2
,Stone,47,1,15,1,30,174,56,96,22,3
,Tunica8,,4,,7,25,383,72,261,50,2
MISSISSIPPI - Nonmetropolitan Counties,Choctaw,6,1,1,0,4,57,14,40,3,0
,Claiborne,21,2,1,1,17,87,62,8,17,0
,George6,21,0,7,0,14,315,82,184,49,5
,Lauderdale,27,2,4,8,13,410,230,139,41,10
,Leflore8,,4,,15,67,250,71,163,16,4
,Lincoln,31,0,1,11,19,299,86,203,10,0
,Oktibbeha8,,0,,3,33,464,319,135,10,5
,Tishomingo,15,0,6,1,8,115,43,57,15,0
MISSOURI - Metropolitan Counties,Andrew,1,0,0,0,1,41,12,24,5,0
,Bates,34,0,6,1,27,120,51,69,0,0
,Buchanan,41,0,17,2,22,213,38,113,62,4
,Caldwell,20,2,0,0,18,87,21,54,12,0
,Christian,64,0,5,1,58,250,85,137,28,
,Clinton,16,0,4,1,11,53,12,36,5,0
,Cole,34,1,0,1,32,381,62,286,33,1
,Dallas,5,0,0,0,5,23,6,12,5,0
,DeKalb,5,1,0,0,4,51,16,25,10,1
,Franklin7,37,0,4,2,31,,,135,55,3
