Program Name City and State,Number of Examinees,Percent Passing
"Mount Carmel Health System Program Grove City, OH",24,83%
"Ohio State University Hospital Program Columbus, OH",88,97%
"Ohio State University Hospital Program Columbus, OH<br>(Combined Internal Medicine-Pediatrics)",29,97%
"OhioHealth/Doctors Hospital Program Columbus, OH",19,79%
"OhioHealth/Riverside Methodist Hospital Program Columbus, OH",42,100%
"St Elizabeth Youngstown Hospital/NEOMED Program Youngstown, OH",24,100%
"St Vincent Charity Medical Center Program Cleveland, OH",46,93%
"Summa Health System/NEOMED Program Akron, OH",51,88%
"The MetroHealth System/Case Western Reserve University Program Cleveland, OH",68,93%
"The MetroHealth System/Case Western Reserve University Program Cleveland, OH<br>(Combined Internal Medicine-Pediatrics)",11,82%
"TriHealth (Good Samaritan Hospital) Program Cincinnati, OH",26,92%
"University Hospitals Osteopathic Consortium (UHOC) Program Richmond Heights, OH",11,73%
"University of Cincinnati Medical Center/College of Medicine Program Cincinnati, OH",87,99%
"University of Cincinnati Medical Center/College of Medicine Program Cincinnati, OH<br>(Combined Internal Medicine-Pediatrics)",19,95%
"University of Toledo Program Toledo, OH",49,94%
"Western Reserve Health Education/NEOMED Program Warren, OH",25,84%
"Wright State University Program Dayton, OH",76,93%
"Oklahoma State University Center for Health Sciences Program Tulsa, OK",20,95%
"University of Oklahoma Health Sciences Center Program Oklahoma City, OK",46,98%
"University of Oklahoma School of Community Medicine (Tulsa) Program
Tulsa, OK",28,100%
"Legacy Health/Emanuel Medical Center Program Portland, OR",48,96%
"Oregon Health & Science University Program Portland, OR",101,100%
"Providence Health & Services - Oregon/Providence Medical Center Program
Portland, OR",26,92%
"Providence Health & Services - Oregon/St Vincent Hospital and Medical Center Program
Portland, OR",25,96%
"Samaritan Health Services - Corvallis Program Corvallis, OR",20,95%
"Abington Memorial Hospital Program Abington, PA",39,92%
"Albert Einstein Healthcare Network Program Philadelphia, PA",76,97%
"Allegheny Health Network Medical Education Consortium (AGH) Program
Pittsburgh, PA",89,93%
"Conemaugh Memorial Medical Center Program Johnstown, PA",20,100%
"Crozer-Chester Medical Center Program Upland, PA",24,88%
"Geisinger Health System (Danville) Program Danville, PA",51,98%
"Geisinger Health System (Danville) Program Danville, PA<br>(Combined Internal Medicine-Pediatrics)",14,93%
"Jefferson Health Northeast Program Philadelphia, PA",13,23%
"Lake Erie College of Osteopathic Medicine Program Erie, PA",10,20%
"Lehigh Valley Health Network/University of South Florida College of Medicine Program
Allentown, PA",48,94%
"Main Line Health System/Lankenau Medical Center Program Wynnewood, PA",41,100%
"Mercy Catholic Medical Center Program Darby, PA",48,90%
"Nazareth Hospital Program Philadelphia, PA",13,69%
"Penn State Milton S Hershey Medical Center Program Hershey, PA",64,92%
"Penn State Milton S Hershey Medical Center Program Hershey, PA<br>(Combined Internal Medicine-Pediatrics)",10,80%
"Pennsylvania Hospital of the University of Pennsylvania Health System Program
Philadelphia, PA",38,97%
"Philadelphia College of Osteopathic Medicine Program Philadelphia, PA",12,67%
"Robert Packer Hospital/Guthrie Program Sayre, PA",24,88%
"Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program
Philadelphia, PA",113,97%
"St Luke's University Hospital Program Bethlehem, PA",21,100%
"St Luke's University Hospital/Easton Hospital Program Easton, PA",24,100%
"Suburban Community Hospital Program East Norriton, PA",12,58%
"Temple University Hospital Program Philadelphia, PA",99,94%
"Tower Health Program West Reading, PA",35,94%
"University of Pennsylvania Health System Program Philadelphia, PA",149,98%
"University of Pennsylvania Health System Program Philadelphia, PA<br>(Combined Internal Medicine-Pediatrics)",12,100%
"UPMC Medical Education (McKeesport Hospital) Program McKeesport, PA",38,100%
"UPMC Medical Education (Mercy) Program Pittsburgh, PA",62,95%
"UPMC Medical Education Program Pittsburgh, PA",152,96%
"UPMC Medical Education Program Pittsburgh, PA<br>(Combined Internal Medicine-Pediatrics)",12,100%
"UPMC Pinnacle Hospitals Program Harrisburg, PA",37,89%
"Wellspan Health/York Hospital Program York, PA",34,100%
"Wright Center for Graduate Medical Education Program A Scranton, PA",66,88%
"Damas Hospital Program Ponce, PR",21,95%
"Hospital de la Concepcion Program San German, PR",15,60%
"Hospital Episcopal San Lucas/Ponce School of Medicine Program Ponce, PR",16,75%
"Ramon Betances Hospital-Mayaguez Medical Center/Ponce School of Medicine Consortium Program
Mayaguez, PR",20,90%
"San Juan City Hospital Program San Juan, PR",32,94%
"Universidad Central del Caribe Program Bayamon, PR",24,79%
"University of Puerto Rico Program San Juan, PR",46,96%
"VA Caribbean Healthcare System Program San Juan, PR",57,95%
"Brown University Program Providence, RI",123,91%
"Brown University Program Providence, RI<br>(Combined Internal Medicine-Pediatrics)",12,92%
"Kent Hospital/Brown University Program Warwick, RI",32,91%
"Roger Williams Medical Center Program Providence, RI",37,89%
"HCA Healthcare Grand Strand Regional Medical Center Program Myrtle Beach, SC",30,100%
"Medical University of South Carolina Program Charleston, SC",72,99%
"Prisma Health/University of South Carolina SOM Columbia (Columbia) Program
Columbia, SC",36,94%
"Prisma Health/University of South Carolina SOM Greenville (Greenville) Program
Greenville, SC",33,100%
"Prisma Health/University of South Carolina SOM Greenville (Greenville) Program
Greenville, SC<br>(Combined Internal Medicine-Pediatrics)",15,100%
"University of South Dakota Program Sioux Falls, SD",25,100%
"East Tennessee State University/Quillen College of Medicine Program
Johnson City, TN ",70,91.00%
"Meharry Medical College Program
Nashville, TN ",42,88.00%
"University of Tennessee (Nashville) Program
Nashville, TN",23,96.00%
"University of Tennessee College of Medicine at Chattanooga Program
Chattanooga, TN ",29,93.00%
"University of Tennessee Medical Center at Knoxville Program
Knoxville, TN ",33,97.00%
"University of Tennessee Program
Memphis, TN ",84,92.00%
"University of Tennessee Program
Memphis, TN <br>(Combined Internal Medicine-Pediatrics) ",33,94.00%
"Vanderbilt University Medical Center Program
Nashville, TN",129,95.00%
"Vanderbilt University Medical Center Program
Nashville, TN<br>(Combined Internal Medicine-Pediatrics)",17,100.00%
"Program Name City and State
Baylor College of Medicine Program Houston, TX",162,Err:502
"Program Name City and State
Baylor College of Medicine Program Houston, TX<br>(Combined Internal Medicine-Pediatrics)                                                        24              100%",24,1
"Baylor University Medical Center Program Dallas, TX",34,97.00%
"HCA Healthcare Corpus Christi Medical Center - Bay Area Program Corpus Christi, TX",31,68.00%
"HCA Medical City Fort Worth Program Fort Worth, TX",23,78.00%
"Methodist Health System Dallas Program Dallas, TX",33,97.00%
"Methodist Hospital (Houston) Program Houston, TX",50,100.00%
"San Antonio Uniformed Services Health Education Consortium Program
JBSA Fort Sam Houston, TX                                                                          81",81,95%
"Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program
Temple, TX",65,98.00%
"Texas Health Resources Program Dallas, TX",16,100.00%
"Texas Tech University (Amarillo) Program Amarillo, TX",33,94.00%
"Texas Tech University (Permian Basin) Program Odessa, TX",42,83.00%
"Texas Tech University Health Sciences Center at Lubbock Program Lubbock, TX",38,92.00%
"Texas Tech University HSC El Paso Program El Paso, TX",42,100%
"University of Texas at Austin Dell Medical School Program Austin, TX",45,89%
"University of Texas Health Science Center at Houston Program Houston, TX",122,93%
"University of Texas Health Science Center at Houston Program Houston, TX<br>(Combined Internal Medicine-Pediatrics)",17,76%
"University of Texas Health Science Center at Tyler/Good Shepherd Medical Center (Longview) Program
Longview, TX",34,100%
"University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program
San Antonio, TX",94,95%
"University of Texas Medical Branch Hospitals Program Galveston, TX",76,92%
"University of Texas RGV (DHR) Program Edinburg, TX",33,94%
"University of Texas RGV (VBMC) Program Harlingen, TX",27,93%
"University of Texas Southwestern Medical Center Program Dallas, TX",161,97%
"William Beaumont Army Medical Center Program El Paso, TX",26,92%
"University of Utah Health Program Salt Lake City, UT",93,100%
"University of Vermont Medical Center Program Burlington, VT",45,91%
"Carilion Clinic-Virginia Tech Carilion School of Medicine Program Roanoke, VA",52,100%
"Eastern Virginia Medical School Program Norfolk, VA",39,92%
"HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program Blacksburg, VA",12,58%
"HCA Healthcare LewisGale Medical Center Program Salem, VA",14,86%
"Inova Fairfax Medical Campus Program Falls Church, VA",29,97%
"Naval Medical Center (Portsmouth) Program Portsmouth, VA",28,89%
"Norton Community Hospital Program Norton, VA",11,36%
"Sovah Health-Danville Program Danville, VA",13,46%
"University of Virginia Medical Center Program Charlottesville, VA",98,100%
"Virginia Commonwealth University Health System Program Richmond, VA",92,96%
"Virginia Commonwealth University Health System Program Richmond, VA<br>(Combined Internal Medicine-Pediatrics)",12,92%
"Madigan Army Medical Center Program Tacoma, WA",37,97%
"Spokane Teaching Health Center Program Spokane, WA",29,93%
"University of Washington Program Seattle, WA",165,97%
"Virginia Mason Medical Center Program Seattle, WA",28,93%
"Charleston Area Medical Center/West virginia University (Charleston Division) Program
Charleston, WV",29,86%
"Marshall University School of Medicine Program Huntington, WV",46,89%
"West Virginia University Program Morgantown, WV",62,95%
"West Virginia University Program Morgantown, WV<br>(Combined Internal Medicine-Pediatrics)",11,91%
"West Virginia University School of Medicine/Camden-Clark Program Parkersburg, WV",11,36%
"Aurora Health Care Program Milwaukee, WI",42,93%
"Gundersen Lutheran Medical Foundation Program La Crosse, WI",22,95%
"Marshfield Clinic Program Marshfield, WI",27,85%
"Medical College of Wisconsin Affiliated Hospitals Program Milwaukee, WI",80,99%
"Medical College of Wisconsin Affiliated Hospitals Program Milwaukee, WI<br>(Combined Internal Medicine-Pediatrics)",17,94%
"University of Wisconsin Hospitals and Clinics Program Madison, WI",84,100%
