ACGME residency program code,9990100001,9990300006,9990300226,9990300227,9990400008,9990400009,9990500008,9990500010,9990500013,9990500151,9990500244,9990500245,9990500246,9990500248,9990500250,9990500252,9990700018,9990800238,9990900021,9991000024,9991100229,9991100230,9991100231,9991100232,9991100233,9991100234,9991100235,9991100237,9991100238,9991100239,9991100241,9991100242,9991100243,9991100244,9991100245,9991200026,9991200029,9991200234,9991200235,9991200236,9991200237,9991200238,9991400030,9991600032,9991600033,9991600035,9991600037,9991600038,9991600207,9991600232,9991700040,9991700041,9991700157,9991800042,9991800220,9992000001,9992300049,9992400054,9992400158,9992400159,9992400160,9992400199,9992400246,9992500056,9992500057,9992500058,9992500060,9992500062,9992500067,9992500068,9992500178,9992500190,9992500253,9992500255,9992500259,9992500260,9992500261,9992500262,9992500263,9992500264,9992600069,9992700001,9992800071,9993100001,9993100002,9993300241,9993300242,9993300243,9993300244,9993400001,9993500080,9993500084,9993500241,9993500257,9993500258,9993500259,9993500261,9993500262,9993500264,9993500265,9993500266,9993500267,9993500268,9993500269,9993600001,9993600002,9993600003,9993600004,9993600005,9993600006,9993700086,9993800087,9993800093,9993800095,9993800096,9993800165,9993800250,9993800260,9993800262,9993800263,9993900001,9994100103,9994100104,9994100106,9994100115,9994100119,9994100212,9994100249,9994100250,9994100251,9994100253,9994100254,9994100255,9994100256,9994100257,9994200125,9994200213,9994200249,9994200256,9994500182,9994500252,9994500253,9994600230,9994700130,9994800133,9994800137,9994800168,9994800254,9994800256,9994800257,9994800258,9994800259,9994900142,9995100170,9995100193,9995100206,9995400144,9995400145,9995400146,9995500248,9995600147,9995600148,9995600184
Comparison to Matched Applicants: Research experiences,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is above the range observed among matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,-,-,Your number of experiences is in the top 25% of matched applicants,-,-,Your number of experiences is in the top 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,-,-,Your number of experiences is in the top 25% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the top 25% of matched applicants,-,-,-,-,-,-,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is above the range observed among matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the top 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants
Comparison to Matched Applicants: Volunteer experiences,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the lower 25% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is below the range observed among matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,-,-,-,-,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants
Comparison to Matched Applicants: Work experiences,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants
Range of average USMLE Step 1 score of current residents,Greater than 245,236-245,236-245,,,210-225,,236-245,,,226-235,,210-225,Greater than 245,Greater than 245,,226-235,,,,,210-225,,236-245,,226-235,,236-245,,226-235,236-245,226-235,236-245,,,,,236-245,,,,226-235,,,Greater than 245,236-245,,226-235,236-245,,,236-245,236-245,236-245,236-245,210-225,226-235,Greater than 245,Greater than 245,236-245,236-245,236-245,226-235,,Greater than 245,,210-225,,226-235,,,,Greater than 245,236-245,226-235,236-245,Greater than 245,226-235,,,,,,,226-235,,,226-235,,226-235,226-235,236-245,236-245,236-245,,226-235,210-225,226-235,226-235,,,,,,,,,,236-245,,210-225,,236-245,,236-245,236-245,236-245,236-245,210-225,,,,,226-235,236-245,226-235,Greater than 245,226-235,,,,226-235,210-225,,,,,,,Greater than 245,,226-235,236-245,,,,236-245,,210-225,226-235,226-235,226-235,236-245,236-245,,,,236-245,,,226-235,Greater than 245,236-245
Range of average COMLEX Level 1 score of current residents,Greater than 600,Greater than 600,,,,541-600,,,,,541-600,,Below 450,,541-600,,541-600,,,,,450-500,,501-540,,Greater than 600,,Greater than 600,,501-540,541-600,541-600,541-600,,Greater than 600,,,501-540,,541-600,,541-600,,,541-600,,,450-500,,,541-600,541-600,501-540,541-600,541-600,501-540,501-540,Greater than 600,,,501-540,,,,541-600,,541-600,,,,,,Greater than 600,541-600,501-540,541-600,541-600,,,,,Greater than 600,,,501-540,,,450-500,450-500,501-540,541-600,Greater than 600,,541-600,Greater than 600,501-540,450-500,541-600,501-540,,501-540,,,,,,,,Greater than 600,,450-500,,Greater than 600,,541-600,Greater than 600,541-600,450-500,501-540,,,,,501-540,,501-540,501-540,Greater than 600,,,450-500,541-600,,,450-500,,,,,,541-600,541-600,541-600,Greater than 600,,,Greater than 600,,,501-540,,,,Greater than 600,,,,Greater than 600,,,,,Greater than 600
Percentage of matched applicants who were members of Alpha Omega Alpha (at the time of application),36,31,,,,,,57,35,,14,8,6,55,,,11,15,,,9,9,6,9,20,,,17,,16,20,10,,,0,15,,20,39,0,0,,,22,40,16,29,14,36,,41,27,13,10,35,,17,14,42,3,2,7,37,32,47,19,2,16,,5,15,33,29,22,,,,,,,32,,40,3,11,,,,,,12,17,47,5,17,0,10,8,,7,,,,,,,,,,,15,24,37,20,25,18,,,,,,8,21,0,21,40,28,,,21,,,,,,13,,,,40,24,20,59,18,63,,24,,,,,,74,35,,,66,24,,26,24,62,18
Percentage of matched applicants who were members of Gold Humanism Honor Society (at the time of application),4,3,,,,,,11,8,,2,0,0,0,,,0,0,,,2,2,0,0,4,,,0,,0,0,0,,,0,6,,3,7,0,0,,,4,0,0,4,2,4,,11,7,0,0,0,,2,6,2,0,2,3,2,3,9,1,0,5,,3,0,0,4,0,,,,,,,3,,3,0,0,,,,,,2,0,5,2,2,0,0,0,,0,,,,,,,,,,,5,2,0,9,5,5,,,,,,0,7,0,4,7,1,,,0,,,,,,0,,,,3,3,0,7,4,3,,4,,,,,,4,3,,,3,5,,4,6,4,2
Percentage of matched applicants who were members of Sigma Sigma Phi (at the time of application),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program consider applicants with J-1 visa?,No,,Yes,No,No,No,,No,No,,Yes,,No,No,Yes,No,No,No,Yes,,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,,No,Yes,No,No,No,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,No,Yes,No,,No,No,No,No,No,,No,Yes,No,Yes,No,Yes,Yes,No,No,,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,,Yes,Yes,No,No,Yes,No,Yes,No,,Yes,,Yes,No,No,No,No,No,,,Yes,No,No,Yes,Yes,Yes,Yes
Program consider applicants with H-1B visa?,No,,Yes,No,No,No,,No,No,,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,,,No,No,No,Yes,No,,No,No,No,Yes,No,No,,No,Yes,No,,No,No,No,No,No,,No,No,No,No,No,Yes,Yes,No,No,,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,No,,No,Yes,No,No,No,No,No,No,,No,,No,No,No,No,No,No,,,No,No,No,No,Yes,No,No
Program consider applicants with F-1 Visa (OPT 1st year)?,No,,Yes,No,No,No,,No,Yes,,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,No,No,No,No,No,,,No,No,No,Yes,No,,No,No,No,Yes,No,No,,No,Yes,No,,No,No,No,No,No,,No,No,No,No,No,,No,No,No,,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,,Yes,,No,No,No,No,No,No,No,No,,No,,No,No,No,No,No,No,,,No,No,No,No,No,No,Yes
Average hours/week in year one that resident works (excluding beeper call),60,70,60,50,65,56,,52,60,,60,,50,40,40,60,60,60,60,,65,80,80,65,55,60,65,52,,58,70,0,60,58,,65,80,40,,52,72,60,,40,56,55,60,72,60,65,52,50,50,60,60,,70,60,56,60,70,66,60,60,50,50,65,48,60,50,60,60,50,60,50,60,50,40,50,,55,80,60,60,65,,,80,,50,60,50,60,80,72,40,60,55,60,65,70,60,80,,72,,70,,60,,60,60,60,65,50,58,60,60,60,60,60,60,58,60,70,60,40,56,40,50,72,60,65,58,,60,,65,40,55,45,60,46,55,60,,60,,60,60,40,55,55,60,60,,52,60,60,80,60,45,60
Maximum consecutive hours resident is allowed to work in year one (excluding beeper call),24,16,16,16,24,24,,24,16,,16,,,12,,12,12,12,16,,16,12,14,12,24,16,12,24,,24,24,12,24,16,,10,24,16,,,16,12,,16,8,16,16,16,16,24,24,24,16,24,24,,12,16,12,16,16,28,14,14,16,28,16,16,30,16,24,24,24,16,24,24,24,24,12,,26,12,24,16,12,,,16,,16,16,16,16,16,14,16,16,13,12,12,24,24,24,,24,,14,,16,,16,16,16,16,16,24,16,24,16,,24,12,16,16,28,16,24,24,16,12,13,24,14,17,24,24,,24,16,16,15,13,24,16,24,,30,,24,12,12,12,24,16,28,,16,24,16,24,24,13,18
Program allows residents (beyond PGY1) to moonlight?,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
% of training spent in year 1 in hospital outpatient clinics,,20,60,,,10,,,8,,8,,,,,10,0,40,,,8,12,10,0,,25,20,15,,10,30,20,0,25,,20,25,15,,8,12,30,,10,10,,10,15,15,,30,10,30,15,20,50,18,10,10,8,5,16,8,35,25,10,10,8,,,25,45,,10,5,10,10,,10,,10,50,15,25,0,,,17,,25,20,10,8,15,8,10,0,20,15,,33,8,50,,,,7,,,,33,30,10,8,8,10,15,,95,,0,10,0,,8,8,20,15,,15,0,,25,,,7,,33,10,20,40,25,,20,25,,20,,10,,,92,25,20,33,,46,10,75,10,40,10,6
% of training spent in year 1 in ambulatory nonhospital community-based settings,10,5,40,20,8,10,,15,,,25,,,10,,15,42,,30,,8,12,20,10,25,0,0,15,,30,10,0,15,8,,,,5,,50,,20,,10,0,10,10,10,8,10,5,30,10,10,15,,10,,,,,,8,10,10,10,10,8,18,10,5,35,60,15,20,10,8,,10,,,50,,20,50,,,17,,25,,,,,0,,4,,15,,,,25,,,,15,,,,8,5,,8,8,10,10,10,5,,10,10,10,8,,5,0,10,,10,5,,25,,,2,,33,,10,0,25,52,10,15,,,,10,20,10,8,10,25,,,,20,,8,,10,10
"Average hours/week in year one of program spent in structured didactic activities (e.g., lectures, conferences)",6,8,5,4,4,5,,10,6,,4,,0,5,6,5,10,8,6,,5,8,8,10,9,5,70,7,999,8,5,5,8,9,5,9,4,6,4,6,6,5,,10,10,10,6,6,4,7,1,6,5,6,8,5,10,8,8,10,8,5,10,10,2,5,8,6,5,10,7,8,4,7,5,10,5,3,4,,4,5,5,5,7,,0,5,,4,5,6,6,5,5,4,5,10,5,65,9,5,4,,5,0,10,0,8,,5,5,8,10,7,4,5,5,4,0,4,,8,10,10,7,10,4,10,5,8,6,66,7,6,5,,6,4,3,4,5,1,8,4,,4,,5,8,8,4,7,5,10,8,6,7,5,8,3,10,6
Program curriculum includes a dedicated research rotation,NA,OPT,REQ,NA,OPT,OPT,,OPT,OPT,,OPT,,NA,NA,REQ,NA,OPT,OPT,OPT,,OPT,OPT,NA,OPT,NA,NA,OPT,OPT,NA,REQ,NA,OPT,NA,OPT,OPT,OPT,OPT,OPT,NA,OPT,OPT,OPT,,OPT,OPT,REQ,NA,NA,NA,OPT,NA,OPT,NA,OPT,OPT,NA,OPT,NA,OPT,NA,OPT,OPT,OPT,OPT,OPT,OPT,NA,OPT,NA,OPT,OPT,OPT,NA,NA,NA,OPT,OPT,OPT,NA,,NA,OPT,OPT,NA,NA,,NA,NA,,OPT,OPT,NA,OPT,OPT,OPT,NA,NA,OPT,REQ,NA,NA,OPT,REQ,,NA,NA,OPT,NA,NA,,REQ,OPT,OPT,OPT,OPT,OPT,OPT,OPT,NA,NA,REQ,REQ,OPT,OPT,OPT,OPT,OPT,OPT,NA,OPT,REQ,NA,NA,OPT,,OPT,,NA,OPT,NA,NA,OPT,OPT,NA,REQ,,OPT,,REQ,NA,NA,NA,OPT,OPT,OPT,OPT,OPT,NA,OPT,OPT,OPT,OPT,OPT
