Program,Total residents per year,Pass %,,,,,,,,,,,
"Emory University Program Dunwoody, Georgia
1201221562                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Memorial Satilla Health Program Waycross, Georgia
1201221637                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Floyd Medical Center Program Rome, Georgia
1201231094                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Hawaii Health Systems Corporation - Hilo Medical Center Program Hilo, Hawaii
1201400650                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Tripler Army Medical Center Program Honolulu, Hawaii
1201421502                                                                                                                                                                                                                          2/5/2021",6,96.77%,,,,,,,,,,,
"University of Hawaii Program Aiea, Hawaii
1201421541                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Kootenai Health Program Coeur d'Alene, Idaho
1201500734                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Family Medicine Residency of Idaho Nampa Program Nampa, Idaho
1201500735                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Idaho State University Rural Program Pocatello, Idaho
1201500736                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"HCA Healthcare/Eastern Idaho Regional Medical Center Program Idaho Falls, Idaho
1201500737                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Family Medicine Residency of Idaho Program Boise, Idaho
1201511097                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"Idaho State University Program Pocatello, Idaho
1201521521                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Family Medicine Residency of Idaho Rural Program Boise, Idaho
1201521588                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Family Medicine Residency of Idaho (Magic Valley) Rural Program Boise, Idaho
1201521698                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"McGaw Medical Center of Northwestern University Program Grayslake, Illinois
1201600702                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Franciscan St. James Health Program Olympia Fields, Illinois
1201600703                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Carle Foundation Hospital/Carle Bromenn Medical Center Program Normal, Illinois
1201600704                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"Norwegian American Hospital Program Chicago, Illinois
1201600705                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"McGaw Medical Center of Northwestern University (Delnor) Program Geneva, Illinois
1201600706                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Carle Foundation Hospital Urbana, Illinois
1201600707                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Swedish Covenant Hospital Program Chicago, Illinois
1201600709                                                                                                                                                                                                                          2/5/2021",2,83.33%,,,,,,,,,,,
"Mercyhealth GME Consortium Program Rockford, Illinois
1201600710                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Lawndale Christian Health Center Program Chicago, Illinois
1201600711                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Southern Illinois University School of Medicine Program Alton, Illinois
1201600712                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"MacNeal Hospital Program Berwyn, Illinois
1201611098                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"Southern Illinois University (Carbondale) Program Carbondale, Illinois
1201611099                                                                                                                                                                                                                          2/5/2021",6,96.00%,,,,,,,,,,,
"John H. Stroger Hospital of Cook County Program Chicago, Illinois
1201611100                                                                                                                                                                                                                          2/5/2021",12,96.55%,,,,,,,,,,,
"Resurrection Medical Center Program Chicago, Illinois
1201611102                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"St Joseph Hospital Chicago, Illinois
1201611103                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Advocate Lutheran General Hospital Program Park Ridge, Illinois
1201611107                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Adventist La Grange Memorial Hospital Program La Grange, Illinois
1201611110                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"University of Illinois College of Medicine at Peoria Program Peoria, Illinois
1201611113                                                                                                                                                                                                                          2/5/2021",10,95.24%,,,,,,,,,,,
"University of Illinois College of Medicine (Rockford) Rural Program Dixon, Illinois
1201611675                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Jackson Park Hospital Program Chicago, Illinois
1201612363                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Saints Mary and Elizabeth Medical Center Program Chicago, Illinois
1201612693                                                                                                                                                                                                                          2/5/2021",12,96.61%,,,,,,,,,,,
"McGaw Medical Center of Northwestern University/Erie-Humboldt Park Program Chicago, Illinois
1201612701                                                                                                                                                                                                                          2/5/2021",7,97.14%,,,,,,,,,,,
"Adventist Hinsdale Hospital Program Hinsdale, Illinois
1201621109                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Southern Illinois University Program Springfield, Illinois
1201621117                                                                                                                                                                                                                          2/5/2021",10,97.78%,,,,,,,,,,,
"Southern Illinois University (Decatur) Program Decatur, Illinois
1201621354                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Advocate Christ Medical Center Program Oak Lawn, Illinois
1201621364                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Southern Illinois University (Quincy) Program Quincy, Illinois
1201621365                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"St Louis University School of Medicine (Belleville) Program O'Fallon, Illinois
1201621427                                                                                                                                                                                                                          2/5/2021",14,94.03%,,,,,,,,,,,
"University of Illinois College of Medicine at Chicago/Advocate Illinois Masonic Med Ctr Program Chicago, Illinois
1201621467                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Illinois College of Medicine at Chicago Program Chicago, Illinois
1201621488                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Rush University Medical Center/Copley Memorial Hospital Program Aurora, Illinois
1201621604                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"University of Chicago (NorthShore) Program Glenview, Illinois
1201621654                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Swedish Covenant Hospital Program Chicago, Illinois
1201631106                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"West Suburban Medical Center Program Oak Park, Illinois
1201631112                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"University of Illinois College of Medicine at Rockford Program Rockford, Illinois
1201631115                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Mount Sinai Hospital Medical Center of Chicago Program Chicago, Illinois
1201631618                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC)/Reid Health Program Richmond, Indiana
1201700003                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Community Health Network, Inc. Program Greenwood, Indiana
1201700718                                                                                                                                                                                                                          2/5/2021",2,,,,,,,,,,,,
"Indiana University School of Medicine (Arnett) Program Lafayette, Indiana
1201700719                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Indiana University School of Medicine (Jasper) Program Jasper, Indiana
1201700720                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Community Hospitals of Indianapolis Program Indianapolis, Indiana
1201711123                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Franciscan Health Indianapolis Program Indianapolis, Indiana
1201711125                                                                                                                                                                                                                          2/5/2021",8,97.37%,,,,,,,,,,,
"Indiana University School of Medicine Program Indianapolis, Indiana
1201711126                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"St Vincent Hospital and Health Care Center Program Indianapolis, Indiana
1201711127                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Indiana University Health Ball Memorial Hospital Program Muncie, Indiana
1201711128                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Memorial Hospital of South Bend Program South Bend, Indiana
1201711129                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"St Joseph's Regional Medical Center (South Bend) Program Mishawaka, Indiana
1201711130                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Union Hospital Program Terre Haute, Indiana
1201711131                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Deaconess Hospital Program Evansville, Indiana
1201721119                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Fort Wayne Medical Education Program Fort Wayne, Indiana
1201721121                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Broadlawns Medical Center Program Des Moines, Iowa
1201811134                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Iowa Hospitals and Clinics Program Iowa City, Iowa
1201811136                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Genesis Health System (Quad Cities) Program Davenport, Iowa
1201821133                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Siouxland Medical Education Foundation Program Sioux City, Iowa
1201821137                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Northeast Iowa Medical Education Foundation Program Waterloo, Iowa
1201821138                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Mercy Medical Center (Mason City) Program Mason City, Iowa
1201821373                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Mercy Hospital Medical Center (Des Moines) Program Des Moines, Iowa
1201821598                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Cedar Rapids Medical Education Foundation Program Cedar Rapids, Iowa
1201822132                                                                                                                                                                                                                          2/5/2021",7,97.22%,,,,,,,,,,,
"Central Iowa Health System (Iowa Lutheran Hospital) Program Des Moines, Iowa
1201831135                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"University of Kansas School of Medicine Program Kansas City, Kansas
1201911139                                                                                                                                                                                                                          2/5/2021",9,97.78%,,,,,,,,,,,
"University of Kansas (Wichita)/Wesley Program Wichita, Kansas
1201911142                                                                                                                                                                                                                          2/5/2021",8,97.50%,,,,,,,,,,,
"University of Kansas (Wichita)/Salina Program Salina, Kansas
1201921366                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"University of Kansas (Wichita)/Via Christi Hospitals Wichita Program Wichita, Kansas
1201921630                                                                                                                                                                                                                          2/5/2021",18,98.88%,,,,,,,,,,,
"Appalachian Osteopathic Postgraduate Training Institute Consortium/Lake Cumberland Regional Hospital Program Somerset, Kentucky
1202000666                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Appalachian Osteopathic Postgraduate Training Institute Consortium Program Pikeville, Kentucky
1202000667                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Louisville School of Medicine (Owensboro) Program Owensboro, Kentucky
1202000669                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"St Elizabeth Medical Center Program Edgewood, Kentucky
1202011143                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Kentucky College of Medicine Program Lexington, Kentucky
1202021144                                                                                                                                                                                                                          2/5/2021",6,96.77%,,,,,,,,,,,
"University of Louisville Program Louisville, Kentucky
1202021145                                                                                                                                                                                                                          2/5/2021",8,97.50%,,,,,,,,,,,
"University of Kentucky College of Medicine (Hazard) Program Hazard, Kentucky
1202021512                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"University of Louisville (Glasgow) Program Glasgow, Kentucky
1202021613                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Trover Clinic Foundation Program Madisonville, Kentucky
1202031146                                                                                                                                                                                                                          2/5/2021",6,96.55%,,,,,,,,,,,
"University of Kentucky College of Medicine (Morehead) Rural Program Morehead, Kentucky
1202031663                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"University Medical Center/Louisiana State University (Lafayette) Program Lafayette, Louisiana
1202111149                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Louisiana State University Medical Center (Shreveport) Rural Program Shreveport, Louisiana
1202111567                                                                                                                                                                                                                          2/5/2021",3,92.86%,,,,,,,,,,,
"Louisiana State University (Bogalusa) Program Bogalusa, Louisiana
1202113695                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Louisiana State University (Shreveport) Program Shreveport, Louisiana
1202121150                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University Medical Center/Louisiana State University (Shreveport)/Monroe Program Monroe, Louisiana
1202121440                                                                                                                                                                                                                          2/5/2021",8,91.43%,,,,,,,,,,,
"Baton Rouge General Medical Center Program Baton Rouge, Louisiana
1202121560                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Louisiana State University (Lake Charles) Program Lake Charles, Louisiana
1202121594                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"East Jefferson General Hospital Program Metairie, Louisiana
1202121631                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Louisiana State University (Kenner) Program Kenner, Louisiana
1202121641                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Louisiana State University (Shreveport)/Rapides Regional Medical Center Program Alexandria, Louisiana
1202131566                                                                                                                                                                                                                          2/5/2021",6,96.43%,,,,,,,,,,,
"Central Maine Medical Center Program Lewiston, Maine
1202211153                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Eastern Maine Medical Center Program Bangor, Maine
1202212152                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Maine-Dartmouth Family Practice Program Augusta, Maine
1202222151                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Maine Medical Center Program Portland, Maine
1202231154                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Prince George's Hospital Center Program Cheverly, Maryland
1202300556                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Mountain State Osteopathic Postdoctoral Training Institutions (MSOPTI)/Meritus Medical Center Program Hagerstown, Maryland
1202300557                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Franklin Square Hospital Center Program Baltimore, Maryland
1202312155                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Maryland School of Medicine Baltimore, Maryland
1202321156                                                                                                                                                                                                                          2/5/2021",9,95.65%,,,,,,,,,,,
"Steward Carney Hospital Inc. Program Boston, Massachusetts
1202400688                                                                                                                                                                                                                          2/5/2021",0,100.00%,,,,,,,,,,,
"University of Massachusetts Program Worcester, Massachusetts
1202421160                                                                                                                                                                                                                          2/5/2021",12,95.16%,,,,,,,,,,,
"Greater Lawrence Family Health Center Program Lawrence, Massachusetts
1202421528                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Boston University Medical Center Program Boston, Massachusetts
1202421644                                                                                                                                                                                                                          2/5/2021",11,98.18%,,,,,,,,,,,
"University of Massachusetts (Fitchburg) Program Fitchburg, Massachusetts
1202431159                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Tufts University at Cambridge Health Alliance Program Malden, Massachusetts
1202431687                                                                                                                                                                                                                          2/5/2021",8,97.50%,,,,,,,,,,,
"Mercy Memorial Hospital System Program Monroe, Michigan
1202500719                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Detroit Medical Center/Wayne State University (Sinai Grace) Program Detroit, Michigan
1202500733                                                                                                                                                                                                                          2/5/2021",6,93.55%,,,,,,,,,,,
"Michigan State University Program Alma, Michigan
1202500734                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Lakeland Health Program Saint Joseph, Michigan
1202500735                                                                                                                                                                                                                          2/5/2021",3,92.31%,,,,,,,,,,,
"Metro Health University of Michigan Health (Metro Health) Program Wyoming, Michigan
1202500736                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"McLaren Oakland Program Pontiac, Michigan
1202500737                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Botsford Hospital Program Farmington Hills, Michigan
1202500738                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Henry Ford Allegiance Health Program Jackson, Michigan
1202500739                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Mercy Health Program Muskegon, Michigan
1202500740                                                                                                                                                                                                                          2/5/2021",3,,,,,,,,,,,,
"Ascension Macomb-Oakland Hospital Program Warren, Michigan
1202500741                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Henry Ford Macomb Hospital Program Clinton Township, Michigan
1202500742                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Detroit Wayne County Health Authority (Authority Health) GME Consortium Program Detroit, Michigan
1202500743                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"McLaren Oakland (Macomb) Program Clinton Township, Michigan
1202500744                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"McLaren Health Care/Greater Lansing/MSU Program Lansing, Michigan
1202500745                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"McLaren Health Care/Bay/MSU Program Bay City, Michigan
1202500746                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"Western Michigan University Homer Stryker MD School of Medicine (Battle Creek) Program Battle Creek, Michigan
1202500747                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Spectrum Health/Michigan State University Program Grand Rapids, Michigan
1202500748                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Garden City Hospital Program Garden City, Michigan
1202500749                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"St John Hospital and Medical Center Program St. Clair Shores, Michigan
1202511163                                                                                                                                                                                                                          2/5/2021",7,97.06%,,,,,,,,,,,
"Oakland Physicians Medical Center Program Pontiac, Michigan
1202512172                                                                                                                                                                                                                          2/5/2021",6,93.10%,,,,,,,,,,,
"Mercy Health Grand Rapids Program Grand Rapids, Michigan
1202521167                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"William Beaumont Hospital-Grosse Pointe Program St. Clair Shores, Michigan
1202521168                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Western Michigan University Homer Stryker MD School of Medicine Kalamazoo, Michigan
1202521169                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Sparrow Hospital/Michigan State University Program Lansing, Michigan
1202521170                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Providence Hospital and Medical Centers Program Southfield, Michigan
1202521175                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"U P Health System-Marquette Program Marquette, Michigan
1202521370                                                                                                                                                                                                                          2/5/2021",6,96.67%,,,,,,,,,,,
"William Beaumont Hospital Program Sterling Heights, Michigan
1202521374                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Michigan Program Ann Arbor, Michigan
1202521425                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
