ACGME residency program code,4300121002,4300300148,4300311003,4300400001,4300500147,4300511007,4300511014,4300513139,4300513143,4300521005,4300521006,4300521008,4300521013,4300521115,4300522132,4300713130,4300811017,4301021112,4301021113,4301112022,4301121023,4301131133,4301131136,4301221125,4301611028,4301611116,4301621027,4301622031,4301711032,4301811033,4301921034,4302011035,4302011036,4302311039,4302321040,4302411131,4302421044,4302511045,4302512046,4302512049,4302521048,4302621050,4302621051,4302731140,4302811054,4303021142,4303200002,4303313135,4303500146,4303511068,4303511071,4303511072,4303512145,4303521061,4303521063,4303521067,4303521070,4303521119,4303521122,4303522064,4303522126,4303611073,4303611075,4303621074,4303811077,4303811079,4303812078,4303821076,4303912137,4304021081,4304111086,4304121087,4304121123,4304121129,4304131127,4304521092,4304700129,4304712128,4304811097,4304812134,4304821098,4304821100,4304822099,4304831144,4304912102,4305111104,4305111106,4305421107,4305500001,4305621108,4305621109
Comparison to Matched Applicants: Work experiences,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants
Range of average USMLE Step 1 score of current residents,236-245,Greater than 245,210-225,210-225,236-245,,,226-235,,,,226-235,,,236-245,236-245,236-245,,,226-235,226-235,236-245,,226-235,236-245,226-235,236-245,236-245,,236-245,,Greater than 245,,236-245,Greater than 245,Greater than 245,Greater than 245,Greater than 245,,236-245,236-245,,236-245,236-245,Greater than 245,210-225,226-235,236-245,236-245,210-225,236-245,236-245,,236-245,236-245,,210-225,226-235,,226-235,,,226-235,Greater than 245,Greater than 245,236-245,,236-245,,Greater than 245,236-245,Greater than 245,236-245,236-245,226-235,,,236-245,226-235,,,210-225,Greater than 245,,236-245,Greater than 245,236-245,,,236-245,Greater than 245
Range of average COMLEX Level 1 score of current residents,,,,,,,,,,,,,,,Below 450,,,,,,,,,,,,,,,501-540,,,,,,,,,,,,,,Greater than 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of matched applicants who were members of Alpha Omega Alpha (at the time of application),27,,,,,,10,,13,,,20,0,,,10,35,,,,8,,42,22,,43,,,,,,,,10,36,18,,50,,9,,,60,,47,,,,,,,,,,20,15,,31,,,,60,,35,,17,40,,,,,38,8,,,,,33,,24,,,50,,42,,,15,,20,30
Percentage of matched applicants who were members of Gold Humanism Honor Society (at the time of application),13,,,,,,5,,0,,,7,0,,,10,6,,,,0,,8,0,,7,,,,,,,,5,7,6,,0,,0,,,0,,0,,,,,,,,,,7,0,,8,,,,0,,0,,17,7,,,,,10,8,,,,,8,,12,,,3,,8,,,8,,0,0
Percentage of matched applicants who were members of Sigma Sigma Phi (at the time of application),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program consider applicants with J-1 visa?,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes
Program consider applicants with H-1B visa?,Yes,Yes,No,Yes,No,No,,No,Yes,No,,No,,No,No,Yes,Yes,,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,Yes,,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes
Program consider applicants with F-1 Visa (OPT 1st year)?,No,Yes,No,Yes,No,No,,No,Yes,No,Yes,Yes,,No,No,Yes,,,,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,Yes,,No,Yes,No,,No,Yes,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No
Average hours/week in year one that resident works (excluding beeper call),50,50,50,50,50,50,45,50,55,40,40,50,,45,55,55,48,55,,50,50,45,45,55,50,48,45,55,40,55,55,55,45,55,55,50,45,50,,50,45,55,55,50,52,60,45,50,50,50,50,55,60,50,60,50,40,50,50,40,60,50,55,60,50,55,51,50,40,60,50,40,50,60,60,50,45,50,40,50,40,55,50,40,55,50,55,58,50,55,55
Maximum consecutive hours resident is allowed to work in year one (excluding beeper call),12,24,24,10,12,24,,12,14,16,12,10,,12,12,12,12,15,,12,12,12,10,14,24,10,16,14,16,10,10,12,10,14,16,10,8,16,,10,14,12,15,12,13,10,24,12,10,10,14,12,12,12,15,10,14,10,12,9,16,12,12,12,12,12,14,12,10,15,12,,15,12,12,12,12,10,12,12,14,12,12,8,14,10,12,14,,16,12
Program allows residents (beyond PGY1) to moonlight?,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
% of training spent in year 1 in hospital outpatient clinics,100,90,75,100,100,100,,100,100,100,80,100,,100,100,100,80,80,,100,50,100,100,90,90,,100,100,100,99,100,100,100,95,100,100,70,100,,90,100,95,100,80,,100,80,100,95,100,84,85,90,90,95,80,95,80,90,18,100,100,100,100,90,100,100,90,,90,90,80,75,100,100,80,50,100,80,98,100,95,100,100,90,100,100,95,,100,100
% of training spent in year 1 in ambulatory nonhospital community-based settings,,0,25,,,,,,0,,,,,,,,,,,,50,,,,,,0,,,,,,,5,0,,10,,,,0,5,,,,,0,,,,,,,99,5,,,99,0,,,,,0,10,,100,10,,,0,20,,0,,20,50,,,,,,0,,,,,5,,,
"Average hours/week in year one of program spent in structured didactic activities (e.g., lectures, conferences)",8,,,5,6,8,8,8,8,5,6,6,,,,7,6,10,,,10,8,5,15,8,10,6,,,,,,8,9,8,8,6,8,,10,5,8,8,12,8,,,10,5,10,8,7,,6,10,,15,8,,13,7,10,7,,,,6,12,,,8,,8,9,,7,2,10,14,,5,,7,,,9,8,,4,12,7
Program curriculum includes a dedicated research rotation,OPT,REQ,REQ,OPT,REQ,OPT,OPT,REQ,REQ,REQ,REQ,REQ,,REQ,REQ,REQ,OPT,OPT,,REQ,REQ,OPT,OPT,REQ,REQ,REQ,REQ,REQ,REQ,REQ,REQ,REQ,OPT,OPT,REQ,REQ,OPT,REQ,,REQ,OPT,REQ,REQ,REQ,REQ,REQ,REQ,REQ,REQ,REQ,OPT,OPT,REQ,REQ,REQ,REQ,REQ,OPT,REQ,OPT,OPT,REQ,OPT,REQ,REQ,REQ,REQ,OPT,REQ,REQ,REQ,REQ,REQ,REQ,REQ,OPT,NA,OPT,OPT,REQ,OPT,REQ,REQ,REQ,REQ,OPT,REQ,REQ,REQ,OPT,REQ
Percentage of residents who were US MD graduates,100,,,,,,100,,100,,,100,,,,,100,,,,100,,90,100,,100,,,,,,,,100,,100,,100,,92,,,100,,93,,,,,,,,,,100,,,,,,,,,100,,90,83,,,,,100,,,,,,,,100,,,100,,,,,,,,
Percentage of residents who were US DO graduates,0,,,,,,0,,0,,,0,,,,,0,,,,0,,0,0,,0,,,,,,,,0,,0,,0,,0,,,0,,0,,,,,,,,,,0,,,,,,,,,0,,0,17,,,,,0,,,,,,,,0,,,0,,,,,,,,
Percentage of residents who were US-citizen IMGs,0,,,,,,0,,0,,,0,,,,,0,,,,0,,0,0,,0,,,,,,,,0,,0,,0,,0,,,0,,0,,,,,,,,,,0,,,,,,,,,0,,10,0,,,,,0,,,,,,,,0,,,0,,,,,,,,
Percentage of residents who were non-US-citizen IMGs,0,,,,,,0,,0,,,0,,,,,0,,,,0,,10,0,,0,,,,,,,,0,,0,,0,,8,,,0,,7,,,,,,,,,,0,,,,,,,,,0,,0,0,,,,,0,,,,,,,,0,,,0,,,,,,,,
Percentage of completed residents with non-academic U.S. practice career plans,100,50,100,,50,67,0,0,0,0,,0,,100,33,25,0,33,0,75,67,100,33,78,25,40,50,33,0,60,67,33,50,75,20,8,75,20,50,33,100,100,17,0,14,50,,0,,0,0,67,0,40,18,50,67,0,50,0,0,40,60,33,0,60,0,75,33,50,60,0,25,67,67,100,100,60,0,50,75,75,23,50,75,33,75,60,,75,100
Percentage of completed residents with plans to continue training in another program,0,0,0,,0,0,13,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,33,0,25,0,0,0,33,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Percentage of completed residents with plans to obtain a full-time or part-time academic position,0,50,0,,50,33,88,100,80,0,,100,,0,67,75,100,67,0,25,33,0,67,22,25,60,25,67,100,40,33,67,0,13,80,92,25,80,50,67,0,0,83,100,86,50,,100,,100,67,33,75,60,82,50,0,67,50,100,100,60,40,50,100,40,100,25,67,0,40,100,75,33,0,0,0,40,100,50,25,25,77,50,0,67,25,40,,25,0
Percentage of completed residents with other career plans,0,0,0,,0,0,0,0,20,100,,0,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,50,13,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,33,0,0,0,0,0,0,0,0,0,25,0,0,0,,0,0
