Name of program,Type of program,Program code,Quota,Matched
Medical College of Georgia,Pediatrics,1985320C0,15,15
Medical College of Georgia,Psychiatry,1985400C0,7,7
Medical College of Georgia,Interventional Radiology (Integ),1985416A0,1,1
Medical College of Georgia,Radiology-Diagnostic,1985420A0,5,5
Medical College of Georgia,General Surgery,1985440C0,5,5
Medical College of Georgia,Surg-Prelim/Non-designated,1985440P1,2,0
Memorial Health-Univ Med Ctr-GA,Family Medicine,1971120C0,5,2
Memorial Health-Univ Med Ctr-GA,Internal Medicine,1971140C0,12,12
Memorial Health-Univ Med Ctr-GA,Medicine-Preliminary,1971140P0,4,0
Memorial Health-Univ Med Ctr-GA,Obstetrics-Gynecology,1971220C0,4,4
Memorial Health-Univ Med Ctr-GA,Pediatrics,1971320C0,8,3
Memorial Health-Univ Med Ctr-GA,Radiology-Diagnostic,1971420A0,4,4
Memorial Health-Univ Med Ctr-GA,General Surgery,1971440C0,5,5
Morehouse Sch of Med-GA,Family Medicine,2099120C0,6,6
Morehouse Sch of Med-GA,Internal Medicine,2099140C0,25,25
Morehouse Sch of Med-GA,Medicine-Preliminary,2099140P0,4,4
Morehouse Sch of Med-GA,Obstetrics-Gynecology,2099220C0,4,4
Morehouse Sch of Med-GA,Pediatrics,2099320C0,6,6
Morehouse Sch of Med-GA,Psychiatry,2099400C0,4,4
Morehouse Sch of Med-GA,General Surgery,2099440C0,3,3
Morehouse Sch of Med-GA,Surgery-Preliminary,2099440P0,6,2
Northeast Georgia Med Ctr,Family Medicine,2166120C0,12,12
Northeast Georgia Med Ctr,Internal Medicine,2166140C0,20,20
Northeast Georgia Med Ctr,General Surgery,2166440C0,6,6
Northside Hospital Gwinnett-GA,Family Medicine,1796120C0,5,5
Northside Hospital Gwinnett-GA,Internal Medicine,1796140C0,13,11
Northside Hospital Gwinnett-GA,Medicine-Preliminary,1796140P0,5,2
Northside Hospital Gwinnett-GA,Transitional,1796999P0,10,10
Phoebe Putney Mem Hosp-GA,Family Medicine,1020120C0,8,8
Piedmont Athens Regional-GA,Internal Medicine,1805140C0,20,20
Piedmont Athens Regional-GA,Transitional,1805999P0,10,7
Piedmont Columbus Regional-GA,Family Medicine,1118120C0,12,12
Redmond Regional Med Ctr-GA,Internal Medicine,1867140C0,16,4
Redmond Regional Med Ctr-GA,Transitional,1867999P0,13,12
Redmond Regional Med Ctr-GA,Family Medicine,2147120C0,4,1
WellStar Kennestone Reg Med Ctr-GA,Emergency Medicine,1814110C0,14,14
WellStar Kennestone Reg Med Ctr-GA,Family Medicine,1814120C0,8,8
WellStar Kennestone Reg Med Ctr-GA,Internal Medicine,1814140C0,17,17
WellStar Kennestone Reg Med Ctr-GA,Obstetrics-Gynecology,1814220C0,4,4
WellStar Kennestone Reg Med Ctr-GA,Transitional,1814999P0,20,20
Hilo Medical Center-HI,Family Medicine,1691120C0,5,5
Kaiser Permanente Hawaii,Internal Medicine,1727140C0,5,5
Tripler Army Med Ctr-HI,Internal Medicine,1431140C0,5,4
Tripler Army Med Ctr-HI (Continued),Radiology-Diagnostic,1431420C0,1,1
University of Hawaii,Family Medicine,3350120C0,7,7
University of Hawaii,Internal Medicine,3350140C0,17,17
University of Hawaii,Medicine-Primary,3350140M0,2,2
University of Hawaii,Medicine-Preliminary,3350140P0,3,3
University of Hawaii,Obstetrics-Gynecology,3350220C0,6,6
University of Hawaii,Ob-Gyn/Preliminary,3350220P0,1,0
University of Hawaii,Orthopaedic Surgery,3350260C0,1,1
University of Hawaii,Ortho Surgery/Research,3350260C1,1,1
University of Hawaii,Pathology,3350300C0,3,1
University of Hawaii,Pediatrics,3350320C0,8,7
University of Hawaii,Psychiatry,3350400C0,7,7
University of Hawaii,General Surgery,3350440C0,4,4
University of Hawaii,Surgery-Preliminary,3350440P0,2,0
Boise VA Med Ctr-ID,Internal Medicine,1172140C0,10,10
Boise VA Med Ctr-ID,Medicine-Preliminary,1172140P1,4,4
Eastern Idaho Reg Med Ctr,Family Medicine,2140120C0,6,5
Eastern Idaho Reg Med Ctr,Internal Medicine,2140140C0,10,3
Family Medicine Res of Idaho,Family Medicine,3039120C0,12,12
Family Medicine Res of Idaho,Family Med/Rural,3039120C1,3,3
Family Medicine Res of Idaho,Family Med/Magic Valley Rural,3039120C2,2,2
Family Medicine Res of Idaho,Family Med/Nampa,3039120C3,6,6
Idaho State University,Family Medicine,1005120C0,7,7
Idaho State University,Family Medicine/Rexburg,1005120C1,1,1
Kootenai Health-ID,Family Medicine,1593120C0,6,6
Advocate Health Care-IL,Anesthesiology/AIMMC,2117040C0,6,6
Advocate Health Care-IL,Anesthesiology/AIMMC,2117040R0,2,2
Advocate Health Care-IL,Emergency Medicine/ACMC,2117110C0,14,14
Advocate Health Care-IL,Family Medicine/ACMC,2117120C0,7,7
Advocate Health Care-IL,Family Medicine/AIMMC,2117120C1,8,8
Advocate Health Care-IL,Family Medicine/ALGH,2117120C2,9,9
Advocate Health Care-IL,Family Medicine/ABMC,2117120C3,2,2
Advocate Health Care-IL,Internal Medicine/AIMMC,2117140C0,16,16
Advocate Health Care-IL,Internal Medicine/ALGH,2117140C1,19,19
Advocate Health Care-IL,Med-Prelim/AIMMC,2117140P0,6,6
Advocate Health Care-IL,Med-Prelim/ALGH,2117140P1,8,8
Advocate Health Care-IL,Neurology,2117180C0,1,0
Advocate Health Care-IL,Obstetrics-Gynecology/AIMMC,2117220C0,3,3
Advocate Health Care-IL,Obstetrics-Gynecology/ALGH,2117220C1,4,4
Advocate Health Care-IL,Pediatrics/ACMC,2117320C0,13,13
Advocate Health Care-IL,Pediatrics/ALGH,2117320C1,14,14
Advocate Health Care-IL,Psychiatry/ALGH,2117400C0,3,3
Advocate Health Care-IL,Radiology-Diagnostic/AIMMC,2117420A0,3,3
Carle Foundation Hosp-IL,Family Medicine,1226120C0,6,4
Carle Foundation Hosp-IL,Internal Medicine,1226140C0,12,12
Carle Foundation Hosp-IL,Medicine-Preliminary,1226140P0,2,2
Carle Foundation Hosp-IL,Psychiatry,1226400C0,4,4
Carle Foundation Hosp-IL,General Surgery,1226440C0,4,4
Carle Foundation Hosp-IL (Continued),Surgery-Preliminary,1226440P0,4,1
Carle Foundation Hosp-IL (Continued),Vascular Surgery,1226451C0,1,1
Cook County Health and Hosps Sys-IL,Anesthesiology,1127040C0,9,9
Cook County Health and Hosps Sys-IL,Anesthesiology,1127040R0,1,1
Cook County Health and Hosps Sys-IL,Dermatology,1127080A0,4,4
Cook County Health and Hosps Sys-IL,Emergency Medicine,1127110C0,17,17
Cook County Health and Hosps Sys-IL,Family Medicine,1127120C0,12,12
Cook County Health and Hosps Sys-IL,Internal Medicine,1127140C0,40,40
Cook County Health and Hosps Sys-IL,Medicine-Primary,1127140M0,3,3
Cook County Health and Hosps Sys-IL,Pediatrics,1127320C0,4,4
Cook County Health and Hosps Sys-IL,Radiology-Diagnostic,1127420A0,4,4
Franciscan Health Olympia Fields-IL,Family Medicine,1950120C0   1,0,7
Franciscan Health Olympia Fields-IL,Internal Medicine,1950140C0,14,14
Franciscan Health Olympia Fields-IL,Orthopaedic Surgery,1950260C0,4,4
Franciscan Health Olympia Fields-IL,Radiology-Diagnostic,1950420C0,3,3
Franciscan Health Olympia Fields-IL,General Surgery,1950440C0,3,3
Hinsdale Hospital-IL,Family Medicine,3006120C0,9,9
La Grange Mem Hosp-IL,Family Medicine,3037120C0,7,7
Loyola Univ Med Ctr-IL,Anesthesiology,1170040C0,13,13
Loyola Univ Med Ctr-IL,Dermatology,1170080A0,4,4
Loyola Univ Med Ctr-IL,Emergency Medicine,1170110C0,6,6
Loyola Univ Med Ctr-IL,Internal Medicine,1170140C0,33,33
Loyola Univ Med Ctr-IL,Medicine-Preliminary,1170140P0,9,9
Loyola Univ Med Ctr-IL,Neurological Surgery,1170160C0,2,2
Loyola Univ Med Ctr-IL,Neurology,1170180C0,6,6
Loyola Univ Med Ctr-IL,Obstetrics-Gynecology,1170220C0,4,4
Loyola Univ Med Ctr-IL (Continued),Orthopaedic Surgery,1170260C0,5,5
Loyola Univ Med Ctr-IL (Continued),Otolaryngology,1170280C0,3,3
Loyola Univ Med Ctr-IL (Continued),Pathology,1170300C0,4,4
Loyola Univ Med Ctr-IL (Continued),Pediatrics,1170320C0,10,10
Loyola Univ Med Ctr-IL (Continued),Plastic Surgery (Integrated),1170362C0,1,1
Loyola Univ Med Ctr-IL (Continued),Psychiatry,1170400C0,6,6
Loyola Univ Med Ctr-IL (Continued),Radiology-Diagnostic,1170420A0,7,7
Loyola Univ Med Ctr-IL (Continued),Radiation Oncology,1170430A0,3,2
Loyola Univ Med Ctr-IL (Continued),General Surgery,1170440C0,6,6
Loyola Univ Med Ctr-IL (Continued),Surgery-Preliminary,1170440P0,9,3
Loyola Univ Med Ctr-IL (Continued),Medicine-Pediatrics,1170700C0,4,4
MacNeal Hospital-IL,Family Medicine,1121120C0,12,11
MacNeal Hospital-IL,Internal Medicine,1121140C0,14,14
MacNeal Hospital-IL,Transitional,1121999P0,12,12
MacNeal Hospital-IL,Transitional/Ophthalmology,1121999P1,4,4
Marianjoy Rehab Hosp-IL,Phys Medicine & Rehab,1103340A0,6,6
Mercy Hosp & Med Ctr-IL,Internal Medicine,1141140C0,20,20
Mercy Hosp & Med Ctr-IL,Obstetrics-Gynecology,1141220C0,4,4
Mercyhealth GME Consortium-IL,Family Medicine,2163120C0,12,12
Mt Sinai Hosp Med Ctr-IL,Obstetrics-Gynecology,1144220C0,4,4
Mt Sinai Hosp Med Ctr-IL,Child Neurology,1842185C0,3,3
Mt Sinai Hosp Med Ctr-IL,Pediatrics,1842320C0,31,31
Northwestern McGaw/NMH/VA-IL,Anesthesiology/3 Yr,2247040A0,8,8
Northwestern McGaw/NMH/VA-IL,Anesthesiology/4 Yr,2247040C0,13,13
Northwestern McGaw/NMH/VA-IL,Dermatology,2247080A0,4,4
Northwestern McGaw/NMH/VA-IL,Emergency Medicine,2247110C0,15,15
Northwestern McGaw/NMH/VA-IL,Family Med/Erie-Swedish,2247120C0,8,8
Northwestern McGaw/NMH/VA-IL,Family Med/Lake Forest,2247120C1,8,8
Northwestern McGaw/NMH/VA-IL,Family Med/Delnor,2247120C2,8,7
Northwestern McGaw/NMH/VA-IL,Internal Medicine,2247140C0,34,34
Northwestern McGaw/NMH/VA-IL,Internal Medicine/PSTP,2247140C1,4,4
Northwestern McGaw/NMH/VA-IL,Medicine-Preliminary,2247140P0,2,2
Northwestern McGaw/NMH/VA-IL,Med-Prelim/Neurology,2247140P1,7,7
Northwestern McGaw/NMH/VA-IL,Neurological Surgery,2247160C0,3,3
Northwestern McGaw/NMH/VA-IL,Neurology,2247180A0,8,8
Northwestern McGaw/NMH/VA-IL,Obstetrics-Gynecology,2247220C0,12,12
Northwestern McGaw/NMH/VA-IL,Orthopaedic Surgery,2247260C0,6,6
Northwestern McGaw/NMH/VA-IL,Otolaryngology,2247280C0,3,3
Northwestern McGaw/NMH/VA-IL,Pathology,2247300C0,8,8
Northwestern McGaw/NMH/VA-IL,Plastic Surgery (Integrated),2247362C0,2,2
Northwestern McGaw/NMH/VA-IL,Psychiatry,2247400C0,8,8
Northwestern McGaw/NMH/VA-IL,Psychiatry/Research,2247400C1,1,0
Northwestern McGaw/NMH/VA-IL,Interventional Radiology (Integ),2247416A0,2,2
Northwestern McGaw/NMH/VA-IL,Radiology-Diagnostic,2247420A0,8,8
Northwestern McGaw/NMH/VA-IL,Radiation Oncology/4 yr,2247430A0,2,1
Northwestern McGaw/NMH/VA-IL,General Surgery,2247440C0,6,6
Northwestern McGaw/NMH/VA-IL,Surgery-Preliminary,2247440P0,8,7
Northwestern McGaw/NMH/VA-IL,Vascular Surgery,2247451C0,1,1
Northwestern McGaw/NMH/VA-IL,Thoracic Surgery,2247461C0,1,1
Northwestern McGaw/NMH/VA-IL,Medicine-Dermatology,2247785C0,1,1
Northwestern McGaw/RIC-IL,Phys Medicine & Rehab,2155340A0,8,8
Northwestern McGaw/RIC-IL,Phys Medicine & Rehab,2155340C0,4,4
Presence Resurrection Med Ctr-IL,Emergency Medicine,1937110C0,13,13
Presence Resurrection Med Ctr-IL,Family Medicine,1937120C0,6,6
Presence Resurrection Med Ctr-IL,Transitional,1937999P0,14,14
Presence Saint Francis Hospital-IL,Internal Medicine,1168140C0,16,16
Presence Saint Francis Hospital-IL,Medicine-Preliminary,1168140P0,6,6
Presence Saint Francis Hospital-IL,Obstetrics-Gynecology,1168220C0,6,4
Presence Saint Francis Hospital-IL,Radiology-Diagnostic,1168420A0,3,1
Presence Saint Francis Hospital-IL,Transitional,1168999P0,10,10
Presence St Joseph Hosp-IL,Family Medicine,1405120C0,6,6
Presence St Joseph Hosp-IL,Internal Medicine,1405140C0,20,20
Presence St Joseph Hosp-IL,Medicine-Preliminary,1405140P0,5,5
Presence St Joseph Hosp-IL,Obstetrics-Gynecology,1405220C0,3,3
Presence St Joseph Hosp-IL,General Surgery,1405440C0,2,2
Presence St Joseph Hosp-IL,Surgery-Preliminary,1405440P0,2,0
Presence St Joseph Hosp-IL,Transitional,1405999P0,6,6
Presence St Joseph Hosp-IL,Family Medicine,1389120C0,12,12
Quincy Fam Prac Ctr-IL,Family Medicine,2026120C0,6,6
RFUMS/Chicago Medical School-IL,Internal Medicine,3053140C0,10,10
RFUMS/Chicago Medical School-IL,Internal Medicine/McHenry,3053140C1,13,13
RFUMS/Chicago Medical School-IL,Psychiatry,3053400C0,7,7
Riverside Medical Ctr-IL,Internal Medicine,2177140C0,5,5
Riverside Medical Ctr-IL,Psychiatry,2177400C0,3,3
Rush University Med Ctr-IL,Anesthesiology,1147040A0,4,4
Rush University Med Ctr-IL,Anesthesiology,1147040C0,16,16
Rush University Med Ctr-IL,Anesthesiology,1147040R0,2,2
Rush University Med Ctr-IL,Dermatology,1147080A0,2,2
Rush University Med Ctr-IL,Emergency Medicine,1147110C0,12,12
Rush University Med Ctr-IL,Internal Medicine,1147140C0,34,34
Rush University Med Ctr-IL,Med-Prelim/Ophthalmology,1147140P2,2,2
Rush University Med Ctr-IL,Neurological Surgery,1147160C0,3,3
Rush University Med Ctr-IL,Neurology,1147180C0,8,8
Rush University Med Ctr-IL,Obstetrics-Gynecology,1147220C0,6,6
Rush University Med Ctr-IL,Orthopaedic Surgery,1147260C0,5,5
Rush University Med Ctr-IL,Otolaryngology,1147280C0,2,2
Rush University Med Ctr-IL,Pathology,1147300C0,4,4
Rush University Med Ctr-IL,Pediatrics,1147320C0,11,11
Rush University Med Ctr-IL,Phys Medicine & Rehab,1147340C0,4,4
Rush University Med Ctr-IL,Plastic Surgery (Integrated),1147362C0,1,1
Rush University Med Ctr-IL,Psychiatry,1147400C0,8,8
Rush University Med Ctr-IL,Interventional Radiology (Integ),1147416C0,4,4
Rush University Med Ctr-IL,Radiology-Diagnostic,1147420A0,5,5
Rush University Med Ctr-IL,Radiation Oncology,1147430A1,1,1
Rush University Med Ctr-IL,Radiation Oncology,1147430C1,1,1
Rush University Med Ctr-IL,General Surgery,1147440C0,9,9
Rush University Med Ctr-IL,Surgery-Preliminary,1147440P0,14,4
Rush University Med Ctr-IL,Medicine-Pediatrics,1147700C0,4,4
Rush-Copley Mem Hosp-IL,Family Medicine,1323120C0,4,4
SIU Carbondale-IL,Family Medicine,2948120C0,6,3
SIU Decatur-IL,Family Medicine,2016120C0,5,5
SIU SOM & Affil Hosps-IL,Dermatology,2922080C0,3,3
SIU SOM & Affil Hosps-IL,Emergency Medicine,2922110C0,8,8
SIU SOM & Affil Hosps-IL,Family Medicine,2922120C0,10,10
SIU SOM & Affil Hosps-IL,Internal Medicine,2922140C0,14,14
SIU SOM & Affil Hosps-IL,Medicine-Preliminary,2922140P0,2,2
SIU SOM & Affil Hosps-IL,Neurological Surgery,2922160C0,1,1
SIU SOM & Affil Hosps-IL,Neurology,2922180C0,3,3
SIU SOM & Affil Hosps-IL,Obstetrics-Gynecology,2922220C0,4,4
SIU SOM & Affil Hosps-IL,Orthopaedic Surgery,2922260C0,3,3
SIU SOM & Affil Hosps-IL,Otolaryngology,2922280C0,2,2
SIU SOM & Affil Hosps-IL,Pediatrics,2922320C0,8,8
SIU SOM & Affil Hosps-IL,Plastic Surgery (Integrated),2922362C0,2,2
SIU SOM & Affil Hosps-IL,Psychiatry,2922400C0,6,6
SIU SOM & Affil Hosps-IL,Radiology-Diagnostic,2922420C0,3,1
SIU SOM & Affil Hosps-IL,General Surgery,2922440C0,4,4
SIU SOM & Affil Hosps-IL,Medicine-Psychiatry,2922715C0,2,2
Schwab Rehab Hosp-IL,Phys Medicine & Rehab,1339340A0,5,5
Swedish Covenant Hosp-IL,Emergency Medicine,1159110C0,5,5
Swedish Covenant Hosp-IL,Family Medicine,1159120C1,4,4
Swedish Covenant Hosp-IL,Internal Medicine,1159140C0,8,8
U Illinois COM-Chicago,Anesthesiology,1150040C0,12,12
U Illinois COM-Chicago,Anesthesiology,1150040R0,1,1
U Illinois COM-Chicago,Dermatology,1150080A0,4,4
U Illinois COM-Chicago,Emergency Medicine,1150110C0,15,15
U Illinois COM-Chicago (Continued),Family Medicine/UIH,1150120C1,8,8
U Illinois COM-Chicago (Continued),Family Med/Gibson City,1150120C2,1,1
U Illinois COM-Chicago (Continued),Internal Medicine/UIC Christ,1150140C0,21,21
U Illinois COM-Chicago (Continued),Internal Medicine/UIH,1150140C1,34,34
U Illinois COM-Chicago (Continued),Med-Prelim/UIH,1150140P0,12,11
U Illinois COM-Chicago (Continued),Med-Prelim/UIC Christ,1150140P1,3,3
U Illinois COM-Chicago (Continued),Med-Prelim/Ophthalmology,1150140P2,6,6
U Illinois COM-Chicago (Continued),Neurological Surgery,1150160C0,1,1
U Illinois COM-Chicago (Continued),Neurology,1150180C0,6,6
U Illinois COM-Chicago (Continued),Obstetrics-Gynecology,1150220C0,7,7
U Illinois COM-Chicago (Continued),Orthopaedic Surgery,1150260C0,7,7
U Illinois COM-Chicago (Continued),Otolaryngology,1150280C0,3,3
U Illinois COM-Chicago (Continued),Pediatrics,1150320C0,12,12
U Illinois COM-Chicago (Continued),Pediatrics/Internationally Funded,1150320C1,1,1
U Illinois COM-Chicago (Continued),Psychiatry,1150400C0,10,10
U Illinois COM-Chicago (Continued),Interventional Radiology (Integ),1150416A0,2,2
U Illinois COM-Chicago (Continued),Radiology-Diagnostic,1150420A0,6,6
U Illinois COM-Chicago (Continued),General Surgery,1150440C0,6,6
U Illinois COM-Chicago (Continued),Surg-Prelim/Undesignated,1150440P1,4,1
U Illinois COM-Chicago (Continued),Medicine-Pediatrics,1150700C0,4,4
U Illinois COM-Chicago (Continued),Medicine-Emergency Med,1150705C0,3,3
U Illinois COM-Peoria OSF,Emergency Medicine,1175110C0,14,14
U Illinois COM-Peoria OSF,Internal Medicine,1175140C0,12,12
U Illinois COM-Peoria OSF,Neurological Surgery,1175160C0,2,2
U Illinois COM-Peoria OSF,Neurology,1175180C0,4,4
U Illinois COM-Peoria OSF,Obstetrics-Gynecology,1175220C0,3,3
U Illinois COM-Peoria OSF,Pediatrics,1175320C0,10,10
U Illinois COM-Peoria OSF,Radiology-Diagnostic,1175420C0,4,4
U Illinois COM-Peoria OSF,General Surgery,1175440C0,3,3
U Illinois COM-Peoria OSF,Medicine-Pediatrics,1175700C0,8,8
U Illinois COM-Peoria OSF,Transitional,1175999P0,6,6
U Illinois COM-Peoria UPHM,Family Medicine,2267120C0,10,10
U Illinois COM-Peoria UPHM,Psychiatry,2267400C0,4,4
U Illinois COM-Rockford,Family Medicine,2268120C0,7,7
U Illinois COM-Rockford,Family Med/Dixon Rural,2268120C1,2,2
U Illinois COM-Rockford,Family Medicine/Monroe,2268120C2,3,3
UIC/Metro Group Hospitals-IL,General Surgery,2920440C0,6,6
UIC/Metro Group Hospitals-IL,Surgery-Preliminary,2920440P0,7,6
UIC/Mt Sinai Hosp Med Ctr-IL,General Surgery,1287440C0,3,3
UIC/Mt Sinai Hosp Med Ctr-IL,Surgery-Preliminary,1287440P0,2,0
Univ of Chicago Med Ctr-IL,Anesthesiology,1160040A0,6,6
Univ of Chicago Med Ctr-IL,Anesthesiology/UCM-NS Prelim,1160040C0,8,8
Univ of Chicago Med Ctr-IL,Anesthesiology/IM Prelim,1160040C1,4,4
Univ of Chicago Med Ctr-IL,Dermatology,1160080A0,3,3
Univ of Chicago Med Ctr-IL,Emergency Medicine,1160110C0,16,16
Univ of Chicago Med Ctr-IL,Family Medicine/NorthShore,1160120C0,6,6
Univ of Chicago Med Ctr-IL,Internal Medicine,1160140C0,29,29
Univ of Chicago Med Ctr-IL,Int Med/MD Scientist,1160140C1,5,5
Univ of Chicago Med Ctr-IL,Internal Medicine/NorthShore,1160140C2,16,16
Univ of Chicago Med Ctr-IL,Medicine-Preliminary,1160140P0,2,2
Univ of Chicago Med Ctr-IL,Med-Prelim/NorthShore,1160140P2,4,4
Univ of Chicago Med Ctr-IL,Med-Prelim/Neurology-NShore,1160140P3,5,5
Univ of Chicago Med Ctr-IL,Med-Prelim/Dermatology,1160140P4,1,1
Univ of Chicago Med Ctr-IL,Neurological Surgery,1160160C0,2,2
Univ of Chicago Med Ctr-IL,Neurology,1160180A0,7,7
Univ of Chicago Med Ctr-IL,Child Neurology,1160185C0,2,2
Univ of Chicago Med Ctr-IL,Obstetrics-Gynecology,1160220C0,7,7
Univ of Chicago Med Ctr-IL,Orthopaedic Surgery,1160260C0,5,5
Univ of Chicago Med Ctr-IL,Otolaryngology,1160280C0,3,3
Univ of Chicago Med Ctr-IL,Pathology,1160300C0,7,6
Univ of Chicago Med Ctr-IL,Pathology/Clinical,1160300C1,1,1
Univ of Chicago Med Ctr-IL,Pathology/NorthShore,1160300C2,3,3
Univ of Chicago Med Ctr-IL,Pediatrics,1160320C0,19,19
Univ of Chicago Med Ctr-IL,Pediatrics/Health Services,1160320C4,2,2
Univ of Chicago Med Ctr-IL,Plastic Surgery (Integrated),1160362C0,3,3
Univ of Chicago Med Ctr-IL,Psychiatry,1160400C0,6,6
Univ of Chicago Med Ctr-IL,Interventional Radiology (Integ),1160416A0,2,2
Univ of Chicago Med Ctr-IL,Radiology-Diagnostic,1160420A0,7,7
Univ of Chicago Med Ctr-IL,Radiology-Diagnostic,1160420R0,1,1
Univ of Chicago Med Ctr-IL,Radiation Oncology,1160430A0,3,3
Univ of Chicago Med Ctr-IL,General Surgery,1160440C0,7,7
Univ of Chicago Med Ctr-IL,Surgery-Preliminary,1160440P2,3,3
Univ of Chicago Med Ctr-IL,Medicine-Pediatrics,1160700C0,4,4
Univ of Chicago Med Ctr-IL,Transitional/NorthShore,1160999P0,10,10
Weiss Memorial Hospital-IL,Transitional,1846999P0,8,8
West Suburban Med Ctr-IL,Family Medicine,1173120C0,10,10
West Suburban Med Ctr-IL,Internal Medicine,1173140C0,8,8
West Suburban Med Ctr-IL,Medicine-Preliminary,1173140P0,6,6
Community Health Network-IN,Family Medicine,3027120C0,10,10
Community Health Network-IN,Family Med/South Hospital,3027120C1,4,4
Community Health Network-IN,Psychiatry,3027400C0,4,4
Deaconess Hospital-IN,Family Medicine,3029120C0,8,8
Franciscan Health-IN,Family Medicine,2963120C0,9,9
Ft Wayne Med Ed Prog-IN,Family Medicine,1178120C0,12,12
Ft Wayne Med Ed Prog-IN,Family Medicine,1192120C0,10,10
Ft Wayne Med Ed Prog-IN,Internal Medicine,1192140C0,8,8
Ft Wayne Med Ed Prog-IN,Transitional,1192999P0,10,10
Indiana University SOM,Anesthesiology,1187040A0,22,22
Indiana University SOM,Anesthesiology,1187040C0,4,4
Indiana University SOM,Anesthesiology,1187040R0,2,2
Indiana University SOM,Dermatology,1187080A0,2,2
Indiana University SOM,Dermatology,1187080C0,2,2
Indiana University SOM,Emergency Medicine,1187110C0,21,21
Indiana University SOM,Family Medicine,1187120C0,13,13
Indiana University SOM,Family Medicine/Arnett,1187120C2,5,5
Indiana University SOM,Family Medicine/Jasper,1187120C3,5,5
Indiana University SOM,Internal Medicine,1187140C0,36,36
Indiana University SOM,Internal Medicine/SW Indiana,1187140C1,16,16
Indiana University SOM,Med-Prelim/SW Indiana,1187140P0,8,4
Indiana University SOM,Neurological Surgery,1187160C0,3,3
Indiana University SOM,Neurology,1187180C0,8,8
Indiana University SOM,Child Neurology,1187185C0,2,2
Indiana University SOM (Continued),Neurodevelopmental Disabilities,1187186C0,1,1
Indiana University SOM (Continued),Neurodevelopmental Disabilities,1187186R0,1,0
Indiana University SOM (Continued),Obstetrics-Gynecology,1187220C0,10,10
Indiana University SOM (Continued),Orthopaedic Surgery,1187260C0,5,5
Indiana University SOM (Continued),Ortho Surgery/Research,1187260C1,1,1
Indiana University SOM (Continued),Otolaryngology-Clinical,1187280C0,3,3
Indiana University SOM (Continued),Pathology,1187300C0,6,6
Indiana University SOM (Continued),Pediatrics,1187320C0,25,25
Indiana University SOM (Continued),Phys Medicine & Rehab,1187340A0,4,4
Indiana University SOM (Continued),Phys Medicine & Rehab,1187340R0,1,1
Indiana University SOM (Continued),Plastic Surgery (Integrated),1187362C0,2,2
Indiana University SOM (Continued),Psychiatry,1187400C0,8,8
Indiana University SOM (Continued),Psychiatry/Vincennes,1187400C1,4,4
Indiana University SOM (Continued),Interventional Radiology (Integ),1187416A0,1,1
Indiana University SOM (Continued),Radiology-Diagnostic,1187420A0,10,10
Indiana University SOM (Continued),Radiology-Diagnostic,1187420C0,2,2
Indiana University SOM (Continued),Radiation Oncology,1187430A0,1,0
Indiana University SOM (Continued),General Surgery,1187440C0,10,10
Indiana University SOM (Continued),Surgery-Preliminary,1187440P0,8,4
Indiana University SOM (Continued),Vascular Surgery,1187451C0,1,1
Indiana University SOM (Continued),Thoracic Surgery,1187461C0,1,1
Indiana University SOM (Continued),Medicine-Pediatrics,1187700C0,14,14
Indiana University SOM (Continued),Pediatrics-Emergency Med,1187725C0,2,2
Indiana University SOM (Continued),Peds/Psych/Child Psych,1187730C0,3,3
Indiana University SOM (Continued),Transitional,1187999P0,15,15
Memorial Hospital-IN,Family Medicine,1193120C0,9,9
St Josephs Reg Med Ctr-IN,Family Medicine,1194120C0,9,9
St Vincent Hosp Ctr-IN,Family Medicine,1189120C0,8,8
St Vincent Hosp Ctr-IN,Internal Medicine,1189140C0,15,15
St Vincent Hosp Ctr-IN,Medicine-Preliminary,1189140P0,6,6
St Vincent Hosp Ctr-IN,Obstetrics-Gynecology,1189220C0,5,5
St Vincent Hosp Ctr-IN,Pediatrics,1189320C0,6,6
St Vincent Hosp Ctr-IN,General Surgery,1189440C0,3,3
St Vincent Hosp Ctr-IN,Transitional,1189999P0,18,18
Union Hospital-IN,Family Medicine,3007120C0,7,7
Broadlawns Med Ctr-IA,Family Medicine,1199120C0,8,8
Broadlawns Med Ctr-IA,Transitional,1199999P0,4,4
Central Iowa Health System,Family Med/IA Lutheran,1201120C0,6,6
Central Iowa Health System,Int Med/IA Methodist,1201140C0,10,10
Central Iowa Health System,Med-Prelim/IA Methodist,1201140P0,2,2
Central Iowa Health System,Peds/Blank Childrens,1201320C0,7,7
Central Iowa Health System,Gen Surg/IA Methodist,1201440C0,4,4
Central Iowa Health System,Surg-Prelim/IA Methodist,1201440P0,2,1
Central Iowa Health System,Trans/IA Methodist,1201999P0,4,4
Genesis Quad Cities-IA,Family Medicine,2969120C0,6,6
Mercy Med Ctr-Des Moines-IA,Family Medicine,1346120C0,8,8
Mercy Med Ctr-Des Moines-IA,Internal Medicine,1346140C0,10,10
Mercy Med Ctr-Des Moines-IA,Psychiatry,1346400C0,4,4
Mercy Med Ctr-Des Moines-IA,General Surgery,1346440C1,4,4
MercyOne North Iowa Med Ctr,Family Medicine,2015120C0,6,5
MercyOne North Iowa Med Ctr,Internal Medicine,2015140C0,6,6
