,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Night float system,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Participant 24,Participant 25,Participant 26,Participant 27,Participant 28,Participant 29,Participant 30,Participant 31,Participant 32,Participant 33,Participant 34,Participant 35,Participant 36
0,https://freida.ama-assn.org/program/1204100694,Community-based,Good Samaritan Hospital,3,3,No,Yes,July,Yes,No,https://www.wellspanmedicaleducation.org/residency-programs/,Not Available,"Abdul  Waheed
MD
WellSpan Good Samaritan
PO 1520
30 N 4th St
Lebanon, PA 17042
Tel: (717) 270-2371
Fax:
E-mail: awaheed3@wellspan.org","LaJoy A Gundrum
WellSpan Good Samaritan
PO 1520
30 N 4th St
Lebanon, PA 17042
Tel: (717) 270-1949
Fax:
E-mail: lgundrum@wellspan.org",1204100694,"WellSpan Good Samaritan, PO 1520, 30 N 4th St, Lebanon, PA 17042","45 Monument Rd, York, PA 17403","4th & Walnut Sts, Lebanon, PA 17042-1281","1001 S George St, York, PA 17405",A 7-7-7 community-based FM program in the heart of central Pennsylvania. Diverse and vulnerable population served with opportunities to discover complexities of direct patient care un the expertise of experienced clinicians.,7,7,7,No,No,"Yes , Codes: 2181120C0",No,,-_9/29/2021 - 1/19/2022,9/15/2021,1/5/2022,Yes,102,No,No,3,Yes,Yes,192_209_400_400,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,Yes,Yes,12,0,4,0,16,0,33.3,0.6 to 1,50,24,1.7,No,Yes,,,,,,Other for 8 week(s),0,Other for 8 week(s),0,Other for 8 week(s),Not Available,6,NGO,20%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$60,125.00",12,Not Available,"$62,524.00",12,Not Available,"$65,655.00",17,Not Available,Yes,NGO,NGO,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204100707,Community-based,Geisinger Lewistown Hospital,3,3,No,Yes,"June,Negotiable",Yes,No,https://www.geisinger.edu/education/residencies-fellowships/residencies/,Not Available,"Mandy L Maneval
MD, PhD
Geisinger Lewistown Hosp
MC 46-27
400 Highland Ave
Lewistown, PA 17044
Tel: (717) 242-7799
Fax:
E-mail: smbilger@geisinger.edu","Stephanie M Bilger
Geisinger Lewistown Hosp
MC 46-27
400 Highland Ave
Lewistown, PA 17044
Tel: (717) 242-7799
Fax: (717) 242-7593
E-mail: smbilger@geisinger.edu",1204100707,"Geisinger Lewistown Hosp, MC 46-27, 400 Highland Ave, Lewistown, PA 17044","100 N Academy Ave, Danville, PA 17822","400 Highland Ave, Lewistown, PA 17044","100 N Academy Ave, Danville, PA 17822-2201","We provide a creative, supportive, collaborative learning environment in which residents who share our passion for rural family medicine can flourish. Rural focused, we care for a unique patient population from the Amish & Mennonite communities. Residents participate in extensive hands-on procedural training in an unopposed environment. Finally, we offer unique & effective training through a collaboration between Geisinger and Family Practice Center while still providing rural-focused medicine.",4,4,4,No,No,"Yes , Codes: 1608120C2",No,1/15/2021,11/2/2020 - 1/30/2021_10/1/2021 - 1/30/2022,9/15/2021,1/30/2022,Yes,10,No,No,3,No,Yes,192_209_500_500,Yes,Below 210,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,Yes,No,2,1,5,0,7,1,50,0.3 to 1,50,11,1.5,Yes,,,,,,,Once per week for 4 week(s),0,Once per week for 4 week(s),0,Once per week for 4 week(s),Not Available,5,21%,10%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$58,036.00",15,NGO,"$60,443.00",15,NGO,"$63,000.00",15,NGO,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Optional,No,No,Yes,"200 Scenery Dr, College State, PA 16801","132 Abigail Ln, Port Matilda, PA 16870",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204100692,,,3,3,No,Yes,July,Yes,No,http://UPMCPinnacle.com/LititzResidency,Not Available,"Michael T Steelman
DO
UPMC Pinnacle Lititz
Family Medicine Pgm
1500 Highlands Dr
Lititz, PA 17543-7694
Tel: (717) 625-5646
Fax: (717) 625-5672
E-mail: steelmanmt@upmc.edu","Adrienne  Kametz
UPMC Pinnacle Lititz
Family Medicine Pgm
1500 Highlands Dr
Lititz, PA 17543
Tel: (717) 625-5646
Fax: (717) 625-5662
E-mail: kametza@upmc.edu",1204100692,"UPMC Pinnacle Lititz, Family Medicine Pgm, 1500 Highlands Dr, Lititz, PA 17543-7694","111 S Front St, Harrisburg, PA 17105-8700","1500 Highlands Dr, Lititz, PA 17543","111 S Front St, Harrisburg, PA 17105-8700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204112271,Community-based university affiliated,UPMC McKeesport,3,3,No,Yes,July,Yes,No,http://mckeesport.familymedicine.pitt.edu,Not Available,"Tracey C Conti
MD
UPMC McKeesport
Latterman Family Health Ctr
2347 Fifth Ave
McKeesport, PA 15132
Tel: (412) 673-5009
Fax: (412) 673-1021
E-mail: zimmermansl@upmc.edu","Sandi  Zimmerman
MA
UPMC McKeesport
Latterman Family Health Ctr
2347 Fifth Ave
McKeesport, PA 15132-2483
Tel: (412) 673-5009
Fax: (412) 673-1021
E-mail: zimmermansl@upmc.edu",1204112271,"UPMC McKeesport, Latterman Family Health Ctr, 2347 Fifth Ave, McKeesport, PA 15132","3600 Forbes Ave, Pittsburgh, PA 15213","1500 Fifth Ave, McKeesport, PA 15132-2483","45th & Penn Ave, Pittsburgh, PA 15201","Specialty training in a community hospital just outside of Pittsburgh. Our program concentrates on strong inpatient medicine teaching, OB, and women's health, and a very active community medicine program serving the urban population of McKeesport.",8,8,8,No,No,"Yes , Codes: 1620120C0",No,12/31/2020,11/2/2020 - 1/29/2021_10/4/2021 - 1/14/2022,9/15/2021,12/31/2021,Yes,120,No,No,3,Yes,Yes,___,Yes,226-235,No,No,No Answer,"Desired, with some exceptions",Yes,Yes,Yes,8,1,2,0,10,1,62.5,0.3 to 1,64,24,1.5,Yes,Yes,25.3,61.9,12.6,52.3,47.6,Every eleventh night or more for 4 week(s),0,N/A,4,N/A,2,5,25%,10%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$61,110.00",20,NGO,"$63,563.00",20,NGO,"$66,088.00",20,NGO,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,Yes,"1400 Locust St, Pittsburgh, PA 15219-5166","300 Halket St, Pittsburgh, PA 15213-3180",,"3811 O'Hara St, Pittsburgh, PA 15213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204100705,,,3,3,Yes,Yes,July,No,No,,Not Available,"Frank J McLaughlin
DO
Meadville Med Ctr
Family Medicine Pgm
751 Liberty St
Meadville, PA 16335
Tel: (814) 333-5461
Fax: (814) 333-5025
E-mail: fjmclaughlin@mmchs.org","Trisha  Field
Meadville Med Ctr
Family Medicine Pgm
751 Liberty St
Meadville, PA 16335
Tel: (814) 333-5461
Fax: (814) 333-5025
E-mail: tfield@mmchs.org",1204100705,"Meadville Med Ctr, Family Medicine Pgm, 751 Liberty St, Meadville, PA 16335","751 Liberty Ave, Meadville, PA 16335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204122278,Community-based university affiliated,Forbes Hospital,3,3,No,Yes,July,Yes,No,https://www.ahn.org/education/graduate-medical-education/residencies/,Not Available,"Stacey  Nickoloff
DO
Forbes Hosp
Ste 500
2550 Mosside Blvd
Monroeville, PA 15146
Tel: (412) 457-1050
Fax: (412) 457-0255
E-mail: stacey.nickoloff@ahn.org","Gina  Sacco
Forbes Hosp
Ste 500
2550 Mosside Blvd
Monroeville, PA 15146
Tel: (412) 457-1050
Fax: (412) 457-0255
E-mail: gina.sacco@ahn.org",1204122278,"Forbes Hosp, Ste 500, 2550 Mosside Blvd, Monroeville, PA 15146","320 E North Ave, Pittsburgh, PA 15212","2570 Haymaker Rd, Monroeville, PA 15146",,"Family medicine is the sole residency based at Forbes Hospital, a regional trauma center with comprehensive services including OB, pediatrics and psychiatry. All core rotations occur at Forbes and our family medicine center is just off campus. Our traditional strengths include women's health and family-centered maternity care, behavioral science, and sports medicine. Recent innovations include a longitudinal leadership curriculum, optional LGBTQ concentration, and correctional medicine track.",8,8,5,No,No,"Yes , Codes: 3087120C0",No,12/31/2020,11/1/2020 - 1/31/2021_-,,,Yes,75,No,No,3,Yes,Yes,210_210_500_500,Yes,226-235,Yes,Yes,Greater than 600,"Desired, with some exceptions",Yes,No,No,7,3,4,0,11,3,71.4,0.4 to 1,65,24,1.5,Yes,Yes,37.4,17.3,45.2,41.9,58,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),Not Available,5,NGO,25%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$56,689.00",15,6,"$58,256.00",15,6,"$59,845.00",15,6,Yes,15,NGO,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204100699,,,3,3,No,Yes,"July,Negotiable",Yes,No,http://www.monhealth.com/FMR,Not Available,"Amber  Warren
DO
Mountain State Osteopathic Postdoctoral
Family Medicine Pgm
120 Locust Ave Ext
Mount Morris, PA 15349
Tel: (724) 324-2629
Fax: (724) 324-5838
E-mail: awarren@cornerstonecare.com","Tracey  Eberhart
Mountain State Osteopathic Postdoctoral
Family Medicine Pgm
120 Locust Ave Ext
Mount Morris, PA 15349
Tel: (724) 324-2629
Fax: (724) 324-5838
E-mail: teberhart@cornerstonecare.com",1204100699,"Mountain State Osteopathic Postdoctoral, Family Medicine Pgm, 120 Locust Ave Ext, Mount Morris, PA 15349","400 N Lee St, Lewisburg, WV 24901","120 Locust Ave, Mount Morris, PA 15349","350 Bonar Ave, Waynesburg, PA 15370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Medical Center Dr, Morgantown, WV 26506","1000 J D Anderson Dr, Morgantown, WV 26505",,"30 Vandervort Dr, Morgantown, WV 26505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204100709,,,3,3,No,Yes,July,No,No,,Not Available,"Randy G Litman
DO, MBA
Einstein Med Ctr
Karabots Med Bldg Ste 409
1330 Powell St
Norristown, PA 19401
Tel: (484) 622-7510
Fax: (484) 622-7520
E-mail: litmanra@einstein.edu","Nicole  Amrik
Einstein Med Ctr Montgomery
Family Medicine Pgm
559 W Germantown Pike
East Norriton, PA 19403
Tel: (484) 622-0959
Fax:
E-mail: amriknic@einstein.edu",1204100709,"Einstein Med Ctr, Karabots Med Bldg Ste 409, 1330 Powell St, Norristown, PA 19401","5501 Old York Rd, Philadelphia, PA 19141","559 W Germantown Pike, East Norriton, PA 19403","3601 A St, Philadelphia, PA 19134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204121276,University-based,Sidney Kimmel Medical College at Thomas Jefferson University,3,3,No,Yes,June,Yes,No,http://www.jefferson.edu/fammedresidency,Not Available,"Marc J Altshuler
MD
Thomas Jefferson Univ Hosp
Ste 301
833 Chestnut St
Philadelphia, PA 19107
Tel: (215) 955-2363
Fax: (215) 955-0640
E-mail: marc.altshuler@jefferson.edu","Olohitare J Adedipe
MBA
Thomas Jefferson Univ Hosp
Ste 301
833 Chestnut St
Philadelphia, PA 19107
Tel: (215) 955-2363
Fax: (215) 955-8600
E-mail: oxa018@jefferson.edu",1204121276,"Thomas Jefferson Univ Hosp, Ste 301, 833 Chestnut St, Philadelphia, PA 19107","1025 Walnut St, Philadelphia, PA 19107-5083","1600 Rockland Rd, Wilmington, DE 19899-0269","111 S 11th St, Philadelphia, PA 19107-5096","Jefferson's Family & Community Medicine Residency, located in the heart of Philadelphia, has a long history of training residents in a diverse university setting.  Our broad reaching curriculum trains our residents in care of underserved populations, leadership and advocacy skills, and clinical and academic excellence. Our mission is to train outstanding, board certified physicians in comprehensive patient care throughout the life cycle in the context of one's family and community.",10,10,10,No,No,"Yes , Codes: 1630120C0",No,10/15/2020,11/1/2020 - 2/5/2021_11/1/2021 - 2/4/2022,9/15/2021,10/15/2021,Yes,120,No,No,3,No,Yes,194_209__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,Yes,No,35,0,10,0,45,0,51.4,1.3 to 1,60,28,1.7,Yes,Yes,95.5,4.4,0,71.1,28.8,Every eleventh night or more for 3 month(s),0,Every eleventh night or more for 2 month(s),3,Every eleventh night or more for 1 month(s),2,7,15%,5%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$60,785.00",21,NGO,"$62,776.00",28,NGO,"$65,413.00",28,NGO,Yes,90,0,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Required,Yes,Yes,No,"2301 S Broad St, Philadelphia, PA 19148","3601 A St, Philadelphia, PA 19134",NGO (wks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204121633,,,3,3,No,Yes,June,Yes,No,https://www.pennmedicine.org/departments-and-centers/,Not Available,"Margaret J Baylson
MD, MPH
Penn Medicine Univ City
9th Fl
3737 Market St
Philadelphia, PA 19104
Tel: (215) 294-9282
Fax:
E-mail: margaret.baylson@uphs.upenn.edu","Darcy M MacDonald
MM
Penn Medicine Univ City
9th Fl
3737 Market St
Philadelphia, PA 19104
Tel: (215) 294-9284
Fax:
E-mail: darcy.macdonald@uphs.upenn.edu",1204121633,"Penn Medicine Univ City, 9th Fl, 3737 Market St, Philadelphia, PA 19104","3400 Spruce St, Philadelphia, PA 19104-4283","51 N 39th St, Philadelphia, PA 19104-2699","34th St & Civic Center Blvd, Philadelphia, PA 19104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3900 Woodland Ave, Philadelphia, PA 19104","5619 Vine St, Philadelphia, PA 19139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204131275,Community-based university affiliated,Chestnut Hill Hospital,3,3,No,Yes,June,Yes,No,http://www.chestnuthillhealth.com,Not Available,"Marc  McKenna
MD
Chestnut Hill Hosp
Family Practice Ctr 5th Fl
8815 Germantown Ave
Philadelphia, PA 19118
Tel: (215) 248-8145
Fax: (215) 753-2005
E-mail: marc.mckenna@towerhealth.org","Cindy  Rowe
Chestnut Hill Hosp
Family Practice Ctr 5th Fl
8815 Germantown Ave
Philadelphia, PA 19118
Tel: (215) 248-8907
Fax: (215) 753-2005
E-mail: cynthia.rowe@towerhealth.org",1204131275,"Chestnut Hill Hosp, Family Practice Ctr 5th Fl, 8815 Germantown Ave, Philadelphia, PA 19118","420 S 5th Ave, West Reading, PA 19611","8835 Germantown Ave, Philadelphia, PA 19118-2767","34th St & Civic Center Blvd, Philadelphia, PA 19104","The residency is the only community hospital-based program in the city of Philadelphia. Training includes pediatric rotations at CHOP, community medicine rotations and opportunities in global health and sports medicine. We are located in a pleasant suburban/urban environment and have a strong 45 year academic tradition. We combine excellent clinical training in a collegial, diverse environment.",6,6,6,No,No,"Yes , Codes: 2966120C0",No,12/31/2020,11/2/2020 - 1/29/2021_10/25/2021 - 1/14/2022,10/18/2021,12/31/2021,Yes,82,No,No,3,No,No,___,No,226-235,No,No,450-500,"Desired, with some exceptions",No,No,No,6,0,1,1,7,1,50,0.3 to 1,55,24,1.5,Yes,Yes,90.9,5.3,3.7,43.4,56.5,Once per week for 5 month(s),0,Once per week for 10 month(s),0,Once per week for 10 month(s),Not Available,10,15%,15%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$59,321.00",15,10,"$61,110.00",20,10,"$62,940.00",20,10,Yes,55,NGO,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,"5501 Old York Rd, Philadelphia, PA 19141-3098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204100712,,,3,3,Yes,Yes,June,Yes,No,https://drexel.edu/medicine/Academics/Residencies-and-Fellowships/,Not Available,"Leon  McCrea
MD, MPH
Drexel Univ/Tower Health
Ste 301
10 Shurs Lane
Philadelphia, PA 19127
Tel: (215) 967-1632
Fax:
E-mail: lm978@drexel.edu","Lindsey  Gripenburg
BS
Drexel Univ/Tower Health
Ste 301
10 Shurs Lane
Philadelphia, PA 19127
Tel: (215) 967-1632
Fax:
E-mail: lag336@drexel.edu",1204100712,"Drexel Univ/Tower Health, Ste 301, 10 Shurs Lane, Philadelphia, PA 19127","420 S 5th Ave, West Reading, PA 19611","6th Ave & Spruce St, West Reading, PA 19612-6052","8835 Germantown Ave, Philadelphia, PA 19118-2767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3601 A St, Philadelphia, PA 19134","245 N 15th St, Philadelphia, PA 19102",,"5800 Ridge Ave, Philadelphia, PA 19128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204100713,,,3,3,Yes,Yes,July,No,No,https://medicine.temple.edu,Not Available,"Margot L Savoy
MD, MPH
Temple Univ Hosp
Family Medicine Pgm
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-8961
Fax:
E-mail: yolanda.reyes@tuhs.temple.edu","Yolanda  Reyes
Temple Univ Hosp
Family Medicine Pgm
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-0874
Fax:
E-mail: yolanda.reyes@tuhs.temple.edu",1204100713,"Temple Univ Hosp, Family Medicine Pgm, 3401 N Broad St, Philadelphia, PA 19140","3401 N Broad St, Philadelphia, PA 19140","3601 A St, Philadelphia, PA 19134","100 E Lehigh Ave, Philadelphia, PA 19125-1098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
