,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,Night float system (Residents participate during first year),,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4
0,https://freida.ama-assn.org/program/1401600544,Community-based university affiliated,Swedish Hospital,3,3,No,Yes,July,Yes,No,http://swedishcovenant.org/,Not Available,"Dale  Swims
DO
Swedish Hosp
Internal Medicine Pgm
5145 N California Ave
Chicago, IL 60625
Tel: (773) 989-3808
Fax:
E-mail: dswims@schosp.org","Cecilia  Galarza
Swedish Hosp
Internal Medicine Pgm
5145 N California Ave
Chicago, IL 60625
Tel: (773) 878-8200
Fax:
E-mail: meded@schosp.org",1401600544,"Swedish Hosp, Internal Medicine Pgm, 5145 N California Ave, Chicago, IL 60625","5145 N California Ave, Chicago, IL 60625","2750 W North Ave, Chicago, IL 60647",,Program provides five paid days of continuing medical education in addition to PTO for vacation and sick leave. Reduced rates for Galter Life Center for residents and their families. Onsite childcare. Reduced rate parking.,8,8,9,No,No,"Yes , Codes: 1159140C0",No,11/30/2020,10/21/2020 - 1/31/2021_10/1/2021 - 1/31/2022,9/15/2021,11/30/2021,Yes,100,No,No,3,Yes,Yes,200_210_465_465,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",Yes,No,No,0,0,20,0,20,0,,0.4 to 1,57,24,1.5,Yes,No,0.0,8.0,92.0,39.2,60.7,Every fourth night for 4 week(s),0,Every fifth night for 4 week(s),0,Every seventh night for 4 week(s),Not Available,5,10%,10%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$54,996.00",20,Not Available,"$57,341.00",20,Not Available,"$59,499.00",20,Not Available,No answer,NGO,NGO,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Required,No,No,No,,,,(4 wks ),,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401611114,Community-based university affiliated,Advocate Illinois Masonic Medical Center,3,3,No,Yes,July,Yes,No,http://www.advocatehealth.com/education/residency-opportunities,Not Available,"Desler  Javier
MD, MBA
Advocate Illinois Masonic Med Ctr
Dept of Internal Medicine Rm 7304
836 W Wellington Ave
Chicago, IL 60657-5193
Tel: (773) 296-7378
Fax: (773) 296-7486
E-mail: desler.avier@aah.org","Angeline  Echeverria
Advocate Illinois Masonic Med Ctr
Dept of Internal Medicine Rm 7304
836 W Wellington Ave
Chicago, IL 60657-5193
Tel: (773) 296-7378
Fax: (773) 296-7486
E-mail: angeline.echeverria@aah.org",1401611114,"Advocate Illinois Masonic Med Ctr, Dept of Internal Medicine Rm 7304, 836 W Wellington Ave, Chicago, IL 60657-5193","3075 Highland Pkwy, Downers Grove, IL 60515","836 W Wellington Ave, Chicago, IL 60657-5193",,"Our program has a newly developed X + Y curriculum that dedicates time for inpatient and outpatient rotations. Residency wellness events held quarterly and residency support groups meet monthly. AIMMC is a Level 1 trauma center, Chicago's lead disaster hospital, and nationally recognized as a leader in LGBT healthcare equality. Our diverse group of international trainees complete six critical care rotations, with a third of their time in elective rotation experiences.",23,16,17,No,Yes,"Yes , Codes: 2117140C0,2117140P0",No,9/1/2020,-_-,,,Yes,316,No,No,3,No,Yes,225_225__,Yes,226-235,No,No Answer,No Answer,"Desired, with some exceptions",Yes,No,No,7,0,30,0,37,0,28.5,0.3 to 1,65,24,1.2,Yes,,13.7,83.4,2.8,39.4,60.5,N/A,0,N/A,0,N/A,Not Available,10,46%,20%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$56,520.00",28,3,"$58,856.00",28,3,"$61,204.00",28,3,Yes,30,NGO,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Required,No,No,Yes,,,Yes,(4 wks ),,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401611122,,,3,3,No,Yes,June,Yes,No,https://www.amitahealth.org/for-healthcare-professionals/residency-programs,Not Available,"Shyam  Chalise
MD
Amita Health St Joseph Hosp
Dept of Internal Medicine
2900 N Lake Shore Dr
Chicago, IL 60657
Tel: (773) 665-3022
Fax: (773) 665-3384
E-mail: harold.hayes@amitahealth.org","Harold  Hayes
Amita Health St Joseph Hosp
Dept of Internal Medicine
2900 N Lake Shore Dr
Chicago, IL 60657
Tel: (773) 665-3022
Fax: (773) 665-3384
E-mail: harold.hayes@amitahealth.org",1401611122,"Amita Health St Joseph Hosp, Dept of Internal Medicine, 2900 N Lake Shore Dr, Chicago, IL 60657","200 S Wacker Dr, Chicago, IL 60606","2900 N Lake Shore Dr, Chicago, IL 60657","2233 W Division St, Chicago, IL 60622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401611123,University-based,University of Chicago Medical Center,3,3,No,Yes,June,Yes,No,http://imr.bsd.uchicago.edu,Not Available,"John  McConville
MD
Univ of Chicago Med Ctr
Medicine MC 7082/AMB A-710
5841 S Maryland Ave
Chicago, IL 60637
Tel: (773) 702-6790
Fax: (773) 702-2230
E-mail: imr@medicine.bsd.uchicago.edu","Karen  Pyrz
Univ of Chicago Med Ctr
AMB A711 MC7082
5841 S Maryland Ave
Chicago, IL 60637-1470
Tel: (773) 702-8079
Fax: (773) 702-2230
E-mail: imr@medicine.bsd.uchicago.edu",1401611123,"Univ of Chicago Med Ctr, Medicine MC 7082/AMB A-710, 5841 S Maryland Ave, Chicago, IL 60637","5841 S Maryland Ave, Chicago, IL 60637",,,We also offer a physician scientist development program that facilitates the pursuit of ABIM's research pathway for those interested primarily in research. Individuals in this pathway receive additional educational funding and mentorship.,41,33,33,No,Yes,"Yes , Codes: 1160140P0,1160140C0",No,12/31/2020,11/18/2020 - 1/21/2021_11/1/2021 - 1/7/2022,9/30/2021,12/31/2021,Yes,400,No,No,3,No,Yes,188___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,Yes,No,253,35,5,0,258,35,44.2,2.3 to 1,70,16,1.5,Yes,,99.3,0.6,0.0,42.0,57.9,Every fourth night for 4 week(s),2,Every third night for 4 week(s),6,Every third night for 4 week(s),6,4,25%,8%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$61,800.00",20,5,"$65,714.00",20,5,"$67,980.00",20,5,No answer,20,60,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,Yes,No,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401612113,Community-based university affiliated,John H Stroger Jr Hospital of Cook County,3,3,No,Yes,July,Yes,No,http://www.cookcountyim.org,Not Available,"Christine  Acob
MD
Cook County Health
Professional Bldg Rm 6203
1950 W Polk St
Chicago, IL 60612
Tel: (312) 864-7202
Fax: (312) 864-9725
E-mail: cchimres@cookcountyhhs.org","Treshana  Davis
MPA
Cook County Health
Professional Bldg 6th Fl #148
1950 W Polk St
Chicago, IL 60612
Tel: (312) 864-7000
Fax: (312) 864-9725
E-mail: cchimres@cookcountyhhs.org",1401612113,"Cook County Health, Professional Bldg Rm 6203, 1950 W Polk St, Chicago, IL 60612","900 W Polk St, Chicago, IL 60612","1969 Ogden Ave, Chicago, IL 60616",,,43,45,44,No,No,"Yes , Codes: 1127140C0,1127140M0",No,12/1/2020,11/1/2020 - 1/31/2021_11/1/2021 - 1/31/2022,,12/1/2021,Yes,320,No,No,4,No,Yes,210_210__,Yes,Greater than 245,No,No,501-540,"Desired, with some exceptions",Yes,Yes,No,222,0,12,0,234,0,40.9,1.7 to 1,60,16,1.2,Yes,Yes,5.0,88.7,6.2,27.5,72.4,N/A,0,Every fourth night for 8 week(s),0,Every fourth night for 4 week(s),Not Available,6,35%,N/A,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$54,192.00",20,12,"$57,217.00",20,12,"$60,008.00",20,12,Yes,32,60,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401631125,,,3,3,No,Yes,"June,Negotiable",Yes,No,http://www.northshore.org/academics/residency-programs/internal-medicine/,Not Available,"Liza  Icayan
MD
NorthShore Univ HealthSystem
Dept of Medicine
2650 Ridge Ave
Evanston, IL 60201
Tel: (847) 570-2509
Fax: (847) 570-2905
E-mail: licayan@northshore.org","Lisa  Przybylski
NorthShore Univ HealthSystem
Dept of Medicine Rm 5315
2650 Ridge Ave
Evanston, IL 60201
Tel: (847) 570-2376
Fax: (847) 570-2905
E-mail: im-tyapplicant@northshore.org",1401631125,"NorthShore Univ HealthSystem, Dept of Medicine, 2650 Ridge Ave, Evanston, IL 60201","5841 S Maryland Ave, Chicago, IL 60637","2650 Ridge Ave, Evanston, IL 60201-1781","9600 Gross Point Rd, Skokie, IL 60076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2100 Pfingsten Rd, Glenview, IL 60025",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401611126,Community-based university affiliated,AMITA Health St Francis Hospital,3,3,No,Yes,"June,July",Yes,No,http://www.amitahealth.org,Not Available,"Harvey J Friedman
MD
Amita Health St Francis Hosp
Dept of Medicine
355 Ridge Ave
Evanston, IL 60202
Tel: (847) 316-3109
Fax: (847) 316-3307
E-mail: harvey.friedman@amitahealth.org","Kathie  Kafka
Amita Health St Francis Hosp
Dept of Medicine
355 Ridge Ave
Evanston, IL 60202-3399
Tel: (847) 316-6228
Fax: (847) 316-3307
E-mail: katherine.kafka@amitahealth.org",1401611126,"Amita Health St Francis Hosp, Dept of Medicine, 355 Ridge Ave, Evanston, IL 60202","200 S Wacker Dr, Chicago, IL 60606","355 Ridge Ave, Evanston, IL 60202-3399",,"Program may pay for any presentation accepted at local, regional, national meetings in addition to yearly CME stipend. Simulation lab, outside elective, research month. We have many research presentations at local, regional and national meetings. Our outpatient clinics provide real world experience. Our graduates have been successful in obtaining prestigious fellowships as well as primary care and hospitalist jobs",22,16,16,No,Yes,"Yes , Codes: 1168140C0,1168140P0",No,11/2/2020,11/18/2019 - 1/29/2021_11/15/2021 - 1/28/2022,9/1/2021,11/1/2021,Yes,250,No,No,3,No,Yes,240_240__,Yes,Greater than 245,No,No,541-600,"Desired, with some exceptions",Yes,Yes,Yes,28,0,25,0,53,0,35.7,0.7 to 1,65,24,1,Yes,,11.2,87.4,1.2,45.2,54.7,Every fourth night for 2 month(s),0,Every fourth night for 2 month(s),2,Every fourth night for 2 month(s),2,10,12%,10%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$57,408.00",19,10,"$59,592.00",19,10,"$61,672.00",19,10,Yes,60,NGO,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Optional,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401600545,,,3,3,No,Yes,July,Yes,No,http://riversidehealthcare.org,Not Available,"Naresh C Chandan
DO, MS
Riverside Med Ctr
Internal Medicine Pgm
350 N Wall St
Kankakee, IL 60901
Tel: (815) 933-1671
Fax: (815) 928-6266
E-mail: nchandan@rhc.net","Heather  Liscomb
Riverside Med Ctr
Internal Medicine Pgm
350 N Wall St
Kankakee, IL 60901
Tel: (815) 928-6274
Fax:
E-mail: hliscomb@rhc.net",1401600545,"Riverside Med Ctr, Internal Medicine Pgm, 350 N Wall St, Kankakee, IL 60901","350 N Wall, Kankakee, IL 60901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401621128,University-based,Loyola University Medical Center,3,3,No,Yes,June,Yes,No,https://www.loyolamedicine.org/gme/internal-medicine-residency/,Not Available,"Kevin P Simpson
MD
Loyola Univ Med Ctr
LUH North Entrance Rm 7609
2160 S First Ave
Maywood, IL 60153
Tel: (708) 216-5368
Fax: (708) 216-6890
E-mail: ksimpso@lumc.edu","Stephen  White
MBA
Loyola Univ Med Ctr
Bldg 102 Rm 7603
2160 S First Ave
Maywood, IL 60153
Tel: (708) 216-5522
Fax: (708) 216-6890
E-mail: spwhite@lumc.edu",1401621128,"Loyola Univ Med Ctr, LUH North Entrance Rm 7609, 2160 S First Ave, Maywood, IL 60153","2160 S First Ave, Maywood, IL 60153-5585","5th Ave & Roosevelt Rd, Hines, IL 60141",,"Loyola offers a robust clinical training experience in an established 4+1 scheduling system. In addition, our residents benefit from protected educational Friday School curriculum, extensive simulation training, ultrasound, research, and QI curricula with broad resident participation in research, ABIM preparation assistance, annual retreats and wellness events, an established advising program, an active Diversity Council, and excellent post-residency fellowship/practice placement.",41,33,33,No,Yes,"Yes , Codes: 1170140C0,1170140P0",No,12/1/2020,10/21/2020 - 2/4/2021_10/1/2021 - 1/31/2022,9/15/2021,12/1/2021,Yes,640,No,No,3,No,Yes,194_209__,Yes,No Answer,No,No,No Answer,"Desired, with some exceptions",Yes,No,No,0,0,0,0,0,0,,0.0 to 1,60,24,1.5,Yes,,83.7,6.9,9.3,37.5,62.4,N/A,0,N/A,0,N/A,Not Available,6,28%,0%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$59,862.00",20,12,"$63,731.00",20,12,"$65,728.00",20,12,Yes,32,NGO,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Optional,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401600543,Community-based university affiliated,Northwestern Medicine McHenry Hospital,3,3,No,Yes,"July,August",Yes,No,https://mchenryresidency.nm.org,Not Available,"Maryna  Shayuk
MD
Northwestern Med McHenry Hosp
MOB A Residency Ste
4309 W Medical Center Dr
McHenry, IL 60050
Tel: (815) 759-6238
Fax: (815) 759-8255
E-mail: mshayuk@nm.org","Karen  Quintana
Northwestern Med McHenry Hosp
MOB A Residency Ste
4309 W Medical Center Dr
McHenry, IL 60050
Tel: (815) 759-4726
Fax: (815) 759-8255
E-mail: karen.quintana@nm.org",1401600543,"Northwestern Med McHenry Hosp, MOB A Residency Ste, 4309 W Medical Center Dr, McHenry, IL 60050","3333 Green Bay Rd, North Chicago, IL 60064","4201 W Medical Center Dr, McHenry, IL 60050",,ACP membership for residents provided; NEJM Knowledge+; Yale ambulatory care curriculum; meals for breakfast and lunch provided; AMA IPM program; educational stipend for the three years in residency only; 24/7 attending coverage in the hospital; trainees never without onsite attending; stipend for publications and scholarly activities; Program providing MKSAP 18 for PGY2 and 3 to support board preparation; 14 days Administrative leave in 3 years for attendance of local and national meetings.,13,13,11,No,No,"Yes , Codes: 3053140C1",No,12/31/2020,11/2/2020 - 1/29/2021_10/11/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,217,No,No,3,No,Yes,200_230_450_,Yes,210-225,Yes,No,450-500,"Desired, with some exceptions",Yes,No,No,1,0,32,1,33,1,100.0,0.4 to 1,60,16,1.4,No,,16.8,79.8,3.3,42.4,57.5,N/A,0,N/A,0,N/A,Not Available,5,23%,15%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$55,709.00",28,14,"$57,717.00",28,14,"$60,071.00",28,14,Yes,28,84,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Optional,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401621111,University-based,Captain James A Lovell Federal Health Care Center,3,3,No,Yes,July,Yes,No,http://www.rosalindfranklin.edu,Video Tour of RFUMS,"Vidya  Puthenveetil
MD
Rosalind Franklin Univ/Chicago Med Sch
Dept of Medicine
3333 Green Bay Rd
North Chicago, IL 60064
Tel:
Fax:
E-mail: imresidency@rosalindfranklin.edu","Lolita  Edwards
Rosalind Franklin Univ/Chicago Med Sch
Dept of GME 1363A-BSB
3333 Green Bay Rd
North Chicago, IL 60064-3095
Tel:
Fax:
E-mail: imresidency@rosalindfranklin.edu",1401621111,"Rosalind Franklin Univ/Chicago Med Sch, Dept of Medicine, 3333 Green Bay Rd, North Chicago, IL 60064","3333 Green Bay Rd, North Chicago, IL 60064","3001 Green Bay Rd, North Chicago, IL 60064","California Ave at 15th St, Chicago, IL 60608-1797","All residents will complete their residency at the James A Lovell Federal Health Care Center. Overall 93% ABIM Board pass rate for past four years. 50% of trainees go into fellowship, >75% involved in clinical research.",10,10,10,No,No,"Yes , Codes: 3053140C0",No,12/11/2020,11/2/2020 - 1/15/2021_11/1/2021 - 1/14/2022,9/15/2021,12/10/2021,No,150,No,No,3,No,Yes,205_205_400_,Yes,226-235,Yes,Yes,No Answer,Required,Yes,No,No,46,3,9,0,55,3,28.2,1.6 to 1,60,16,1.3,Yes,,13.3,82.9,3.7,34.6,65.3,Every third night for 6 month(s),0,Every third night for 5 month(s),0,Every third night for 3 month(s),Not Available,9,20%,N/A,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$55,709.00",20,15,"$57,717.00",20,15,"$60,071.00",20,15,No answer,15,84,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Optional,No,No,Yes,"222 N Canal St, Chicago, IL 60606",,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1401621129,Community-based university affiliated,Advocate Christ Medical Center,3,3,No,Yes,"June,July",Yes,No,http://www.christimres.com,Not Available,"Armand  Krikorian
MD
Advocate Christ Med Ctr
Rm 131-NO
4440 W 95th St
Oak Lawn, IL 60453
Tel: (708) 684-5673
Fax: (708) 684-2500
E-mail: armand.krikorian@advocatehealth.com","Lisa  Lawrence-Harris
BS
Advocate Christ Med Ctr
Rm 131-NO
4440 W 95th St
Oak Lawn, IL 60453
Tel: (708) 684-5673
Fax: (708) 684-2500
E-mail: lisa.lawrence-harris@advocatehealth.com",1401621129,"Advocate Christ Med Ctr, Rm 131-NO, 4440 W 95th St, Oak Lawn, IL 60453","1853 W Polk St, Chicago, IL 60612","4440 W 95th St, Oak Lawn, IL 60453-4213","1740 W Taylor St, Chicago, IL 60612",,24,21,21,No,Yes,"Yes , Codes: 1150140P1,1150140C0",No,10/30/2020,11/1/2020 - 11/30/2020_11/1/2021 - 12/30/2021,9/1/2021,10/31/2021,Yes,300,No,No,3,No,Yes,200_200_450_450,Yes,210-225,Yes,Yes,450-500,Required,Yes,No,Yes,15,0,13,0,28,0,53.3,0.3 to 1,50,12,1.3,Yes,,25.1,28.6,46.1,52.7,47.2,N/A,0,N/A,0,N/A,Not Available,7,10%,0%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$58,716.00",20,24,"$60,780.00",20,24,"$62,856.00",20,24,Yes,28,60,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Optional,No,No,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
