,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,Hispanic,White,Two or more races,African American,Asian,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/crow-wing-county-mn/,A minus,B,B+,B+,C,B,C minus,B,A minus,A minus,B+,"Crow Wing County is located in Minnesota with a population of 64,217. In Crow Wing County, most residents own their homes. Many young professionals and retirees live in Crow Wing County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.12,0.1,0.07,0.11,0.11,0.12,0.15,0.22,0.09,-0.25,0.16,-0.20000000000000007,0.39,0.3448275862068968,0.3,0.11111111111111094,0.06,-0.5,,,1,1,0,0,0,0.018000000000000002,0.106,0.004,0.01,0.95,0.02,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.2,0.2,0.24,0.28,0.08,0.24,0.33,0.27,0.16
0,https://www.niche.com/places-to-live/c/madison-county-nc/,B+,B+,B,B,C,B minus,B minus,B+,B+,B+,C minus,"Madison County is located in North Carolina with a population of 21,499. In Madison County, most residents own their homes. Many young professionals and retirees live in Madison County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.1,0.09,0.1,0.1,0.12,0.13,0.15,0.22,0.11,-0.08333333333333326,0.17,-0.15000000000000002,0.27,-0.06896551724137923,0.31,0.14814814814814814,0.13,0.08333333333333348,,,1,0,0,0,1,0.025,0.163,0.011000000000000001,0.02,0.94,0.01,0.02,0.01,0.0,0.0,0.0,0.49,0.51,0.27,0.22,0.24,0.2,0.08,0.32,0.34,0.24,0.11
0,https://www.niche.com/places-to-live/c/kanawha-county-wv/,C,B,A minus,B minus,B minus,C+,B minus,A minus,B+,B+,B+,"Kanawha County is located in West Virginia with a population of 183,279. In Kanawha County, most residents own their homes. Many young professionals and retirees live in Kanawha County and residents tend to be conservative.",,,,,,,,0.31,0.69,,,,,,,,,,,,,,,0.11,0.09,0.08,0.12,0.12,0.13,0.15,0.2,0.11,-0.08333333333333326,0.15,-0.2500000000000001,0.26,-0.10344827586206884,0.37,0.37037037037037024,0.11,-0.08333333333333326,,,1,20,38,13,2,0.033,0.171,0.006999999999999999,0.01,0.88,0.03,0.07,0.01,0.0,0.0,0.0,0.48,0.52,0.27,0.22,0.22,0.22,0.08,0.29,0.33,0.24,0.15
0,https://www.niche.com/places-to-live/c/ford-county-il/,A minus,B,B,B,C+,B+,C+,A minus,B+,B,B+,"Ford County is located in Illinois with a population of 13,270. In Ford County, most residents own their homes. Many retirees live in Ford County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.12,0.1,0.07,0.11,0.12,0.13,0.16,0.19,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.34,0.1724137931034484,0.36,0.33333333333333326,0.1,-0.16666666666666663,,,,,,,,0.028999999999999998,0.138,0.004,0.03,0.93,0.01,0.01,0.01,0.01,0.0,0.0,0.49,0.51,0.22,0.22,0.24,0.25,0.07,0.28,0.29,0.27,0.16
0,https://www.niche.com/places-to-live/c/winn-parish-la/,B,A minus,B minus,B minus,A minus,B,unavailable,A,C,C+,B minus,"Winn Parish is a County in Louisiana with a population of 14,313. In Winn Parish, most residents own their homes. Many families live in Winn Parish and residents tend to be conservative.",,,,,,,,0.33,0.67,,,,,,,,,,,,,,,0.1,0.1,0.08,0.14,0.13,0.12,0.13,0.18,0.05,-0.5833333333333333,0.09,-0.55,0.22,-0.2413793103448275,0.46,0.7037037037037037,0.18,0.5,,,3,2,5,2,3,0.027000000000000003,0.188,0.006999999999999999,0.02,0.65,0.01,0.32,0.0,0.01,0.0,0.0,0.53,0.47,0.35,0.24,0.16,0.19,0.06,0.36,0.31,0.2,0.13
0,https://www.niche.com/places-to-live/c/nelson-county-va/,B minus,B minus,C,B,B,A minus,B,B+,B+,B+,C minus,"Nelson County is located in Virginia with a population of 14,831. In Nelson County, most residents own their homes. Many retirees live in Nelson County and residents tend to have moderate political views.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.1,0.08,0.07,0.09,0.1,0.12,0.18,0.26,0.13,0.08333333333333348,0.17,-0.15000000000000002,0.2,-0.31034482758620685,0.35,0.29629629629629606,0.14,0.16666666666666674,,,2,7,7,6,0,0.02,0.131,0.018000000000000002,0.04,0.81,0.01,0.13,0.0,0.0,0.01,0.0,0.49,0.51,0.21,0.15,0.21,0.31,0.11,0.24,0.31,0.23,0.22
0,https://www.niche.com/places-to-live/c/cooper-county-mo/,B,A minus,B,B,B minus,B minus,C+,A minus,B minus,B,C+,"Cooper County is located in Missouri with a population of 17,660. In Cooper County, most residents own their homes. Many families live in Cooper County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.11,0.1,0.09,0.14,0.12,0.12,0.14,0.17,0.07,-0.41666666666666663,0.15,-0.2500000000000001,0.29,0.0,0.38,0.40740740740740744,0.11,-0.08333333333333326,,,,,,,,0.027000000000000003,0.11900000000000001,0.005,0.02,0.88,0.03,0.06,0.0,0.0,0.0,0.0,0.53,0.47,0.23,0.19,0.26,0.28,0.05,0.27,0.33,0.27,0.13
0,https://www.niche.com/places-to-live/c/matagorda-county-tx/,B minus,B,B,B,A,C+,A minus,B+,B minus,C+,B+,"Matagorda County is located in Texas with a population of 36,774. In Matagorda County, most residents own their homes. Many families live in Matagorda County and residents tend to be conservative.",,,,,,,,0.29,0.71,,,,,,,,,,,,,,,0.14,0.12,0.09,0.12,0.11,0.12,0.14,0.16,0.05,-0.5833333333333333,0.13,-0.35,0.32,0.10344827586206917,0.32,0.18518518518518512,0.19,0.5833333333333335,,,,,,,,0.034,0.18899999999999997,0.066,0.42,0.44,0.01,0.1,0.02,0.0,0.0,0.0,0.5,0.5,0.27,0.2,0.2,0.25,0.07,0.32,0.29,0.22,0.17
0,https://www.niche.com/places-to-live/c/beadle-county-sd/,B minus,B+,B+,B minus,B+,B+,C+,A minus,B,D,A,"Beadle County is located in South Dakota with a population of 18,346. In Beadle County, most residents own their homes. Many families and young professionals live in Beadle County and residents tend to be conservative.",,,,,,,,0.34,0.66,,,,,,,,,,,,,,,0.16,0.11,0.07,0.14,0.1,0.1,0.15,0.17,0.06,-0.5,0.14,-0.29999999999999993,0.3,0.034482758620689724,0.34,0.2592592592592593,0.16,0.3333333333333335,,,,,,,,0.011000000000000001,0.156,0.1,0.1,0.77,0.01,0.01,0.09,0.01,0.0,0.0,0.51,0.49,0.19,0.24,0.26,0.26,0.06,0.24,0.34,0.28,0.14
0,https://www.niche.com/places-to-live/c/dixon-county-ne/,B,A minus,B,B,B minus,A,C+,A minus,C,C,B minus,"Dixon County is located in Nebraska with a population of 5,719. In Dixon County, most residents own their homes. Many retirees live in Dixon County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,,,,,,,,0.14,0.11,0.07,0.1,0.11,0.12,0.15,0.2,0.06,-0.5,0.15,-0.2500000000000001,0.31,0.06896551724137945,0.35,0.29629629629629606,0.12,0.0,,,,,,,,0.017,0.094,0.048,0.14,0.84,0.01,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.2,0.21,0.23,0.3,0.06,0.23,0.36,0.29,0.12
0,https://www.niche.com/places-to-live/c/polk-county-mn/,B,B+,B,B,B minus,B+,C,B+,C+,C+,A minus,"Polk County is located in Minnesota with a population of 31,521. In Polk County, most residents own their homes. Many young professionals live in Polk County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.13,0.11,0.09,0.13,0.11,0.12,0.14,0.18,0.07,-0.41666666666666663,0.18,-0.10000000000000009,0.36,0.24137931034482762,0.31,0.14814814814814814,0.08,-0.33333333333333326,,,,,,,,0.021,0.11699999999999999,0.022000000000000002,0.06,0.87,0.02,0.02,0.01,0.02,0.0,0.0,0.51,0.49,0.22,0.17,0.22,0.31,0.09,0.25,0.29,0.3,0.16
0,https://www.niche.com/places-to-live/c/marshall-county-in/,B+,B+,B,B+,B minus,B+,C,A minus,C+,B+,A minus,"Marshall County is located in Indiana with a population of 46,461. In Marshall County, most residents own their homes. Many families live in Marshall County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,,,,,,,,0.14,0.12,0.08,0.11,0.12,0.13,0.13,0.17,0.08,-0.33333333333333326,0.12,-0.4,0.26,-0.10344827586206884,0.39,0.4444444444444444,0.15,0.25,,,2,0,1,0,0,0.031,0.128,0.034,0.1,0.87,0.02,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.21,0.21,0.25,0.27,0.06,0.29,0.31,0.27,0.13
0,https://www.niche.com/places-to-live/c/jackson-county-fl/,B+,B+,B,B+,A minus,B minus,B+,A minus,C+,B,C+,"Jackson County is located in Florida with a population of 47,945. In Jackson County, most residents own their homes. Residents of Jackson County tend to be conservative.",,,,,,,,0.3,0.7,,,,,,,,,,,,,,,0.1,0.09,0.08,0.14,0.14,0.13,0.13,0.19,0.05,-0.5833333333333333,0.07,-0.6499999999999999,0.29,0.0,0.38,0.40740740740740744,0.2,0.6666666666666667,,,0,0,1,0,0,0.035,0.193,0.02,0.05,0.65,0.02,0.27,0.0,0.01,0.0,0.0,0.55,0.45,0.31,0.24,0.24,0.17,0.04,0.33,0.36,0.23,0.08
0,https://www.niche.com/places-to-live/c/crenshaw-county-al/,B,A minus,C,B,B+,B+,B,A,C,C+,C+,"Crenshaw County is located in Alabama with a population of 13,844. In Crenshaw County, most residents own their homes. Many families live in Crenshaw County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,,,,,,,,0.12,0.11,0.08,0.12,0.11,0.13,0.15,0.19,0.05,-0.5833333333333333,0.13,-0.35,0.22,-0.2413793103448275,0.4,0.4814814814814814,0.21,0.75,,,3,0,0,0,0,0.018000000000000002,0.15,0.009000000000000001,0.01,0.71,0.03,0.23,0.01,0.01,0.0,0.0,0.49,0.51,0.32,0.2,0.21,0.22,0.04,0.37,0.32,0.22,0.1
0,https://www.niche.com/places-to-live/c/jefferson-county-mo/,B+,B+,B+,B+,C,B,B minus,B+,A minus,A minus,C minus,"Jefferson County is located in Missouri with a population of 223,951. In Jefferson County, most residents own their homes. Many families live in Jefferson County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,,,,,,,,0.13,0.11,0.08,0.13,0.13,0.14,0.15,0.15,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.37,0.27586206896551735,0.32,0.18518518518518512,0.11,-0.08333333333333326,,,1,3,2,0,0,0.036000000000000004,0.095,0.006999999999999999,0.02,0.94,0.02,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.15,0.17,0.25,0.33,0.1,0.24,0.29,0.29,0.18
0,https://www.niche.com/places-to-live/c/covington-county-al/,A minus,A minus,C,B+,B minus,C+,B,A,B,B,C+,"Covington County is located in Alabama with a population of 37,200. In Covington County, most residents own their homes. Many retirees live in Covington County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.12,0.1,0.07,0.12,0.11,0.13,0.15,0.21,0.05,-0.5833333333333333,0.1,-0.5,0.31,0.06896551724137945,0.37,0.37037037037037024,0.17,0.41666666666666674,,,,,,,,0.046,0.184,0.004,0.02,0.83,0.01,0.13,0.0,0.0,0.0,0.0,0.48,0.52,0.31,0.22,0.21,0.22,0.05,0.32,0.34,0.23,0.11
0,https://www.niche.com/places-to-live/c/van-wert-county-oh/,B+,A minus,B+,B+,C,B,B minus,A minus,B minus,B minus,B,"Van Wert County is located in Ohio with a population of 28,261. In Van Wert County, most residents own their homes. Many retirees live in Van Wert County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.13,0.11,0.08,0.11,0.12,0.13,0.14,0.19,0.06,-0.5,0.1,-0.5,0.3,0.034482758620689724,0.44,0.6296296296296295,0.09,-0.25,,,1,4,2,0,0,0.025,0.111,0.003,0.03,0.94,0.01,0.01,0.0,0.0,0.0,0.0,0.49,0.51,0.19,0.21,0.29,0.26,0.05,0.25,0.33,0.31,0.11
0,https://www.niche.com/places-to-live/c/osceola-county-ia/,B+,A,B,B,C+,A,C,A,C+,C minus,B+,"Osceola County is located in Iowa with a population of 6,052. In Osceola County, most residents own their homes. Many retirees live in Osceola County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.12,0.11,0.06,0.1,0.11,0.13,0.16,0.21,0.05,-0.5833333333333333,0.13,-0.35,0.34,0.1724137931034484,0.37,0.37037037037037024,0.12,0.0,,,,,,,,0.02,0.12300000000000001,0.037000000000000005,0.08,0.89,0.01,0.01,0.0,0.0,0.0,0.0,0.51,0.49,0.18,0.18,0.29,0.28,0.08,0.23,0.31,0.32,0.14
0,https://www.niche.com/places-to-live/c/whiteside-county-il/,B+,B,A minus,B+,B minus,B minus,C+,B+,B,A minus,B+,"Whiteside County is located in Illinois with a population of 56,016. In Whiteside County, most residents own their homes. Many retirees live in Whiteside County and residents tend to have moderate political views.",,,,,,,,0.25,0.75,,,,,,,,,,,,,,,0.12,0.11,0.08,0.11,0.11,0.13,0.15,0.2,0.06,-0.5,0.12,-0.4,0.35,0.2068965517241379,0.38,0.40740740740740744,0.09,-0.25,,,0,1,0,0,0,0.027999999999999997,0.106,0.019,0.12,0.85,0.01,0.02,0.01,0.0,0.0,0.0,0.49,0.51,0.2,0.22,0.25,0.26,0.07,0.26,0.33,0.26,0.14
0,https://www.niche.com/places-to-live/c/latimer-county-ok/,C+,B+,C minus,B,A minus,C+,B,A,B minus,B+,B,"Latimer County is located in Oklahoma with a population of 10,348. In Latimer County, most residents own their homes. Many retirees live in Latimer County and residents tend to be conservative.",,,,,,,,0.3,0.7,,,,,,,,,,,,,,,0.11,0.11,0.1,0.11,0.1,0.12,0.13,0.21,0.05,-0.5833333333333333,0.12,-0.4,0.34,0.1724137931034484,0.37,0.37037037037037024,0.12,0.0,,,,,,,,0.052000000000000005,0.183,0.005,0.04,0.65,0.09,0.01,0.01,0.2,0.0,0.0,0.51,0.49,0.31,0.19,0.24,0.2,0.06,0.35,0.33,0.21,0.11
0,https://www.niche.com/places-to-live/c/highlands-county-fl/,B minus,B,B,B minus,B+,C+,A,B+,B+,B+,A minus,"Highlands County is located in Florida with a population of 103,437. In Highlands County, most residents own their homes. Many retirees live in Highlands County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,,,,,,,,0.09,0.08,0.06,0.09,0.09,0.1,0.13,0.35,0.06,-0.5,0.11,-0.45000000000000007,0.3,0.034482758620689724,0.39,0.4444444444444444,0.14,0.16666666666666674,,,0,0,1,0,0,0.040999999999999995,0.184,0.06,0.2,0.67,0.02,0.09,0.01,0.0,0.0,0.0,0.49,0.51,0.29,0.25,0.25,0.16,0.05,0.33,0.37,0.2,0.1
0,https://www.niche.com/places-to-live/c/bond-county-il/,B,B+,B+,B minus,B minus,B+,B minus,A minus,B,C+,B minus,"Bond County is located in Illinois with a population of 16,589. In Bond County, most residents own their homes. Residents of Bond County tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.1,0.09,0.1,0.12,0.13,0.13,0.15,0.18,0.09,-0.25,0.14,-0.29999999999999993,0.33,0.13793103448275867,0.33,0.2222222222222221,0.11,-0.08333333333333326,,,,,,,,0.018000000000000002,0.142,0.012,0.04,0.88,0.0,0.08,0.0,0.0,0.0,0.0,0.52,0.48,0.22,0.15,0.23,0.31,0.08,0.31,0.26,0.28,0.15
0,https://www.niche.com/places-to-live/c/roseau-county-mn/,A minus,A minus,B,B+,C+,B+,C minus,A minus,C,B,A minus,"Roseau County is located in Minnesota with a population of 15,361. In Roseau County, most residents own their homes. Many families live in Roseau County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,,,,,,,,0.13,0.12,0.08,0.1,0.12,0.14,0.15,0.17,0.04,-0.6666666666666666,0.16,-0.20000000000000007,0.38,0.3103448275862071,0.35,0.29629629629629606,0.07,-0.41666666666666663,,,,,,,,0.018000000000000002,0.079,0.013000000000000001,0.01,0.92,0.01,0.01,0.03,0.02,0.0,0.0,0.51,0.49,0.15,0.19,0.26,0.32,0.08,0.23,0.3,0.35,0.12
0,https://www.niche.com/places-to-live/c/bay-county-mi/,B minus,B minus,A,B,C+,C+,C+,A minus,B+,B,B,"Bay County is located in Michigan with a population of 104,104. In Bay County, most residents own their homes. Many retirees live in Bay County and residents tend to lean conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.11,0.1,0.08,0.12,0.11,0.13,0.15,0.2,0.06,-0.5,0.13,-0.35,0.37,0.27586206896551735,0.35,0.29629629629629606,0.1,-0.16666666666666663,,,1,3,2,0,1,0.038,0.156,0.006,0.05,0.9,0.02,0.02,0.01,0.0,0.0,0.0,0.49,0.51,0.23,0.24,0.24,0.24,0.06,0.29,0.32,0.26,0.13
0,https://www.niche.com/places-to-live/c/franklin-county-in/,B,A minus,B,B+,C,B+,C,A minus,B,A minus,C+,"Franklin County is located in Indiana with a population of 22,774. In Franklin County, most residents own their homes. Many families live in Franklin County and residents tend to be conservative.",,,,,,,,0.16,0.84,,,,,,,,,,,,,,,0.12,0.11,0.08,0.1,0.12,0.14,0.15,0.18,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.24,-0.1724137931034483,0.43,0.5925925925925926,0.13,0.08333333333333348,,,,,,,,0.016,0.08800000000000001,0.006,0.01,0.97,0.01,0.0,0.01,0.0,0.0,0.0,0.49,0.51,0.19,0.16,0.25,0.31,0.09,0.26,0.31,0.28,0.16
0,https://www.niche.com/places-to-live/c/lee-county-tx/,B minus,B+,B,B,A,A minus,B+,B+,C,B,C+,"Lee County is located in Texas with a population of 17,058. In Lee County, most residents own their homes. Many families live in Lee County and residents tend to be conservative.",,,,,,,,0.19,0.81,,,,,,,,,,,,,,,0.12,0.11,0.1,0.1,0.12,0.12,0.15,0.19,0.04,-0.6666666666666666,0.1,-0.5,0.34,0.1724137931034484,0.36,0.33333333333333326,0.15,0.25,,,,,,,,0.016,0.12300000000000001,0.068,0.24,0.63,0.01,0.11,0.01,0.0,0.0,0.0,0.5,0.5,0.23,0.18,0.27,0.24,0.09,0.27,0.3,0.3,0.12
0,https://www.niche.com/places-to-live/c/stanly-county-nc/,B,B,C+,B,B,B minus,B+,A minus,A minus,B+,C+,"Stanly County is located in North Carolina with a population of 61,588. In Stanly County, most residents own their homes. Residents of Stanly County tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.12,0.1,0.08,0.12,0.11,0.14,0.14,0.19,0.05,-0.5833333333333333,0.12,-0.4,0.35,0.2068965517241379,0.33,0.2222222222222221,0.15,0.25,,,0,1,1,1,0,0.036000000000000004,0.127,0.018000000000000002,0.04,0.81,0.02,0.11,0.02,0.0,0.0,0.0,0.5,0.5,0.21,0.21,0.25,0.27,0.06,0.29,0.32,0.27,0.12
0,https://www.niche.com/places-to-live/c/caldwell-parish-la/,B,A minus,B minus,B,B,B+,unavailable,A,B minus,C+,C,"Caldwell Parish is a County in Louisiana with a population of 9,992. In Caldwell Parish, most residents own their homes. Many families live in Caldwell Parish and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.14,0.09,0.09,0.13,0.11,0.13,0.12,0.18,0.03,-0.75,0.11,-0.45000000000000007,0.2,-0.31034482758620685,0.43,0.5925925925925926,0.23,0.9166666666666667,,,0,2,2,0,0,0.037000000000000005,0.251,0.019,0.03,0.79,0.01,0.16,0.0,0.0,0.0,0.0,0.52,0.48,0.37,0.2,0.18,0.19,0.06,0.41,0.28,0.17,0.15
0,https://www.niche.com/places-to-live/c/citrus-county-fl/,B,B,B+,B minus,C+,B minus,A minus,B+,B,A minus,B minus,"Citrus County is located in Florida with a population of 145,169. In Citrus County, most residents own their homes. Many retirees live in Citrus County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,,,,,,,,0.07,0.07,0.06,0.08,0.08,0.11,0.16,0.36,0.07,-0.41666666666666663,0.11,-0.45000000000000007,0.33,0.13793103448275867,0.37,0.37037037037037024,0.12,0.0,,,4,6,1,3,2,0.033,0.156,0.019,0.06,0.88,0.01,0.03,0.02,0.0,0.0,0.0,0.49,0.51,0.27,0.24,0.26,0.19,0.05,0.3,0.37,0.23,0.11
0,https://www.niche.com/places-to-live/c/kleberg-county-tx/,B minus,C+,A minus,B minus,B+,C+,A minus,B,B,C minus,B,"Kleberg County is located in Texas with a population of 30,974. In Kleberg County, most residents own their homes. Many families and young professionals live in Kleberg County and residents tend to have moderate political views.",,,,,,,,0.47,0.53,,,,,,,,,,,,,,,0.14,0.1,0.2,0.14,0.11,0.09,0.09,0.13,0.07,-0.41666666666666663,0.18,-0.10000000000000009,0.27,-0.06896551724137923,0.27,0.0,0.22,0.8333333333333335,,,,,,,,0.05,0.271,0.035,0.73,0.2,0.01,0.03,0.02,0.0,0.0,0.0,0.51,0.49,0.33,0.19,0.17,0.25,0.06,0.36,0.28,0.22,0.14
0,https://www.niche.com/places-to-live/c/strafford-county-nh/,B minus,C minus,B+,B+,C+,B+,C,C,A minus,A,B,"Strafford County is located in New Hampshire with a population of 129,124. In Strafford County, most residents own their homes. Many young professionals live in Strafford County and residents tend to lean liberal.",,,,,,,,0.34,0.66,,,,,,,,,,,,,,,0.1,0.09,0.16,0.13,0.11,0.13,0.13,0.15,0.13,0.08333333333333348,0.22,0.09999999999999987,0.29,0.0,0.28,0.03703703703703698,0.07,-0.41666666666666663,,,5,2,2,0,0,0.024,0.095,0.028999999999999998,0.03,0.91,0.02,0.01,0.03,0.0,0.0,0.0,0.49,0.51,0.15,0.15,0.21,0.34,0.15,0.28,0.25,0.26,0.21
0,https://www.niche.com/places-to-live/c/bibb-county-ga/,C minus,C minus,A,B minus,A,C+,A minus,B,B+,B+,B+,"Bibb County is located in Georgia with a population of 153,200. In Bibb County, most residents own their homes. Many families and young professionals live in Bibb County and residents tend to lean liberal.",,,,,,,,0.48,0.52,,,,,,,,,,,,,,,0.14,0.11,0.1,0.14,0.12,0.12,0.13,0.15,0.11,-0.08333333333333326,0.15,-0.2500000000000001,0.3,0.034482758620689724,0.3,0.11111111111111094,0.14,0.16666666666666674,,,2,4,6,0,0,0.042,0.24600000000000002,0.016,0.03,0.38,0.02,0.54,0.02,0.0,0.0,0.0,0.47,0.53,0.32,0.22,0.19,0.2,0.08,0.35,0.29,0.21,0.15
0,https://www.niche.com/places-to-live/c/grant-county-in/,B,B,A minus,B,B minus,C+,B minus,A minus,B minus,B minus,A minus,"Grant County is located in Indiana with a population of 66,452. In Grant County, most residents own their homes. Residents of Grant County tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.11,0.1,0.13,0.11,0.1,0.13,0.14,0.19,0.08,-0.33333333333333326,0.1,-0.5,0.29,0.0,0.4,0.4814814814814814,0.13,0.08333333333333348,,,1,5,9,0,0,0.043,0.17800000000000002,0.009000000000000001,0.04,0.85,0.03,0.07,0.01,0.0,0.0,0.0,0.48,0.52,0.26,0.24,0.24,0.22,0.04,0.34,0.33,0.23,0.1
0,https://www.niche.com/places-to-live/c/atkinson-county-ga/,B,B+,D,B+,A,B,B+,A,C,C,C,"Atkinson County is located in Georgia with a population of 8,239. In Atkinson County, most residents own their homes. Many families live in Atkinson County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.14,0.13,0.1,0.12,0.14,0.12,0.12,0.14,0.07,-0.41666666666666663,0.05,-0.75,0.2,-0.31034482758620685,0.35,0.29629629629629606,0.33,1.7500000000000004,,,0,1,1,0,0,0.045,0.295,0.102,0.25,0.57,0.0,0.17,0.0,0.01,0.0,0.0,0.51,0.49,0.3,0.27,0.22,0.15,0.06,0.35,0.36,0.19,0.09
0,https://www.niche.com/places-to-live/c/auglaize-county-oh/,B+,B+,B+,B,C,A minus,C+,A minus,B minus,B,B+,"Auglaize County is located in Ohio with a population of 45,729. In Auglaize County, most residents own their homes. Many families live in Auglaize County and residents tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.13,0.11,0.08,0.11,0.11,0.13,0.15,0.18,0.07,-0.41666666666666663,0.12,-0.4,0.3,0.034482758620689724,0.43,0.5925925925925926,0.07,-0.41666666666666663,,,0,0,1,0,0,0.02,0.083,0.004,0.02,0.96,0.01,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.16,0.18,0.24,0.34,0.08,0.22,0.3,0.31,0.17
0,https://www.niche.com/places-to-live/c/heard-county-ga/,A,A,C minus,B+,B minus,B,B,A,B minus,B,D+,"Heard County is located in Georgia with a population of 11,736. In Heard County, most residents own their homes. Many families live in Heard County and residents tend to be conservative.",,,,,,,,0.29,0.71,,,,,,,,,,,,,,,0.12,0.11,0.08,0.11,0.12,0.15,0.14,0.17,0.05,-0.5833333333333333,0.04,-0.8,0.26,-0.10344827586206884,0.45,0.6666666666666665,0.2,0.6666666666666667,,,0,2,0,0,0,0.031,0.14400000000000002,0.012,0.03,0.85,0.03,0.09,0.01,0.0,0.0,0.0,0.49,0.51,0.26,0.18,0.28,0.25,0.04,0.3,0.36,0.25,0.1
0,https://www.niche.com/places-to-live/c/kenai-peninsula-borough-ak/,B+,C+,B,B+,B,B,unavailable,C minus,B+,A minus,A minus,"Kenai Peninsula Borough is a County in Alaska with a population of 58,464. In Kenai Peninsula Borough, most residents own their homes. Many families and young professionals live in Kenai Peninsula Borough.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.12,0.1,0.08,0.12,0.12,0.13,0.16,0.16,0.1,-0.16666666666666663,0.15,-0.2500000000000001,0.37,0.27586206896551735,0.31,0.14814814814814814,0.07,-0.41666666666666663,,,2,3,1,0,0,0.043,0.12,0.013999999999999999,0.04,0.8,0.05,0.01,0.02,0.08,0.01,0.0,0.52,0.48,0.19,0.16,0.21,0.3,0.14,0.31,0.24,0.22,0.23
0,https://www.niche.com/places-to-live/c/bottineau-county-nd/,B minus,A minus,B,B minus,C+,A minus,C,A minus,C minus,C,B+,"Bottineau County is located in North Dakota with a population of 6,502. In Bottineau County, most residents own their homes. Many young professionals and retirees live in Bottineau County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,,,,,,,,0.11,0.1,0.09,0.1,0.1,0.11,0.16,0.23,0.05,-0.5833333333333333,0.19,-0.050000000000000044,0.4,0.3793103448275863,0.28,0.03703703703703698,0.08,-0.33333333333333326,,,,,,,,0.021,0.09699999999999999,0.011000000000000001,0.02,0.91,0.01,0.01,0.0,0.04,0.0,0.0,0.52,0.48,0.19,0.17,0.25,0.29,0.1,0.24,0.3,0.27,0.19
