,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Intro,Year 1,Year 2,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 1,Participant 2,Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,,Year 4,Year 5,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Night float system (Residents participate during first year),Participant 8,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Participant 9,Specialty Details,1,15,2,3,Yes
0,https://freida.ama-assn.org/program/3201221414,University-based,Children's Healthcare of Atlanta at Scottish Rite,3,3,No,Yes,July,Yes,No,http://www.msm.edu/Education/GME/PedsResidencyProgram/index.php,Not Available,"Sher L Gardner
MD
Morehouse Sch of Med
Dept of Pediatrics
720 Westview Dr SW
Atlanta, GA 30310
Tel: (404) 756-1371
Fax: (404) 756-1357
E-mail: sgardner@msm.edu","Anita  Albritton
BS
Morehouse Sch of Med
Dept of Pediatrics
720 Westview Dr SW
Atlanta, GA 30310
Tel: (404) 756-1393
Fax: (404) 756-1357
E-mail: aalbritton@msm.edu",3201221414,"Morehouse Sch of Med, Dept of Pediatrics, 720 Westview Dr SW, Atlanta, GA 30310","720 Westview Dr SW, Atlanta, GA 30310-1495","1101 Johnson Ferry Rd NE, Atlanta, GA 30342-1600","We spend a significant amount of time in a tertiary care hospital as well as time in a rural town in middle Georgia. We are confident that we have one of the most well rounded experiences that training has to offer. In addition, the social determinants of health and the effects of health disparities are taught with intent to give residents the tools to affect change. We also have a community service expectation of 25 hrs/academic year that our residents gladly fulfill.",6,6,No,No,"Yes , Codes: 2099320C0",No,12/31/2020,11/2/2020 - 1/15/2021_10/29/2021 - 1/10/2022,9/15/2021,12/31/2021,Yes,79,No,No,3,No,Yes,192__400_,No,No Answer,Yes,No,No Answer,"Desired, with some exceptions",Yes,No,No,15,1,2,0,17,1,66.6,0.8 to 1,60,24,1,No,,N/A,0,N/A,0,N/A,Not Available,5,10%,25%,"$64,421.00",15,15,"$66,523.00",15,15,Yes,30,60,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Required,Yes,Yes,Yes,"1405 Clifton Rd NE, Atlanta, GA 30322-1101","80 Butler St SE, Atlanta, GA 30335",6,,,,"2701 N Decatur Rd, Decatur, GA 30033-5995","1000 Medical Center Blvd, Lawrenceville, GA 30245",,,,"$60,884.00",15,15,(2 wks ),,,75.2,19,5.6,84.7,15.2,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201221062,University-based,Medical College of Georgia,3,3,No,Yes,July,Yes,No,http://www.augusta.edu/mcg/residents/pedsresidency/,Not Available,"Leila Eanes Stallworth
MD
Med Coll of Georgia/Augusta Univ
BG1071
1120 15th St
Augusta, GA 30912
Tel: (706) 721-9442
Fax: (706) 721-9463
E-mail: lstallwo@augusta.edu","Alice V Hollimon
Med Coll of Georgia/Augusta Univ
BG1071
1120 15th St
Augusta, GA 30912
Tel: (706) 721-9442
Fax: (706) 721-9463
E-mail: peds_residency_program@augusta.edu",3201221062,"Med Coll of Georgia/Augusta Univ, BG1071, 1120 15th St, Augusta, GA 30912","1120 15th St, Augusta, GA 30912-5000","302 University Pkwy, Aiken, SC 29801",,15,15,No,No,"Yes , Codes: 1985320C0",No,12/31/2020,11/2/2020 - 1/29/2021_10/18/2021 - 1/20/2022,9/13/2021,12/31/2021,Yes,185,No,No,3,No,Yes,200__450_,No,210-225,Yes,Yes,450-500,Not required,Yes,No,No,60,18,3,0,63,18,56.6,1.3 to 1,65,20,1,No,Yes,N/A,4,N/A,2,N/A,2,5,25%,8%,"$55,402.00",21,21,"$57,273.00",21,21,Yes,42,NGO,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,Yes,Yes,Yes,,,15,,,,,,,,,"$53,586.00",21,14,,,,54.4,2.8,42.6,72.4,27.5,,,,,,,,,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201221398,Community-based university affiliated,Medical Center Navicent Health,3,3,No,Yes,June,Yes,No,https://www.navicenthealth.org/service-center/pediatrics-residency-program,Not Available,"Yameika A Head
MD
Med Ctr Navicent Health
MSC#42
777 Hemlock St
Macon, GA 31201
Tel: (478) 633-7500
Fax: (478) 633-5142
E-mail: head.yameika@navicenthealth.org","Teresa  Beard
Med Ctr Navicent Health
MSC#42
777 Hemlock St
Macon, GA 31201
Tel: (478) 633-7500
Fax: (478) 633-5142
E-mail: beard.teresa@navicenthealth.org",3201221398,"Med Ctr Navicent Health, MSC#42, 777 Hemlock St, Macon, GA 31201","777 Hemlock St, Macon, GA 31208-6000","1101 Johnson Ferry Rd NE, Atlanta, GA 30342-1600","Board review curriculum, simulation lab curriculum, individualized learning curriculum that is designed for your career with your input, various discounts through local vendors, allotted CME funds.",6,6,No,No,"Yes , Codes: 1120320C0",No,12/1/2020,10/27/2020 - 1/29/2021_10/5/2021 - 1/14/2022,9/17/2021,12/1/2021,Yes,70,No,No,3,No,Yes,198_209_400_400,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",No,No,No,26,0,14,0,40,0,61.5,1.8 to 1,65,12,1,Yes,,Once per week for 1 month(s),0,Once per week for 1 month(s),0,Once per week for 1 month(s),Not Available,6,40%,0%,"$55,120.00",15,7,"$57,616.00",15,7,Yes,60,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,No,Yes,,,6,,,,,,,,,"$52,624.00",15,7,,,,34.6,43.4,21.8,70.9,29,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201221400,Community-based university affiliated,HCA Healthcare/Mercer University School of Medicine,3,3,No,Yes,"June,July",Yes,No,http://memorialhealth.com/gme/pediatrics/,Not Available,"Alison E Niebanck
MD
Memorial Health-Univ Med Ctr
Dept of Pediatrics
4700 Waters Ave
Savannah, GA 31404
Tel: (912) 350-8193
Fax: (912) 350-3604
E-mail: alison.niebanck@hcahealthcare.com","Deborah T Chapman
Memorial Health-Univ Med Ctr
Dept of Pediatrics
4700 Waters Ave
Savannah, GA 31404
Tel: (912) 350-8193
Fax: (912) 350-3604
E-mail: deborah.chapman2@hcahealthcare.com",3201221400,"Memorial Health-Univ Med Ctr, Dept of Pediatrics, 4700 Waters Ave, Savannah, GA 31404","PO Box 23089, Savannah, GA 31404",,"The pediatric residency program at the Dwaine & Cynthia Willett Children's Hospital of Savannah is a small to medium-sized program based at a community tertiary medical center which serves as the safety net hospital for southeast Georgia. Our residents have exposure to a broad case mix of both general and subspecialty patients, providing experience caring for common and rare disease states of pediatrics.",8,8,No,No,"Yes , Codes: 1971320C0",No,12/1/2020,11/3/2020 - 1/15/2021_10/19/2021 - 12/17/2021,9/1/2021,12/1/2021,Yes,70,No,No,3,No,Yes,210_210_500_500,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",No,No,No,16,0,2,0,18,0,68.7,0.7 to 1,60,24,1.5,No,,N/A,0,N/A,0,N/A,Not Available,8,30%,10%,"$54,506.00",15,NGO,"$56,212.00",15,NGO,No,NGO,NGO,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,8,,,,,,,,,"$52,934.00",15,NGO,,,,63.4,19.9,16.6,57.4,42.5,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201421063,Community-based university affiliated,Kapiolani Medical Center for Women and Children,3,3,No,Yes,July,Yes,No,http://www.hawaiiresidency.org/pediatric-residency/pediatric-residency-home,Not Available,"David  Kurahara
MD
Kapiolani Med Ctr for Women and Children
7th Fl
1319 Punahou St
Honolulu, HI 96826
Tel: (808) 369-1200
Fax: (808) 369-1212
E-mail: davidk@kapiolani.org","Elizabeth  Welch
BS
Kapiolani Med Ctr for Women and Children
Pediatrics Pgm 7th Fl Rm 736
1319 Punahou St
Honolulu, HI 96826
Tel: (808) 369-1200
Fax: (808) 369-1212
E-mail: peds@hawaii.edu",3201421063,"Kapiolani Med Ctr for Women and Children, 7th Fl, 1319 Punahou St, Honolulu, HI 96826","1356 Lusitana St, Honolulu, HI 96813","1319 Punahou St, Honolulu, HI 96826-1032","Small program with remarkable and diverse patients from around the world. Referral center for the Pacific. Truly individualized curriculum, annual one week QI rotation (PGY1 and PGY2), research week (PGY3), and regularly scheduled Board review sessions.",8,8,No,No,"Yes , Codes: 3350320C0",No,12/15/2020,11/2/2020 - 1/29/2021_11/1/2021 - 1/28/2022,9/15/2021,12/15/2021,No,80,No,No,3,No,Yes,195_210_450_500,Yes,226-235,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,9,0,64,0,73,0,33.3,1.7 to 1,75,28,1,No,,N/A,0,Every seventh night for 2 month(s),0,Every seventh night for 2 month(s),Not Available,8,25%,10%,"$62,463.00",21,12,"$63,868.00",21,12,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Resident Shares Cost,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Required,No,No,Yes,"1310 Punahou St, Honolulu, HI 96826-1099","1 Jarrett White Rd, Honolulu, HI 96859-5000",8,,,,,,,,,"$61,133.00",21,12,(1 wks ),,,63,29.6,7.3,64.1,35.8,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201421007,,,3,3,Yes,Yes,July,No,Yes,https://www.tamc.amedd.army.mil/residency/mchk-pe/pedres.htm,Not Available,"Ryan P Flanagan
MD
Tripler Army Med Ctr
Dept of Pediatrics (MCHK-PE)
1 Jarrett White Rd
Tripler AMC, HI 96859
Tel:
Fax:
E-mail: ryan.p.flanagan2.mil@mail.mil","Program  Coordinator
Tripler Army Med Ctr
Dept of Pediatrics (Attn MCHK-PE)
1 Jarrett White Rd
Tripler AMC, HI 96859-5000
Tel: (808) 433-6345
Fax:
E-mail:",3201421007,"Tripler Army Med Ctr, Dept of Pediatrics (MCHK-PE), 1 Jarrett White Rd, Tripler AMC, HI 96859","1 Jarrett White Rd, Honolulu, HI 96859-5000","1319 Punahou St, Honolulu, HI 96826-1032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3201831082,Community-based university affiliated,Central Iowa Health System (Iowa Methodist/Iowa Lutheran),3,3,No,Yes,July,Yes,No,http://www.unitypoint.org/desmoines/residencyprograms,Not Available,"Ken L Cheyne
MD
Blank Children's Hosp
Pediatric Pgm
1200 Pleasant St
Des Moines, IA 50309
Tel: (515) 241-4497
Fax: (515) 241-4405
E-mail: ken.cheyne@unitypoint.org","Elizabeth  Bolten
MHA
Blank Children's Hosp
Pediatric Pgm
1200 Pleasant St
Des Moines, IA 50309
Tel: (515) 241-4497
Fax: (515) 241-4405
E-mail: elizabeth.bolten@unitypoint.org",3201831082,"Blank Children's Hosp, Pediatric Pgm, 1200 Pleasant St, Des Moines, IA 50309","1200 Pleasant St, Des Moines, IA 50309","1801 Hickman Rd, Des Moines, IA 50314-1597","Blank Children's Hospital is one of two children's hospitals in the state of Iowa. Blank has a Level 3 NICU and a dedicated pediatric emergency department staffed 24 hours/day by pediatric emergency medicine trained faculty. We are a Level 2 trauma center. The PED and PICU were remodeled. There are opportunities for one-on-one learning, and teaching of students in a supportive environment to help you grow as a physician and educator.",7,7,No,No,"Yes , Codes: 1201320C0",No,12/15/2020,11/16/2020 - 1/29/2021_11/1/2021 - 1/28/2022,10/18/2021,12/20/2021,Yes,80,No,No,3,No,Yes,194_194_400_400,Yes,No Answer,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,No,No,57,13,10,0,67,13,50.8,2.9 to 1,60,24,1.5,Yes,Yes,Other for 20 week(s),3,Every third night for 12 week(s),3,Every third night for 12 week(s),3,6,50%,20%,"$63,329.00",15,5,"$65,056.00",15,5,Yes,NGO,NGO,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,7,,,,,,,,,"$62,179.00",15,5,,,,30.7,6.3,62.9,74,25.9,,,,,,,,,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201811083,University-based,University of Iowa Hospitals and Clinics,3,3,No,Yes,"June,July",Yes,No,https://gme.medicine.uiowa.edu/pediatrics-residency,UIOWA - Pediatrics Resident Tour,"Amy  Stier
MD, MEd
Univ of Iowa Children's Hosp
Stead Family Dept of Pediatrics 2030 BT
200 Hawkins Dr
Iowa City, IA 52242
Tel: (319) 356-3568
Fax: (319) 356-4855
E-mail: amy-stier@uiowa.edu","Jolynn  Leyden-Schevers
Univ of Iowa Children's Hosp
Stead Family Dept of Pediatrics 2015-BT
200 Hawkins Dr
Iowa City, IA 52242
Tel: (319) 356-3568
Fax: (319) 356-4855
E-mail: susan-hora@uiowa.edu",3201811083,"Univ of Iowa Children's Hosp, Stead Family Dept of Pediatrics 2030 BT, 200 Hawkins Dr, Iowa City, IA 52242","200 Hawkins Dr, Iowa City, IA 52242-1009","1200 Pleasant St, Des Moines, IA 50309","We are a rigorous academic training program with a high volume of hands-on procedures and patient care opportunities, cutting-edge research experiences, and evidence-based teaching skills development, all in a supportive and approachable group of learners and providers, and located in a community with a high quality of life and low cost of living.",15,15,No,No,"Yes , Codes: 1203320C0",No,12/1/2020,10/28/2020 - 1/15/2021_10/11/2021 - 1/14/2022,9/15/2021,12/1/2021,Yes,190,No,No,3,No,Yes,200__500_,No,226-235,Yes,No,Greater than 600,"Desired, with some exceptions",Yes,No,No,131,10,15,1,146,11,51.9,3.0 to 1,65,24,1,No,No,Once per week for 6 month(s),4,Every eleventh night or more for 2 month(s),4,Every eleventh night or more for 4 month(s),4,7,46%,15%,"$59,000.00",21,7,"$62,000.00",21,7,No,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,15,,,,,,,,,"$57,800.00",21,7,,,,72.7,12.5,14.6,65.8,34.1,,,,,,,,,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201611065,,,3,3,No,Yes,July,Yes,No,http://www.cookcountyhhs.org,Not Available,"Rosibell  Arcia Diaz
MD
Stroger Hosp of Cook County
Pediatrics Pgm
1901 W Harrison St
Chicago, IL 60612
Tel:
Fax:
E-mail: rarciadiaz@cookcountyhhs.org","Karen  Ray-Williams
Stroger Hosp of Cook County
6th Fl
1950 W Polk
Chicago, IL 60612
Tel: (312) 864-4505
Fax: (312) 864-9624
E-mail: krwilliams@cookcountyhhs.org",3201611065,"Stroger Hosp of Cook County, Pediatrics Pgm, 1901 W Harrison St, Chicago, IL 60612","900 W Polk St, Chicago, IL 60612","1653 W Congress Pkwy, Chicago, IL 60612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1969 Ogden Ave, Chicago, IL 60616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3201611073,University-based,University of Chicago Comer Children's Hospital,3,3,Yes,Yes,"June,July",Yes,No,http://pediatrics.uchicago.edu/education/residency,Not Available,"Alisa  McQueen
MD
Univ of Chicago Comer Children's Hosp
MC8016
5721 S Maryland Ave
Chicago, IL 60637
Tel: (773) 702-6435
Fax: (773) 834-0748
E-mail: recruitment@peds.bsd.uchicago.edu","Ciara  Holmes
BS
Univ of Chicago Comer Children's Hosp
MC8016
5721 S Maryland Ave
Chicago, IL 60637
Tel: (773) 702-6435
Fax: (773) 834-0748
E-mail: recruitment@peds.bsd.uchicago.edu",3201611073,"Univ of Chicago Comer Children's Hosp, MC8016, 5721 S Maryland Ave, Chicago, IL 60637","5841 S Maryland Ave, Chicago, IL 60637","5721 S Maryland Ave, Chicago, IL 60637","We offer 4-year scholarship tracks that combine pediatric residency with a Master's degree in one of two areas: health services (public policy and/or health economics) or health professions education. The Master's degrees are fully funded by the department, as is the PGY4 salary.",23,19,No,No,"Yes , Codes: 1160320C0,1160320C1,1160320C4",No,,-_-,,,No,230,No,No,3,No,Yes,194_209_400_400,Yes,210-225,Yes,Yes,Greater than 600,"Desired, with some exceptions",Yes,No,No,104,0,0,0,104,0,60.5,1.5 to 1,65,24,1,Yes,,Every fifth night for 2 month(s),2,Every fourth night for 8 month(s),2,Every fourth night for 4 month(s),2,10,30%,15%,"$63,800.00",20,5,"$66,000.00",20,5,Yes,20,60,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Optional,No,No,Yes,"2650 Ridge Ave, Evanston, IL 60201-1781","6501 S Promontory Dr, Chicago, IL 60649",24,,,,,,,,,"$60,000.00",20,5,,,,90.6,6,3.2,74.2,25.7,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201611074,University-based,University of Illinois College of Medicine at Chicago,3,3,No,Yes,"June,July",Yes,No,http://pediatrics.residency.uic.edu,Not Available,"Michelle M Barnes
MD, MS
Univ of Illinois Med Ctr
M/C 856
840 S Wood St
Chicago, IL 60612
Tel: (312) 996-1125
Fax:
E-mail: mbarnes@uic.edu","Diane  Arce
BA
Univ of Illinois Med Ctr
M/C 856
840 S Wood St
Chicago, IL 60612
Tel: (312) 996-6101
Fax: (312) 996-5327
E-mail: pedsprog@uic.edu",3201611074,"Univ of Illinois Med Ctr, M/C 856, 840 S Wood St, Chicago, IL 60612","1853 W Polk St, Chicago, IL 60612","1740 W Taylor St, Chicago, IL 60612","Children's Hospital University of Illinois (CHUI) is a 100 bed children's hospital located in Chicago. Our faculty, most of whom are clinician-educators, provide residents with a well-rounded training experience in inpatient and outpatient pediatrics while caring for an underserved urban population. Our graduates have consistently matched at competitive fellowship programs, have joined pediatric practices in the community, and have embarked on careers in academic or hospital medicine.",13,13,No,Yes,"Yes , Codes: 1150320C0,1150320C1,1150320P0",No,1/15/2021,11/4/2020 - 2/26/2021_11/1/2021 - 1/31/2022,9/1/2021,12/30/2021,Yes,300,No,No,3,No,Yes,192___,No,210-225,No,No,450-500,Not required,Yes,No,No,41,17,44,2,85,19,60.9,1.6 to 1,60,28,1.3,Yes,,N/A,4,N/A,4,N/A,4,10,40%,8%,"$60,780.00",20,24,"$62,856.00",20,24,Yes,24,NGO,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Optional,No,Yes,Yes,,,13,,,,,,,,,"$58,716.00",20,24,,,,65.7,25.8,8.3,85,14.9,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3201621070,,,3,3,No,Yes,June,Yes,No,http://pediatrics.northwestern.edu/education/residents/index.html,Not Available,"Sharon M Unti
MD
Ann & Robert H Lurie Children's Hosp
Box 18
225 E Chicago Ave
Chicago, IL 60611
Tel: (312) 227-3220
Fax: (312) 227-9637
E-mail: sunti@northwestern.edu","Brad  Lynk
MHA
Ann & Robert H Lurie Children's Hosp
Box 18
225 E Chicago Ave
Chicago, IL 60611
Tel: (312) 227-3220
Fax: (312) 227-9637
E-mail: blynk@luriechildrens.org",3201621070,"Ann & Robert H Lurie Children's Hosp, Box 18, 225 E Chicago Ave, Chicago, IL 60611","420 E Superior St, Chicago, IL 60611","225 E Chicago Ave, Chicago, IL 60611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251 E Huron, Chicago, IL 60611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
