,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Participant 3,Night float system,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,,Participant 9,Participant 10
0,https://freida.ama-assn.org/program/1805121116,,,3,3,No,Yes,July,Yes,No,,Not Available,"Jonathan  Snider
MD
VCU Health System
PO Box 980599
1101 E Marshall St
Richmond, VA 23298
Tel: (804) 828-9583
Fax: (804) 828-6373
E-mail: neurores@vcu.edu","Jennifer C Rew
MEd
VCU Health System
PO Box 980599 Rm 6-005
1101 E Marshall St
Richmond, VA 23298-0599
Tel: (804) 828-9583
Fax: (804) 828-6373
E-mail: neurores@vcu.edu",1805121116,"VCU Health System, PO Box 980599, 1101 E Marshall St, Richmond, VA 23298","PO Box 980549, Richmond, VA 23298-0549","1201 Broad Rock Rd, Richmond, VA 23249","PO Box 980510, Richmond, VA 23298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1805100117,University-based,Carilion Clinic-Virginia Tech Carilion School of Medicine,4,4,No,Yes,July,Yes,No,https://www.carilionclinic.org/neurology-residency,Not Available,"Soundarya  Gowda
MD
Carilion Clinic-Virginia Tech Carilion
Neurology Pgm
3 Riverside Circle
Roanoke, VA 24016
Tel:
Fax:
E-mail: sngowda@carilionclinic.org","Erin  Kerr
Carilion Clinic-Virginia Tech Carilion
Neurology Pgm
3 Riverside Circle
Roanoke, VA 24016
Tel: (540) 526-1158
Fax:
E-mail: ewkerr@carilionclinic.org",1805100117,"Carilion Clinic-Virginia Tech Carilion, Neurology Pgm, 3 Riverside Circle, Roanoke, VA 24016","2 Riverside Circle, Roanoke, VA 24016","1906 Belleview St, Roanoke, VA 24014","1970 Roanoke Blvd, Salem, VA 24153-6483",,3,3,3,No,Yes,"Yes , Codes: 1748180C0",No,10/30/2020,11/2/2020 - 12/31/2020_10/15/2021 - 12/31/2021,9/1/2021,10/31/2021,Yes,50,No,No,3,No,Yes,210_210_500_500,Yes,226-235,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,No,No,14,2,0,0,14,2,14.2,1.1 to 1,57,16,1.5,No,Yes,0.0,100.0,0.0,38.5,61.4,N/A,0,N/A,NGO,N/A,NGO,4,30%,N/A,"$56,470.00",20,NGO,"$58,165.00",20,NGO,"$60,056.00",20,NGO,Yes,150,NGO,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Optional,No,No,Yes,,3,N/A,NGO,"$54,325.00",20,NGO,,,,,,,,,,
0,https://freida.ama-assn.org/program/1805011114,,,4,4,No,Yes,July,Yes,No,https://www.uvmhealth.org/gme/Pages/Residencies/neurology.aspx,Not Available,"Alissa  Thomas
MD
Univ of Vermont Med Ctr
Dept of Neurological Sciences Given D401
89 Beaumont Ave
Burlington, VT 05405
Tel: (802) 656-8982
Fax:
E-mail: alissa.thomas@uvmhealth.org","Deborah  Fay
Univ of Vermont Med Ctr
Dept of Neurological Sciences Given D401
89 Beaumont Ave
Burlington, VT 05405
Tel: (802) 656-5175
Fax:
E-mail: deborah.fay@med.uvm.edu",1805011114,"Univ of Vermont Med Ctr, Dept of Neurological Sciences Given D401, 89 Beaumont Ave, Burlington, VT 05405","111 Colchester Ave, Burlington, VT 05401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1805421117,University-based,University of Washington Medical Center-Montlake,3,3,No,Yes,July,Yes,No,http://www.neurology.washington.edu,Not Available,"Patricia  Oakes
MD, JD
Univ of Washington Sch of Med
Box 356465
1959 NE Pacific St
Seattle, WA 98195
Tel: (206) 685-1281
Fax: (206) 685-8100
E-mail: poakes@u.washington.edu","Stella  White
Univ of Washington Sch of Med
Box 356465
1959 NE Pacific St
Seattle, WA 98195
Tel: (206) 685-1281
Fax: (206) 685-8100
E-mail: stellad@uw.edu",1805421117,"Univ of Washington Sch of Med, Box 356465, 1959 NE Pacific St, Seattle, WA 98195","850 Republican St, Seattle, WA 98109","1959 NE Pacific St, Seattle, WA 98195","4800 Sand Point Way NE, Seattle, WA 98105","Global health certification program, library resources, Life After Residency seminar, finance/loans seminars, Housestaff Quality & Safety Council, Wellness Service, Network of Underrepresented Residents and Fellows, Safe Ride Home program, free confidential counselling, learning specialist, transportation allowance, childcare fund, transportation incentive, Master in Public Health. Parking is free at some of the rotation sites.",8,8,8,"Yes  , 1 year(s)",Yes,"Yes , Codes: 1918180C0",No,11/30/2020,11/20/2020 - 1/22/2021_10/29/2021 - 1/14/2022,9/15/2021,10/31/2021,Yes,82,No,No,4,No,Yes,190___,No,226-235,No,No Answer,No Answer,"Desired, with some exceptions",Yes,No,No,83,3,0,0,83,3,43.3,3.4 to 1,58,28,1.5,Yes,,89.0,7.8,3.1,56.0,43.9,Every fourth night for 16 week(s),20,Every seventh night for 8 week(s),16,Every seventh night for 8 week(s),Not Available,2,25%,N/A,"$62,940.00",24,17,"$65,532.00",24,17,"$68,340.00",24,17,No answer,NGO,NGO,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Optional,No,No,Yes,"1660 S Columbian Way, Seattle, WA 98108",,,,,,,"325 Ninth Ave, Seattle, WA 98104-2499",Yes,,,,,,,,
0,https://freida.ama-assn.org/program/1805421138,,,4,4,No,No,"June,July",No,Yes,https://sp2010.madigan.health.mil/public/erd/GME/SitePages/Home.aspx,Not Available,"Russ P Henriet
DO
Madigan Army Med Ctr
Neurology Service MCHJ-CLM-N
9040A Jackson Ave
Tacoma, WA 98431
Tel: (253) 968-1399
Fax: (253) 968-0443
E-mail: sharon.m.buckler.civ@mail.mil","Sharon M Buckler
Madigan Army Med Ctr
Neurology Service Attn MCHJ-CLM-N
9040A Jackson Ave
Tacoma, WA 98381-1100
Tel: (253) 968-1399
Fax: (253) 968-0443
E-mail: sharon.m.buckler.civ@mail.mil",1805421138,"Madigan Army Med Ctr, Neurology Service MCHJ-CLM-N, 9040A Jackson Ave, Tacoma, WA 98431","9040 Jackson Ave, Tacoma, WA 98431","1959 NE Pacific St, Seattle, WA 98195","325 Ninth Ave, Seattle, WA 98104-2499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"747 Broadway, Seattle, WA 98122-4307",,,,,,,"317 S K St, Tacoma, WA 98415-0299",,"400 S 43rd St, Renton, WA 98055",,,,,,,
0,https://freida.ama-assn.org/program/1805621119,University-based,University of Wisconsin Hospitals and Clinics,4,4,No,Yes,June,Yes,No,http://www.neurology.wisc.edu,Not Available,"Justin A Sattin
MD
Univ of Wisconsin Hosp and Clinics
Neurology Pgm
1685 Highland Ave
Madison, WI 53705
Tel: (608) 265-4300
Fax: (608) 263-0412
E-mail: sattin@neurology.wisc.edu","Sara M Nagel
BS
Univ of Wisconsin Hosp and Clinics
Med Foundation Centennial Bldg
1685 Highland Ave
Madison, WI 53705
Tel: (608) 265-4300
Fax: (608) 263-0412
E-mail: residency@neurology.wisc.edu",1805621119,"Univ of Wisconsin Hosp and Clinics, Neurology Pgm, 1685 Highland Ave, Madison, WI 53705","600 Highland Ave, Madison, WI 53792","2500 Overlook Terrace, Madison, WI 53705",,"Wisconsin's history includes the fact that one of the AAN's founders, the late Dr. Francis Forster, was our former chair. He treated President Eisenhower and testified in the murder trial of Jack Ruby. We still consider ourselves an ""old school"" program in that we continue to emphasize traditional neurological case formulation and eschew over-reliance on ancillary testing. Our department, is tightly-knit, and Madison is a very special place to live.",5,5,5,No,Yes,"Yes , Codes: 1779180C0",No,10/31/2020,11/1/2020 - 1/31/2021_11/1/2021 - 1/31/2022,9/1/2021,10/31/2021,Yes,70,No,No,3,No,Yes,215___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,41,0,1,0,42,0,48.7,2.0 to 1,55,24,1.9,Yes,,52.2,45.9,1.7,55.4,44.5,N/A,0,N/A,0,N/A,0,5,15%,N/A,"$62,128.00",15,7,"$64,562.00",15,7,"$67,461.00",15,7,Yes,180,NGO,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Optional,Yes,Yes,Yes,,5,N/A,Not Available,"$60,090.00",15,7,,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/1805621120,University-based,Froedtert Hospital,4,4,No,Yes,"July,Negotiable",Yes,No,https://www.mcw.edu/departments/neurology/education,Not Available,"Chad  Carlson
MD
Froedtert Hosp
Dept of Neurology
8701 Watertown Plank Rd
Milwaukee, WI 53226
Tel: (414) 955-0623
Fax:
E-mail: ccarlson@mcw.edu","Ashlie  Schaffner
Med Coll of Wisconsin
Dept of Neurology
8701 Watertown Plank Rd
Milwaukee, WI 53226
Tel: (414) 955-0623
Fax: (414) 955-0077
E-mail: aschaffner@mcw.edu",1805621120,"Froedtert Hosp, Dept of Neurology, 8701 Watertown Plank Rd, Milwaukee, WI 53226","8701 W Watertown Plank Rd, Milwaukee, WI 53226","9200 W Wisconsin Ave, Milwaukee, WI 53226","9000 W Wisconsin Ave, Milwaukee, WI 53201","Our residents learn inpatient and outpatient neurology to prepare for careers ranging from solo general neurology to subspecialty academic neurology. An Academic Half Day provides a structured curriculum across the 3 primary neurology years. Our location in Milwaukee allows trainees to live in an urban, suburban, or rural environment with professional sports, world class cultural institutions, natural surroundings with four distinct seasons, and a vibrant community all within easy reach.",6,5,6,No,Yes,"Yes , Codes: 1784180C0",No,12/31/2020,11/2/2020 - 1/29/2021_11/1/2021 - 1/31/2022,9/15/2021,12/31/2021,No,100,No,No,3,No,Yes,___,No,No Answer,No,No,No Answer,Not required,Yes,Yes,No,49,13,0,0,49,13,26.5,2.2 to 1,70,12,1,No,,26.0,49.8,24.1,33.8,66.1,Two times per week for week(s),4,Two times per week for week(s),12,Two times per week for week(s),NGO,5,15%,0%,"$63,060.00",15,10,"$64,170.00",15,10,"$65,270.00",15,10,Yes,20,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"5000 W National Ave, Milwaukee, WI 53295-1000",5,Two times per week for week(s),NGO,"$61,970.00",15,10,,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/1805500119,,,3,3,No,Yes,July,Yes,No,http://jcesom.marshall.edu/residents-fellows/programs/neurology/,Not Available,"Justin M Nolte
MD
Marshall Univ Edwards Sch of Med
Ste B500
1600 Medical Center Dr
Huntington, WV 25701
Tel: (304) 691-1787
Fax: (304) 691-8711
E-mail: nolte1@marshall.edu","Amanda  Jones
BA
Marshall Univ Edwards Sch of Med
Ste B500
1600 Medical Center Dr
Huntington, WV 25701
Tel: (304) 691-1751
Fax: (304) 691-8711
E-mail: cartmel1@marshall.edu",1805500119,"Marshall Univ Edwards Sch of Med, Ste B500, 1600 Medical Center Dr, Huntington, WV 25701","1600 Medical Center Dr, Huntington, WV 25701-3655","1340 Hal Greer Blvd, Huntington, WV 25701-0195","2900 First Ave, Huntington, WV 25702-1271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1540 Spring Valley Dr, Huntington, WV 25704-9300",,,,,,,"1600 Medical Center Dr, Huntington, WV 25701",,,,,,,,,
0,https://freida.ama-assn.org/program/1805511118,University-based,West Virginia University Hospitals,4,4,No,Yes,July,Yes,No,https://medicine.hsc.wvu.edu/neurology/residents/,Not Available,"Gauri V Pawar
MD
West Virginia Univ HSC
PO Box 9180
1 Medical Center Dr
Morgantown, WV 26506
Tel: (304) 293-2342
Fax: (304) 293-3352
E-mail: gpawar@hsc.wvu.edu","Beth  Zapotosky
West Virginia Univ HSC
PO Box 9180
1 Medical Center Dr
Morgantown, WV 26506-9180
Tel: (304) 293-2342
Fax: (304) 293-3352
E-mail: bzapotosky@hsc.wvu.edu",1805511118,"West Virginia Univ HSC, PO Box 9180, 1 Medical Center Dr, Morgantown, WV 26506","1 Medical Center Dr, Morgantown, WV 26506-8136","1 Medical Center Dr, Morgantown, WV 26506",,,8,8,6,No,No,"Yes , Codes: 1837180C0",No,12/1/2020,10/30/2020 - 12/18/2020_10/1/2021 - 12/15/2021,9/1/2021,12/1/2021,No,60,No,No,3,No,Yes,___,Yes,No Answer,Yes,Yes,No Answer,Required,Yes,No,No,27,0,0,0,27,0,44.4,1.0 to 1,65,24,1.5,Yes,,47.9,47.3,4.7,53.9,46.0,N/A,NGO,Two times per week for 6 month(s),NGO,Two times per week for 6 month(s),8,8,13%,N/A,"$56,292.00",17,20,"$58,109.00",17,20,"$60,170.00",17,20,No,42,NGO,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution",Not Available,When resident/fellow starts program,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Optional,Yes,Yes,Yes,,5,N/A,12,"$54,278.00",17,20,,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/2000121007,University-based,University of Alabama Hospital,3,3,No,No,"July,Negotiable",Yes,No,http://www.rad.uab.edu,Not Available,"Jon A Baldwin
DO
Univ of Alabama Med Ctr
Jefferson Towers Rm JT256
619 19th St S
Birmingham, AL 35249
Tel: (205) 934-3175
Fax: (205) 934-5589
E-mail: jbaldwin@uabmc.edu","Shirley  Levins
Univ of Alabama Med Ctr
Dept of Radiology JN382
619 19th St S
Birmingham, AL 35249-6835
Tel: (205) 934-3175
Fax: (205) 975-4413
E-mail: salevins@uabmc.edu",2000121007,"Univ of Alabama Med Ctr, Jefferson Towers Rm JT256, 619 19th St S, Birmingham, AL 35249","619 19th St S, Birmingham, AL 35249-6505","1600 7th Ave S, Birmingham, AL 35233","700 S 19th St, Birmingham, AL 35233","Qualified applicants may be eligible to participate in dual training in radiology. These applicants will have to be interviewed and accepted by both programs. As the institution with the largest cyclotron at any academic facility, state-of-the-art equipment and faculty well known in the field, UAB offers an exceptional educational opportunity.",0,0,3,"Yes  , 1 year(s)",No,No,Yes,,-_11/2/2020 - 1/29/2021,9/1/2020,10/21/2020,No,10,No,No,3,No,Yes,188_189__,Yes,No Answer,"No, require USMLE scores for all applicants",No Answer,No Answer,Not known,Yes,Yes,No,3,2,4,0,7,2,0.0,1.6 to 1,40,10,2,No,,,,,,,N/A,8,N/A,8,N/A,8,7,25%,N/A,"$55,992.00",15,15,"$57,506.00",15,15,"$59,941.00",15,15,No answer,14,NGO,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Not available,No,No,Yes,,,,,,,,,No,,,,,,,,
0,https://freida.ama-assn.org/program/2000421009,,,3,3,No,No,July,Yes,No,http://radiology.uams.edu/,Not Available,"Xiaofei  Wang
MD
Univ of Arkansas for Med Sciences
Dept of Radiology #556
4301 W Markham St
Little Rock, AR 72205
Tel:
Fax:
E-mail: lfcovington@uams.edu","Lacie  Covington
MBA
Univ of Arkansas for Med Sciences
Dept of Radiology #556
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 686-6912
Fax:
E-mail: lfcovington@uams.edu",2000421009,"Univ of Arkansas for Med Sciences, Dept of Radiology #556, 4301 W Markham St, Little Rock, AR 72205","4301 W Markham St, Little Rock, AR 72205-7249","4301 W Markham St, Little Rock, AR 72205","800 Marshall St, Little Rock, AR 72202-3591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4300 W 7th St, Little Rock, AR 72205-5484",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2000511013,,,3,3,Yes,Yes,July,Yes,No,http://nuc.uclahealth.org/,Not Available,"Pawan  Gupta
MD
UCLA Med Ctr
Ste B114-47
200 UCLA Medical Plaza
Los Angeles, CA 90095-7370
Tel: (310) 825-7926
Fax:
E-mail: pawangupta@mednet.ucla.edu","Soosan  Seyedroodbari
BA
UCLA Med Ctr
Ste B114-47
200 UCLA Medical Plaza
Los Angeles, CA 90095-7370
Tel: (310) 794-1596
Fax: (310) 206-4899
E-mail: sroodbari@mednet.ucla.edu",2000511013,"UCLA Med Ctr, Ste B114-47, 200 UCLA Medical Plaza, Los Angeles, CA 90095-7370","10833 Le Conte Ave, Los Angeles, CA 90024","1250 16th St, Santa Monica, CA 90404","757 Westwood Plaza, Los Angeles, CA 90095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2000521105,,,3,3,No,Yes,July,No,No,https://keck.usc.edu/nuclear-medicine-division/training-education/,Not Available,"Patrick M Colletti
MD
LAC+USC Med Ctr
D&T-3D321
1200 N State St
Los Angeles, CA 90033
Tel: (323) 409-7677
Fax: (323) 441-8233
E-mail: colletti@med.usc.edu","Adriana  Cassani
LAC+USC Med Ctr
D&T-3D321
1200 N State St
Los Angeles, CA 90033
Tel: (323) 409-7677
Fax:
E-mail: cassani@med.usc.edu",2000521105,"LAC+USC Med Ctr, D&T-3D321, 1200 N State St, Los Angeles, CA 90033","1200 N State St, Los Angeles, CA 90033-1084","1200 N State St, Los Angeles, CA 90033-1084","1441 Eastlake Ave, Los Angeles, CA 90033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500 San Pablo St, Los Angeles, CA 90033",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2000531014,University-based,VA Greater Los Angeles Healthcare System,3,3,Yes,Yes,"July,August,January,Negotiable",Yes,Yes,,Not Available,"Mark A Mandelkern
MD, PhD
VA Greater Los Angeles Healthcare System
Nuclear Medicine Pgm
11301 Wilshire Blvd
Los Angeles, CA 90073
Tel: (310) 268-4395
Fax: (310) 268-4916
E-mail: mark.mandelkern@va.gov","Mark A Mandelkern
MD, PhD
VA Greater Los Angeles Healthcare System
Nuclear Medicine Pgm
11301 Wilshire Blvd
Los Angeles, CA 90073
Tel: (310) 268-4395
Fax: (310) 268-4916
E-mail: mark.mandelkern@va.gov",2000531014,"VA Greater Los Angeles Healthcare System, Nuclear Medicine Pgm, 11301 Wilshire Blvd, Los Angeles, CA 90073","11301 Wilshire Blvd, Los Angeles, CA 90073-2128","4650 Sunset Blvd, Los Angeles, CA 90027-5693","757 Westwood Plaza, Los Angeles, CA 90095",The Greater Los Angeles Veteran's Administration Medical Center (GLA) is a large tertiary-care hospital with close relationships with other major medical facilities in Los Angeles. Rotations at thee other hospitals are part of the program. Residents are UCLA employees and enjoy all of the benefits of UCLA residents. Westwood is an attractive location.,2,2,,"Yes  , 1 year(s)",No,No,No,4/1/2021,1/1/2021 - 4/30/2021_1/1/2022 - 4/30/2022,1/1/2022,4/1/2022,Yes,10,No,No,3,No,No,___,No,No Answer,No,No,No Answer,"Desired, with some exceptions",No,No,No,3,1,1,0,4,1,33.3,0.8 to 1,45,12,2,Yes,,27.7,38.8,33.3,36.1,63.8,N/A,13,N/A,13,N/A,13,8,90%,0%,Not Available,20,8,Not Available,20,8,Not Available,20,8,Yes,10,NGO,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,Not Available,When resident/fellow starts program,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Optional,No,No,No,,,,,,,,,No,,,,,,,,
0,https://freida.ama-assn.org/program/2000521010,,,3,3,Yes,Yes,July,Yes,No,http://www.ucdmc.ucdavis.edu/radiology/education/nmrp.html,Not Available,"Cameron C Foster
MD
UC Davis Med Ctr
Ste 3100
4860 Y St
Sacramento, CA 95817
Tel: (916) 703-2273
Fax: (916) 703-2274
E-mail: cameron.foster@ucdmc.ucdavis.edu","Seema  Prasad
UC Davis Med Ctr
Ste 3100
4860 Y St
Sacramento, CA 95817-2282
Tel: (916) 703-2273
Fax: (916) 703-2274
E-mail: srpprasad@ucdavis.edu",2000521010,"UC Davis Med Ctr, Ste 3100, 4860 Y St, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
