,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,African American,Two or more races,Asian,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/jackson-county-in/,B,B minus,B,B+,B,B minus,B,B minus,A minus,B+,B+,B,"Jackson County is located in Indiana with a population of 44,025. In Jackson County, most residents own their homes. Many families live in Jackson County and residents tend to be conservative.",44025,125300,767,51250,-0.4239080459770115,-0.2777777777777778,-0.18447559791862256,0.28,0.72,255,-0.09798372833392288,0,-1.0,40.8,0.002457002457002311,40.8,-0.6988929889298894,479.5,-0.041191761647670466,2917.8,0.42833365968278847,336.7,0.18556338028169006,0.13,0.11,0.07,0.13,0.13,0.13,0.13,0.16,0.06,-0.5,0.11,-0.45000000000000007,0.29,0.0,0.42,0.5555555555555554,0.13,0.08333333333333348,4,1,0,1,0,0,0,0.027999999999999997,0.146,0.032,0.88,0.07,0.01,0.01,0.02,0.0,0.0,0.0,0.5,0.5,0.21,0.24,0.23,0.25,0.07,0.29,0.31,0.28,0.13
0,https://www.niche.com/places-to-live/c/brown-county-in/,B,B,B+,C,B,C,B+,B minus,B+,B+,B+,C minus,"Brown County is located in Indiana with a population of 15,064. In Brown County, most residents own their homes. Many retirees live in Brown County and residents tend to be conservative.",15064,191700,841,61030,-0.11862068965517236,-0.20809792843691144,-0.028849672994605613,0.16,0.84,,,,,,,,,,,,,,,0.09,0.09,0.06,0.09,0.1,0.14,0.18,0.24,0.12,0.0,0.17,-0.15000000000000002,0.3,0.034482758620689724,0.33,0.2222222222222221,0.08,-0.33333333333333326,5,1,1,0,0,0,0,0.026000000000000002,0.091,0.006,0.96,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.49,0.51,0.2,0.18,0.2,0.31,0.11,0.26,0.31,0.23,0.19
0,https://www.niche.com/places-to-live/c/jack-county-tx/,B,B,A minus,C+,B,B+,B,B+,A minus,C+,C+,C,"Jack County is located in Texas with a population of 8,852. In Jack County, most residents own their homes. Residents of Jack County tend to be conservative.",8852,86300,647,52045,-0.6032183908045977,-0.3907721280602636,-0.17182502426682367,0.19,0.81,138.8,-0.5090201627166607,0,-1.0,69.4,0.7051597051597052,0,-1.0,208.2,-0.5836832633473306,1202.9,-0.41115136087722726,92.5,-0.6742957746478873,0.1,0.11,0.1,0.14,0.13,0.13,0.12,0.17,0.05,-0.5833333333333333,0.09,-0.55,0.29,0.0,0.4,0.4814814814814814,0.18,0.5,,,,,,,,0.021,0.161,0.038,0.77,0.17,0.05,0.01,0.0,0.0,0.0,0.0,0.57,0.43,0.27,0.19,0.24,0.23,0.07,0.33,0.27,0.23,0.17
0,https://www.niche.com/places-to-live/c/lumpkin-county-ga/,B,B+,B minus,B+,B minus,C+,B+,B minus,B,B,B minus,C+,"Lumpkin County is located in Georgia with a population of 32,402. In Lumpkin County, most residents own their homes. Many young professionals live in Lumpkin County and residents tend to be conservative.",32402,185800,891,51790,-0.14574712643678156,-0.1610169491525424,-0.17588275543815546,0.29,0.71,,,,,,,,,,,,,,,0.1,0.08,0.19,0.11,0.1,0.11,0.13,0.17,0.11,-0.08333333333333326,0.16,-0.20000000000000007,0.28,-0.0344827586206895,0.3,0.11111111111111094,0.15,0.25,4,1,0,1,0,0,0,0.027000000000000003,0.152,0.024,0.91,0.05,0.02,0.01,0.01,0.0,0.0,0.0,0.49,0.51,0.24,0.2,0.23,0.26,0.07,0.37,0.29,0.22,0.12
0,https://www.niche.com/places-to-live/c/toombs-county-ga/,B,B minus,B minus,B,B minus,A,C+,B+,A minus,C,C,B+,"Toombs County is located in Georgia with a population of 26,972. In Toombs County, most residents own their homes. Many families live in Toombs County and residents tend to be conservative.",26972,95300,598,40175,-0.5618390804597702,-0.4369114877589454,-0.36070843212450077,0.39,0.61,423.6,0.49840820657941287,13.2,1.1639344262295084,33.1,-0.18673218673218672,152.2,0.12324723247232461,1145.1,1.2897420515896818,4256,1.0834149206970825,105.9,-0.627112676056338,0.14,0.13,0.08,0.13,0.12,0.12,0.12,0.16,0.08,-0.33333333333333326,0.08,-0.6000000000000001,0.26,-0.10344827586206884,0.38,0.40740740740740744,0.2,0.6666666666666667,3,2,0,0,2,0,0,0.051,0.22899999999999998,0.035,0.6,0.12,0.26,0.01,0.01,0.0,0.0,0.0,0.46,0.54,0.34,0.21,0.19,0.2,0.06,0.35,0.32,0.21,0.12
0,https://www.niche.com/places-to-live/c/pueblo-county-co/,B,B,C,A minus,B,A,C,B+,C,A minus,B+,B+,"Pueblo County is located in Colorado with a population of 165,982. In Pueblo County, most residents own their homes. Many families and young professionals live in Pueblo County and residents tend to have moderate political views.",165982,164600,829,46783,-0.24321839080459773,-0.21939736346516003,-0.2555575004375985,0.35,0.65,666.5,1.3576229218252567,9,0.47540983606557385,179.5,3.41031941031941,197.5,0.4575645756457565,1241.1,1.4817036592681463,3818.8,0.8693949481104368,1107.6,2.8999999999999995,0.12,0.11,0.09,0.13,0.12,0.12,0.13,0.18,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.39,0.3448275862068968,0.29,0.07407407407407396,0.1,-0.16666666666666663,3.79,48,14,15,16,1,2,0.043,0.188,0.016,0.52,0.43,0.02,0.02,0.01,0.01,0.0,0.0,0.49,0.51,0.26,0.22,0.21,0.24,0.06,0.32,0.31,0.24,0.13
0,https://www.niche.com/places-to-live/c/clay-county-in/,B,B+,A minus,B+,B+,C,B,C+,A,C+,B,C,"Clay County is located in Indiana with a population of 26,234. In Clay County, most residents own their homes. Many families live in Clay County and residents tend to be conservative.",26234,101400,670,55637,-0.5337931034482759,-0.3691148775894538,-0.11466670910045673,0.22,0.78,,,,,,,,,,,,,,,0.12,0.11,0.08,0.12,0.12,0.13,0.15,0.18,0.05,-0.5833333333333333,0.12,-0.4,0.31,0.06896551724137945,0.44,0.6296296296296295,0.09,-0.25,5,1,1,0,0,0,0,0.026000000000000002,0.126,0.003,0.96,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.49,0.51,0.19,0.22,0.26,0.28,0.05,0.27,0.31,0.29,0.14
0,https://www.niche.com/places-to-live/c/snohomish-county-wa/,B,B minus,D+,A minus,B+,A minus,B+,B minus,D minus,A,A+,C+,"Snohomish County is located in Washington with a population of 798,808. In Snohomish County, most residents own their homes. Many families and young professionals live in Snohomish County and residents tend to lean liberal.",798808,403000,1438,86691,0.8528735632183908,0.35404896421845566,0.3794853842114476,0.33,0.67,157.4,-0.4432260346657233,2.1,-0.6557377049180327,43.9,0.07862407862407861,66.9,-0.5062730627306273,524.6,0.048990201959608015,2234.4,0.09379283336596833,446.1,0.5707746478873241,0.13,0.1,0.08,0.15,0.14,0.14,0.13,0.13,0.11,-0.08333333333333326,0.22,0.09999999999999987,0.36,0.24137931034482762,0.23,-0.14814814814814814,0.08,-0.33333333333333326,3.7,94,21,36,28,6,3,0.027999999999999997,0.075,0.076,0.7,0.1,0.03,0.05,0.11,0.01,0.0,0.01,0.5,0.5,0.11,0.12,0.2,0.37,0.21,0.21,0.23,0.26,0.29
0,https://www.niche.com/places-to-live/c/howard-county-tx/,B,C,B,B+,B minus,A,B,A minus,A minus,C+,C,B+,"Howard County is located in Texas with a population of 36,349. In Howard County, most residents own their homes. Many families live in Howard County and residents tend to be conservative.",36349,99000,868,54208,-0.5448275862068965,-0.18267419962335218,-0.1374059163311745,0.35,0.65,466.1,0.6487442518570925,7,0.14754098360655754,27.8,-0.31695331695331697,76.5,-0.4354243542435424,768.8,0.5372925414917016,2515,0.2311533189739574,295.7,0.04119718309859155,0.12,0.1,0.1,0.15,0.15,0.13,0.12,0.13,0.04,-0.6666666666666666,0.09,-0.55,0.34,0.1724137931034484,0.34,0.2592592592592593,0.2,0.6666666666666667,,,,,,,,0.044000000000000004,0.171,0.099,0.49,0.43,0.05,0.02,0.01,0.01,0.0,0.0,0.55,0.45,0.22,0.21,0.22,0.27,0.08,0.32,0.32,0.21,0.16
0,https://www.niche.com/places-to-live/c/henderson-county-tx/,B,B minus,B,B,B,B,B,B+,B+,B minus,B,C,"Henderson County is located in Texas with a population of 81,070. In Henderson County, most residents own their homes. Many retirees live in Henderson County and residents tend to be conservative.",81070,108500,785,47355,-0.5011494252873563,-0.26082862523540484,-0.24645545247680734,0.25,0.75,174.3,-0.38344534842589306,3.8,-0.3770491803278688,45.5,0.1179361179361178,41.7,-0.692250922509225,564.7,0.12917416516696667,1500.8,-0.26532210691208147,204.7,-0.2792253521126761,0.11,0.11,0.08,0.11,0.11,0.12,0.15,0.22,0.06,-0.5,0.11,-0.45000000000000007,0.32,0.10344827586206917,0.34,0.2592592592592593,0.16,0.3333333333333335,4,1,0,1,0,0,0,0.026000000000000002,0.16899999999999998,0.034,0.78,0.13,0.06,0.01,0.01,0.01,0.0,0.0,0.49,0.51,0.26,0.22,0.22,0.23,0.08,0.31,0.34,0.21,0.13
0,https://www.niche.com/places-to-live/c/livingston-county-ny/,B,B+,B minus,A minus,B,C+,B,C,B minus,B+,A minus,B,"Livingston County is located in New York with a population of 63,591. In Livingston County, most residents own their homes. Many young professionals live in Livingston County and residents tend to be conservative.",63591,129400,798,59510,-0.40505747126436786,-0.24858757062146897,-0.053036933309994705,0.25,0.75,33.5,-0.8814998231340644,0,-1.0,12.6,-0.6904176904176904,16.8,-0.8760147601476015,138.3,-0.7234553089382123,1341.6,-0.3432543567652242,37.7,-0.8672535211267606,0.09,0.09,0.15,0.11,0.11,0.14,0.15,0.17,0.12,0.0,0.14,-0.29999999999999993,0.32,0.10344827586206917,0.32,0.18518518518518512,0.09,-0.25,4,1,0,1,0,0,0,0.023,0.131,0.02,0.91,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.2,0.18,0.24,0.3,0.08,0.31,0.26,0.29,0.15
0,https://www.niche.com/places-to-live/c/lawrence-county-il/,B,C,B+,B,C+,B minus,B,B minus,A,B+,B,B,"Lawrence County is located in Illinois with a population of 16,033. In Lawrence County, most residents own their homes. Residents of Lawrence County tend to be conservative.",16033,78400,628,46636,-0.6395402298850574,-0.40866290018832396,-0.25789666311283677,0.26,0.74,31.6,-0.8882207286876548,0,-1.0,0,-1.0,0,-1.0,63.2,-0.873625274945011,284.3,-0.8608282749167808,31.6,-0.8887323943661972,0.1,0.08,0.08,0.14,0.14,0.13,0.14,0.19,0.05,-0.5833333333333333,0.1,-0.5,0.35,0.2068965517241379,0.35,0.29629629629629606,0.15,0.25,5,1,1,0,0,0,0,0.036000000000000004,0.16,0.013999999999999999,0.85,0.04,0.08,0.02,0.01,0.01,0.0,0.0,0.54,0.46,0.24,0.24,0.21,0.25,0.05,0.31,0.32,0.23,0.13
0,https://www.niche.com/places-to-live/c/luce-county-mi/,B,C,B+,B,B minus,B,B+,D+,A minus,B,B+,B+,"Luce County is located in Michigan with a population of 6,338. In Luce County, most residents own their homes. Many retirees live in Luce County and residents tend to be conservative.",6338,87200,717,45469,-0.5990804597701149,-0.32485875706214684,-0.27646675047340197,0.21,0.79,,,,,,,,,,,,,,,0.09,0.07,0.08,0.12,0.13,0.14,0.15,0.21,0.06,-0.5,0.12,-0.4,0.33,0.13793103448275867,0.37,0.37037037037037024,0.12,0.0,,,,,,,,0.032,0.171,0.01,0.78,0.03,0.07,0.06,0.01,0.06,0.0,0.0,0.59,0.41,0.21,0.28,0.22,0.25,0.03,0.34,0.33,0.24,0.09
0,https://www.niche.com/places-to-live/c/montgomery-county-nc/,B,C+,B,C,B,A,B,B+,A minus,C minus,B,C+,"Montgomery County is located in North Carolina with a population of 27,252. In Montgomery County, most residents own their homes. Many retirees live in Montgomery County and residents tend to be conservative.",27252,117700,576,44146,-0.4588505747126437,-0.4576271186440678,-0.29751921455054664,0.25,0.75,137.9,-0.5122037495578351,0,-1.0,28.2,-0.30712530712530717,59.1,-0.5638376383763837,551.7,0.10317936412717454,3665,0.7941061288427649,137.9,-0.5144366197183099,0.11,0.11,0.08,0.11,0.1,0.14,0.15,0.2,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.29,0.0,0.35,0.29629629629629606,0.21,0.75,,,,,,,,0.021,0.174,0.062,0.63,0.15,0.18,0.02,0.01,0.0,0.0,0.0,0.49,0.51,0.27,0.23,0.25,0.19,0.06,0.31,0.35,0.24,0.1
0,https://www.niche.com/places-to-live/c/fremont-county-wy/,B,B,C+,B,B,A minus,C+,C+,C,B+,B+,A,"Fremont County is located in Wyoming with a population of 39,812. In Fremont County, most residents own their homes. Many families and young professionals live in Fremont County and residents tend to be conservative.",39812,196400,789,55896,-0.09701149425287359,-0.2570621468926554,-0.1105453272440845,0.3,0.7,133.7,-0.5270604881499823,5.3,-0.13114754098360648,21.4,-0.4742014742014743,26.7,-0.8029520295202952,262,-0.47610477904419124,3561.5,0.7434403759545722,192.5,-0.32218309859154926,0.14,0.12,0.08,0.12,0.11,0.12,0.14,0.18,0.09,-0.25,0.16,-0.20000000000000007,0.38,0.3103448275862071,0.3,0.11111111111111094,0.08,-0.33333333333333326,,,,,,,,0.037000000000000005,0.127,0.005,0.7,0.07,0.01,0.03,0.0,0.19,0.0,0.0,0.5,0.5,0.19,0.21,0.24,0.27,0.09,0.3,0.3,0.25,0.15
0,https://www.niche.com/places-to-live/c/stephens-county-ok/,B,B minus,B,B,B minus,B,B minus,A minus,A minus,B+,D+,B,"Stephens County is located in Oklahoma with a population of 43,647. In Stephens County, most residents own their homes. Many families and retirees live in Stephens County and residents tend to be conservative.",43647,107700,694,47214,-0.5048275862068965,-0.34651600753295664,-0.24869913912448482,0.28,0.72,111.4,-0.6059426954368587,10.1,0.6557377049180328,30.4,-0.2530712530712531,16.9,-0.8752767527675277,1043,1.0855828834233154,2032,-0.005286861170941792,192.4,-0.32253521126760565,0.13,0.11,0.07,0.12,0.12,0.12,0.14,0.19,0.05,-0.5833333333333333,0.12,-0.4,0.28,-0.0344827586206895,0.42,0.5555555555555554,0.13,0.08333333333333348,5,1,1,0,0,0,0,0.038,0.141,0.013999999999999999,0.8,0.08,0.02,0.05,0.01,0.05,0.0,0.0,0.48,0.52,0.25,0.23,0.23,0.23,0.07,0.31,0.32,0.23,0.14
0,https://www.niche.com/places-to-live/c/wood-county-tx/,B,B+,B+,B,B minus,B,B,B+,B+,B minus,C+,C+,"Wood County is located in Texas with a population of 44,366. In Wood County, most residents own their homes. Many retirees live in Wood County and residents tend to be conservative.",44366,137500,787,53394,-0.367816091954023,-0.25894538606403017,-0.1503588307369158,0.2,0.8,275.2,-0.026529890343119922,0,-1.0,17.8,-0.5626535626535627,17.8,-0.8686346863468635,319.5,-0.361127774445111,1633.2,-0.20050910514979436,106.5,-0.625,0.1,0.09,0.08,0.09,0.1,0.12,0.15,0.27,0.05,-0.5833333333333333,0.12,-0.4,0.35,0.2068965517241379,0.33,0.2222222222222221,0.15,0.25,,,,,,,,0.027000000000000003,0.145,0.019,0.82,0.1,0.05,0.01,0.01,0.01,0.0,0.0,0.5,0.5,0.24,0.2,0.21,0.27,0.07,0.31,0.32,0.21,0.15
0,https://www.niche.com/places-to-live/c/baldwin-county-ga/,B,D+,C,B+,C+,A minus,C+,B+,B+,B+,B,B+,"Baldwin County is located in Georgia with a population of 45,111. In Baldwin County, most residents own their homes. Residents of Baldwin County tend to have moderate political views.",45111,120300,703,43672,-0.4468965517241379,-0.3380414312617702,-0.3050618207278456,0.42,0.58,168,-0.40573045631411386,0,-1.0,42,0.03194103194103182,68.2,-0.49667896678966783,829.4,0.6584683063387322,2724.3,0.3336107303700804,105,-0.630281690140845,0.11,0.08,0.19,0.12,0.1,0.12,0.13,0.15,0.1,-0.16666666666666663,0.13,-0.35,0.27,-0.06896551724137923,0.35,0.29629629629629606,0.14,0.16666666666666674,3.75,4,1,1,2,0,0,0.044000000000000004,0.23399999999999999,0.016,0.52,0.02,0.42,0.01,0.02,0.0,0.0,0.0,0.51,0.49,0.33,0.18,0.21,0.23,0.05,0.37,0.3,0.22,0.1
0,https://www.niche.com/places-to-live/c/columbia-county-ar/,B,B minus,B minus,C,B minus,A minus,C,B,A minus,C+,C+,A minus,"Columbia County is located in Arkansas with a population of 23,776. In Columbia County, most residents own their homes. Many young professionals live in Columbia County and residents tend to be conservative.",23776,81900,664,36193,-0.623448275862069,-0.3747645951035782,-0.4240726890823162,0.3,0.7,328.5,0.16200919702865235,0,-1.0,25.9,-0.36363636363636376,121,-0.1070110701107011,3656.6,6.311737652469506,1685.7,-0.17480908556882702,147,-0.4823943661971831,0.12,0.09,0.17,0.11,0.11,0.11,0.12,0.17,0.07,-0.41666666666666663,0.13,-0.35,0.25,-0.13793103448275856,0.42,0.5555555555555554,0.14,0.16666666666666674,,,,,,,,0.061,0.249,0.011000000000000001,0.59,0.03,0.36,0.01,0.01,0.0,0.0,0.0,0.48,0.52,0.36,0.22,0.2,0.18,0.04,0.4,0.32,0.17,0.1
0,https://www.niche.com/places-to-live/c/jackson-county-mn/,B,B minus,A minus,B,B minus,C+,B,C minus,A minus,B minus,C minus,B+,"Jackson County is located in Minnesota with a population of 9,954. In Jackson County, most residents own their homes. Many retirees live in Jackson County and residents tend to be conservative.",9954,124900,710,58727,-0.4257471264367816,-0.3314500941619586,-0.06549655490667217,0.19,0.81,61.8,-0.7813937035726919,0,-1.0,0,-1.0,0,-1.0,123.6,-0.7528494301139772,185.4,-0.9092422165654983,0,-1.0,0.11,0.11,0.07,0.1,0.12,0.12,0.16,0.22,0.04,-0.6666666666666666,0.18,-0.10000000000000009,0.37,0.27586206896551735,0.33,0.2222222222222221,0.07,-0.41666666666666663,,,,,,,,0.018000000000000002,0.078,0.017,0.92,0.04,0.0,0.01,0.02,0.0,0.0,0.0,0.51,0.49,0.15,0.22,0.27,0.29,0.08,0.23,0.3,0.32,0.16
0,https://www.niche.com/places-to-live/c/kennebec-county-me/,B,B minus,B minus,B+,B+,C,B,C minus,B,A minus,A,B minus,"Kennebec County is located in Maine with a population of 121,753. In Kennebec County, most residents own their homes. Many young professionals live in Kennebec County and residents tend to have moderate political views.",121753,159400,761,55365,-0.2671264367816092,-0.28342749529190203,-0.1189949556832105,0.29,0.71,86,-0.6957905907322249,0,-1.0,60.2,0.479115479115479,31.5,-0.7675276752767528,321,-0.358128374325135,2014.6,-0.013804581946348149,58.7,-0.7933098591549296,0.1,0.1,0.08,0.12,0.11,0.14,0.16,0.19,0.11,-0.08333333333333326,0.17,-0.15000000000000002,0.32,0.10344827586206917,0.33,0.2222222222222221,0.07,-0.41666666666666663,4,9,3,3,3,0,0,0.025,0.128,0.011000000000000001,0.95,0.02,0.01,0.02,0.01,0.01,0.0,0.0,0.49,0.51,0.22,0.2,0.22,0.28,0.08,0.28,0.3,0.27,0.15
0,https://www.niche.com/places-to-live/c/montgomery-county-ms/,B,B,B+,C,B+,A minus,C+,B,A,C minus,C+,C,"Montgomery County is located in Mississippi with a population of 10,068. In Montgomery County, most residents own their homes. Many retirees live in Montgomery County and residents tend to lean conservative.",10068,84800,554,39840,-0.6101149425287357,-0.4783427495291902,-0.36603917699664246,0.31,0.69,,,,,,,,,,,,,,,0.12,0.11,0.06,0.13,0.11,0.12,0.15,0.21,0.07,-0.41666666666666663,0.12,-0.4,0.25,-0.13793103448275856,0.33,0.2222222222222221,0.22,0.8333333333333335,3.33,3,0,1,2,0,0,0.038,0.264,0.008,0.52,0.01,0.44,0.02,0.0,0.0,0.0,0.0,0.47,0.53,0.35,0.22,0.26,0.14,0.03,0.36,0.32,0.23,0.09
0,https://www.niche.com/places-to-live/c/augusta-county-va/,B,B,B,B minus,B,C+,B minus,B,B,B+,A minus,C+,"Augusta County is located in Virginia with a population of 75,079. In Augusta County, most residents own their homes. Many young professionals and retirees live in Augusta County and residents tend to be conservative.",75079,214000,890,62711,-0.016091954022988464,-0.16195856873822978,-0.00210047260633639,0.21,0.79,,,,,,,,,,,,,,,0.09,0.1,0.07,0.11,0.12,0.14,0.15,0.2,0.08,-0.33333333333333326,0.15,-0.2500000000000001,0.26,-0.10344827586206884,0.39,0.4444444444444444,0.13,0.08333333333333348,3.49,45,3,20,19,2,1,0.022000000000000002,0.086,0.013999999999999999,0.91,0.03,0.04,0.01,0.01,0.0,0.0,0.0,0.51,0.49,0.17,0.18,0.26,0.32,0.08,0.25,0.31,0.29,0.15
0,https://www.niche.com/places-to-live/c/richland-county-nd/,B,B,A minus,B+,B,C+,A minus,C,A minus,C+,B minus,B,"Richland County is located in North Dakota with a population of 16,254. In Richland County, most residents own their homes. Many young professionals live in Richland County and residents tend to be conservative.",16254,127900,664,61371,-0.4119540229885057,-0.3747645951035782,-0.023423452094903152,0.29,0.71,140.3,-0.5037141846480367,0,-1.0,25.5,-0.37346437346437356,0,-1.0,344.3,-0.31153769246150775,1862,-0.08850597219502643,51,-0.8204225352112676,0.12,0.1,0.14,0.12,0.11,0.11,0.15,0.17,0.05,-0.5833333333333333,0.16,-0.20000000000000007,0.42,0.4482758620689655,0.27,0.0,0.09,-0.25,,,,,,,,0.02,0.10800000000000001,0.003,0.91,0.03,0.01,0.03,0.0,0.02,0.0,0.0,0.52,0.48,0.2,0.19,0.2,0.32,0.09,0.28,0.27,0.29,0.16
0,https://www.niche.com/places-to-live/c/hutchinson-county-tx/,B,B+,A minus,B,B minus,A minus,B minus,A minus,A minus,C+,D minus,B+,"Hutchinson County is located in Texas with a population of 21,344. In Hutchinson County, most residents own their homes. Many families live in Hutchinson County and residents tend to be conservative.",21344,78800,758,52524,-0.6377011494252873,-0.2862523540489642,-0.16420285473322405,0.2,0.8,148.5,-0.47470817120622566,15.6,1.557377049180328,211.1,4.186732186732186,23.5,-0.8265682656826568,1235.2,1.469906018796241,2501.8,0.2246915997650285,281.4,-0.009154929577464888,0.14,0.12,0.09,0.12,0.12,0.12,0.14,0.16,0.03,-0.75,0.11,-0.45000000000000007,0.37,0.27586206896551735,0.34,0.2592592592592593,0.14,0.16666666666666674,,,,,,,,0.038,0.145,0.024,0.7,0.23,0.01,0.02,0.0,0.02,0.0,0.01,0.5,0.5,0.24,0.2,0.23,0.26,0.07,0.33,0.3,0.22,0.15
0,https://www.niche.com/places-to-live/c/oglethorpe-county-ga/,B,B+,B,C minus,B+,B+,B+,B,A minus,B minus,B+,D+,"Oglethorpe County is located in Georgia with a population of 14,931. In Oglethorpe County, most residents own their homes. Many families live in Oglethorpe County and residents tend to be conservative.",14931,118500,725,47120,-0.45517241379310347,-0.3173258003766478,-0.2501949302229365,0.23,0.77,,,,,,,,,,,,,,,0.13,0.1,0.07,0.11,0.13,0.14,0.13,0.19,0.08,-0.33333333333333326,0.09,-0.55,0.24,-0.1724137931034483,0.39,0.4444444444444444,0.2,0.6666666666666667,3.17,6,0,3,1,2,0,0.03,0.128,0.008,0.76,0.05,0.18,0.02,0.0,0.0,0.0,0.0,0.51,0.49,0.29,0.18,0.25,0.24,0.04,0.32,0.32,0.27,0.1
0,https://www.niche.com/places-to-live/c/shelby-county-mo/,B,B+,A minus,B minus,B,C,B minus,B minus,A,B,C,B,"Shelby County is located in Missouri with a population of 6,013. In Shelby County, most residents own their homes. Many retirees live in Shelby County and residents tend to be conservative.",6013,72200,564,44083,-0.6680459770114943,-0.4689265536723164,-0.29852171283993445,0.26,0.74,372.7,0.31835868411743906,0,-1.0,124.2,2.0515970515970516,0,-1.0,124.2,-0.7516496700659868,1242.2,-0.3919130605051889,124.2,-0.5626760563380282,0.13,0.11,0.07,0.1,0.11,0.11,0.15,0.21,0.06,-0.5,0.12,-0.4,0.29,0.0,0.43,0.5925925925925926,0.09,-0.25,,,,,,,,0.013000000000000001,0.163,0.002,0.95,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.28,0.23,0.22,0.22,0.05,0.32,0.35,0.23,0.1
0,https://www.niche.com/places-to-live/c/jackson-county-mi/,B,B minus,B,A minus,B,B,B minus,C,B+,B+,B+,B,"Jackson County is located in Michigan with a population of 158,636. In Jackson County, most residents own their homes. Many families and young professionals live in Jackson County and residents tend to lean conservative.",158636,131600,782,53658,-0.3949425287356322,-0.263653483992467,-0.14615788552424291,0.27,0.73,484.5,0.7138309161655465,12.7,1.081967213114754,118.4,1.9090909090909092,103.8,-0.23394833948339488,453.5,-0.0931813637272546,2114.7,0.03519678872136267,207.6,-0.26901408450704223,0.12,0.1,0.09,0.12,0.12,0.14,0.14,0.17,0.07,-0.41666666666666663,0.15,-0.2500000000000001,0.36,0.24137931034482762,0.33,0.2222222222222221,0.09,-0.25,3.34,50,2,18,26,3,1,0.035,0.136,0.009000000000000001,0.85,0.04,0.08,0.03,0.01,0.0,0.0,0.0,0.51,0.49,0.21,0.21,0.24,0.26,0.08,0.29,0.3,0.25,0.15
0,https://www.niche.com/places-to-live/c/dodge-county-ga/,B,B,B+,C,B,A minus,C+,A minus,A,C+,C+,B minus,"Dodge County is located in Georgia with a population of 20,829. In Dodge County, most residents own their homes. Residents of Dodge County tend to be conservative.",20829,76300,620,39302,-0.6491954022988506,-0.416195856873823,-0.37460019413458934,0.32,0.68,530.1,0.8751326494517158,0,-1.0,58.9,0.447174447174447,98.2,-0.2752767527675276,1688.6,2.3765246950609873,7284.5,2.5659389073820247,274.9,-0.032042253521126884,0.1,0.1,0.09,0.12,0.14,0.14,0.14,0.17,0.04,-0.6666666666666666,0.1,-0.5,0.27,-0.06896551724137923,0.44,0.6296296296296295,0.14,0.16666666666666674,4.67,3,2,1,0,0,0,0.031,0.218,0.012,0.65,0.04,0.29,0.02,0.0,0.0,0.0,0.0,0.53,0.47,0.35,0.22,0.18,0.21,0.04,0.32,0.35,0.23,0.1
0,https://www.niche.com/places-to-live/c/cedar-county-ne/,B,B,A minus,B,B minus,C,A,A,A,B minus,C minus,B+,"Cedar County is located in Nebraska with a population of 8,498. In Cedar County, most residents own their homes. Many retirees live in Cedar County and residents tend to be conservative.",8498,121300,655,61869,-0.44229885057471263,-0.3832391713747646,-0.015498941807361222,0.19,0.81,109.2,-0.613724796604174,0,-1.0,,,0,-1.0,0,-1.0,109.2,-0.946543959271588,0,-1.0,0.14,0.11,0.07,0.09,0.1,0.11,0.16,0.21,0.06,-0.5,0.15,-0.2500000000000001,0.36,0.24137931034482762,0.35,0.29629629629629606,0.08,-0.33333333333333326,3,3,0,0,3,0,0,0.008,0.071,0.004,0.96,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.51,0.49,0.17,0.19,0.26,0.3,0.08,0.24,0.3,0.32,0.13
