,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Intro,Year 1,Year 2,Year 3,Year 4,Year 5,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Night float system,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Participant 5,Participant 6,Participant 7,Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Participant 8,Participant 9,Participant 10,Participant 11,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7
0,https://freida.ama-assn.org/program/4512200002,Community-based university affiliated,Maine Medical Center,5,5,No,Yes,July,Yes,No,http://www.mmc.org/vascularresidency,Not Available,"Elizabeth  Blazick
MD
Maine Med Ctr
Rm 1218
22 Bramhall St
Portland, ME 04102
Tel:
Fax:
E-mail: bhundt@mmc.org","Bethany  Hundt
Maine Med Ctr
Rm 1218
22 Bramhall St
Portland, ME 04102
Tel: (207) 662-6901
Fax: (207) 662-6389
E-mail: bhundt@mmc.org",4512200002,"Maine Med Ctr, Rm 1218, 22 Bramhall St, Portland, ME 04102","22 Bramhall St, Portland, ME 04102-3175",,,,,"The mission of the integrated vascular surgery residency program is to provide comprehensive training, knowledge and skills needed for independent practice of vascular surgery; including the assessment and management of patients with vascular disease, use of the vascular laboratory, critical care, open surgery, and endovascular procedures. The focus is clinically oriented with a strong foundation in all aspects of open vascular surgery, endovascular surgery, and core general surgery principles.",1,1,1,1,1,No,No,"Yes , Codes: 1236451C0",No,10/1/2020,11/2/2020 - 1/29/2021_11/1/2021 - 1/31/2022,9/15/2021,10/1/2021,Yes,30,No,No,3,No,Yes,215_200__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,8,0,0,0,8,0,25,1.6 to 1,70,24,1,No,Yes,78.3,21.6,0,21.6,78.3,N/A,Not Available,N/A,Not Available,N/A,Not Available,N/A,Not Available,N/A,Not Available,4,10%,0%,,"$58,688.00",21,NGO,"$61,546.00",21,NGO,"$64,725.00",21,NGO,"$67,465.00",21,NGO,"$70,399.00",21,NGO,No answer,21,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Not available,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4512521035,University-based,Michigan Medicine University of Michigan,5,7,No,Yes,June,Yes,No,http://surgery.med.umich.edu/vascular/,Not Available,"Dawn M Coleman
MD
Michigan Med Univ of Michigan
5867 CVC
1500 E Medical Center Dr
Ann Arbor, MI 48109-5867
Tel: (734) 936-5786
Fax: (734) 647-9867
E-mail: dawnbarn@med.umich.edu","Janice W Davis
Michigan Med Univ of Michigan
2110 Taubman Ctr
1500 E Medical Center Dr
Ann Arbor, MI 48109-5346
Tel: (734) 936-5732
Fax: (734) 936-5725
E-mail: janiced@med.umich.edu",4512521035,"Michigan Med Univ of Michigan, 5867 CVC, 1500 E Medical Center Dr, Ann Arbor, MI 48109-5867","2600 Green Rd, Ann Arbor, MI 48109","2215 Fuller Rd, Ann Arbor, MI 48105",,,,,1,1,1,1,1,No,No,"Yes , Codes: 1293451C0",No,10/15/2020,11/1/2020 - 1/31/2021_11/1/2021 - 1/31/2022,10/15/2021,11/20/2021,No,19,No,No,3,No,Yes,240_240__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,9,3,0,0,9,3,33.3,1.8 to 1,80,28,1,Yes,Yes,100,0,0,50,50,Every fourth night for 10 month(s),0,Every fourth night for 10 month(s),0,Every fourth night for 9 month(s),48,Other for 48 week(s),48,Other for 48 week(s),48,80,5%,N/A,,"$60,275.00",28,NGO,"$63,289.00",28,NGO,"$66,453.00",28,NGO,"$69,776.00",28,NGO,"$73,265.00",28,NGO,No answer,42,NGO,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Required,(104 wks ),Yes,Yes,No,,,,,,,,,"$76,928.00",28,NGO,"$80,774.00",28,NGO,,,,,,,,
0,https://freida.ama-assn.org/program/4512531015,Community-based university affiliated,Spectrum Health-Butterworth Hospital,5,5,Yes,Yes,July,Yes,No,https://www.spectrumhealth.org/medicaleducation,Not Available,"Robert F Cuff
MD
Spectrum Health/MSU
Ste A501
100 Michigan St NE
Grand Rapids, MI 49503
Tel: (616) 391-0056
Fax: (616) 391-8611
E-mail: robert.cuff@spectrumhealth.org","Liz  Charney
Spectrum Health/MSU
Ste A601
100 Michigan St NE
Grand Rapids, MI 49503
Tel: (616) 391-0056
Fax:
E-mail: elizabeth.charney@spectrumhealth.org",4512531015,"Spectrum Health/MSU, Ste A501, 100 Michigan St NE, Grand Rapids, MI 49503","648 Monroe Ave NW, Grand Rapids, MI 49503","100 Michigan St NE, Grand Rapids, MI 49503","200 Jefferson Ave SE, Grand Rapids, MI 49503",,,,1,1,1,1,1,No,No,"Yes , Codes: 2077451C0",No,,-_-,,,No,,No,No,3,No,Yes,___,Yes,No Answer,Yes,Yes,No Answer,Not known,Yes,No,Yes,9,3,0,0,9,3,22.2,1.8 to 1,70,24,1,No,Yes,66.6,0,33.3,53.3,46.6,Once per week for 47 week(s),0,Once per week for 47 week(s),16,Once per week for 47 week(s),32,Once per week for 47 week(s),36,Once per week for 47 week(s),48,3,10%,10%,,"$56,514.00",20,5,"$58,714.00",20,5,"$60,679.00",20,5,"$62,581.00",20,5,"$64,996.00",20,5,No,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Not available,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4512600062,University-based,University of Minnesota Medical Center,5,5,No,Yes,June,Yes,No,https://z.umn.edu/vascularintegrated,Not Available,"R James Valentine
MD
Univ of Minnesota Med Ctr
MMC 195
420 Delaware St SE
Minneapolis, MN 55455
Tel: (612) 625-1485
Fax: (612) 626-4150
E-mail: rvalenti@umn.edu","Erin  Acton
Univ of Minnesota Med Ctr
MMC 195
420 Delaware St SE
Minneapolis, MN 55455
Tel: (612) 301-9433
Fax: (612) 624-4545
E-mail: conne367@umn.edu",4512600062,"Univ of Minnesota Med Ctr, MMC 195, 420 Delaware St SE, Minneapolis, MN 55455","420 Delaware St SE, Minneapolis, MN 55455","500 Harvard St SE, Minneapolis, MN 55455","One Veterans Dr, Minneapolis, MN 55417","1575 Beam Ave, Maplewood, MN 55109","45 W 10th St, St Paul, MN 55102",,1,1,1,1,1,No,No,"Yes , Codes: 1334451C0",No,11/1/2020,11/1/2020 - 1/31/2021_11/1/2021 - 1/31/2022,,11/1/2021,No,28,No,No,3,No,Yes,215_215__,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,16,0,0,0,16,0,25,3.2 to 1,75,28,1,No,Yes,,,,,,Every third night for 12 month(s),0,Every third night for 12 month(s),0,Every third night for 12 month(s),8,N/A,26,N/A,26,6,10%,N/A,,"$57,156.00",21,NGO,"$58,915.00",21,NGO,"$61,000.00",21,NGO,"$63,000.00",21,NGO,"$65,000.00",21,NGO,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Optional,,Yes,Yes,Yes,"6401 France Ave S, Edina, MN 55435",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4512612061,University-based,Mayo Clinic (Rochester),5,5,No,Yes,"June,July,August,Negotiable",Yes,No,https://college.mayo.edu/vascular-surgery-integrated-residency-minnesota,Not Available,"Jill J Colglazier
MD
Mayo Clinic
Joseph 5-200
200 First St SW
Rochester, MN 55905
Tel: (507) 255-7062
Fax: (507) 255-7378
E-mail: griffin.julie@mayo.edu","Julie  Griffin
Mayo Clinic
Joseph 5-200
200 First St SW
Rochester, MN 55905
Tel: (507) 255-7062
Fax: (507) 255-7378
E-mail: griffin.julie@mayo.edu",4512612061,"Mayo Clinic, Joseph 5-200, 200 First St SW, Rochester, MN 55905","200 First St SW, Rochester, MN 55905","200 First St SW, Rochester, MN 55905","1216 Second St SW, Rochester, MN 55902-1970",,,"The mission of the program is to train future leaders in both clinical and academic vascular surgery who excel at providing comprehensive care in the management of patients with arterial and venous diseases. The program teaches residents excellence in therapeutic decision making, technical skills, and medical management of patients and to become physician scholars that practice in a competent, professional, and compassionate manner.",1,1,1,1,1,No,No,"Yes , Codes: 1328451C0",No,12/1/2020,12/15/2020 - 1/29/2021_11/29/2021 - 1/14/2022,9/15/2021,11/1/2021,Yes,29,No,No,3,No,Yes,220_220__,Yes,236-245,No,No,No Answer,Required,Yes,Yes,Yes,6,0,0,0,6,0,33.3,1.2 to 1,70,28,1,No,Yes,73.3,26.6,0,40,60,Every third night for 25 week(s),0,Every third night for 25 week(s),0,Every third night for 25 week(s),NGO,N/A,NGO,N/A,NGO,4,30%,N/A,,"$57,653.00",15,91,"$59,662.00",15,91,"$62,130.00",15,91,"$64,728.00",15,91,"$67,521.00",15,91,Yes,84,NGO,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not available,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4512800112,,,5,5,No,Yes,"June,July",Yes,No,http://www.vascularsurg.wustl.edu/,Not Available,"Luis  Sanchez
MD
Washington Univ Sch of Med
Campus Box 8109
660 S Euclid Ave
St Louis, MO 63110
Tel: (314) 362-7408
Fax:
E-mail: sanchezl@wustl.edu","Nicole  Althage
Washington Univ Sch of Med
Sect of Vascular Surgery Box 8109
660 S Euclid Ave
St Louis, MO 63110
Tel: (314) 747-0017
Fax: (314) 362-6216
E-mail: nalthage@wustl.edu",4512800112,"Washington Univ Sch of Med, Campus Box 8109, 660 S Euclid Ave, St Louis, MO 63110","660 S Euclid Ave, St Louis, MO 63110-1093","One Children's Pl, St Louis, MO 63110-1077","One Barnes-Jewish Hospital Plaza, St Louis, MO 63110","915 N Grand Ave, St Louis, MO 63125","12634 Olive St Rd, St Louis, MO 63146354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4512800113,University-based,Saint Louis University School of Medicine,5,5,No,Yes,July,Yes,No,https://www.slu.edu/medicine/surgery/vascular-surgery/index.php,Not Available,"Matthew R Smeds
MD
St Louis Univ Hosp
Div of Vascular Surgery DT-3
3635 Vista Ave
St Louis, MO 63116
Tel:
Fax:
E-mail: matt.smeds@health.slu.edu","Laura  Bianchi
St Louis Univ Hosp
Div of Vascular Surgery DT-3
3635 Vista Ave
St Louis, MO 63110
Tel: (314) 577-8317
Fax: (314) 268-5466
E-mail: laura.bianchi@health.slu.edu",4512800113,"St Louis Univ Hosp, Div of Vascular Surgery DT-3, 3635 Vista Ave, St Louis, MO 63116","1402 S Grand Blvd, St Louis, MO 63104","3635 Vista Ave, St Louis, MO 63110","615 S New Ballas Rd, St Louis, MO 63141-8221","915 N Grand Ave, St Louis, MO 63125","1465 S Grand Blvd, St Louis, MO 63104-1095","The vascular surgery integrated program's first three years are split between vascular surgery and general surgery core rotations, while the last two years are dedicated to mastering vascular surgery according to ACGME requirements. Rotations take place at a university-based hospital, a community hospital, and a veteran's hospital with a diverse mix of faculty members with various training backgrounds and prior experiences.",1,1,1,1,1,No,No,"Yes , Codes: 1365451C0",No,12/31/2020,11/1/2020 - 1/24/2021_-,,,No,34,No,No,3,No,Yes,210___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,9,0,0,0,9,0,11.1,1.8 to 1,60,24,1,No,,67.2,26.1,6.6,26.1,73.8,N/A,26,Every fourth night for 2 month(s),26,Every fourth night for 2 month(s),26,N/A,26,N/A,26,4,20%,N/A,,"$53,318.00",15,30,"$53,914.00",15,30,"$55,356.00",15,30,"$57,315.00",15,30,"$58,277.00",15,30,No answer,30,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not available,,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4513621007,,,5,5,No,Yes,June,Yes,No,http://www.med.unc.edu/vascular,Not Available,"F Ezequiel  Parodi
MD
Univ of North Carolina Hosps
3024 Burnett Womack Bldg
CB#7212
Chapel Hill, NC 27599
Tel:
Fax:
E-mail: ezequiel_parodi@med.unc.edu","Melainie  Bolick
Univ of North Carolina Hosps
3024 Burnett Womack Bldg
CB#7212
Chapel Hill, NC 27599
Tel: (919) 843-6188
Fax: (919) 966-2898
E-mail: melainie_bolick@med.unc.edu",4513621007,"Univ of North Carolina Hosps, 3024 Burnett Womack Bldg, CB#7212, Chapel Hill, NC 27599","101 Manning Dr, Chapel Hill, NC 27514","3000 New Bern Ave, Raleigh, NC 27610","CB 7000-125 MacNider Bldg, Chapel Hill, NC 27599","4420 Lake Boone Trail, Raleigh, NC 27607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4513600008,,,5,5,No,Yes,July,Yes,No,https://surgery.duke.edu/divisions/vascular-and-endovascular-surgery,Not Available,"Mitchell W Cox
MD
Duke Univ Med Ctr
Vascular Surgery-Integrated Pgm
2301 Erwin Rd
Durham, NC 27707
Tel: (919) 660-8346
Fax: (919) 668-2563
E-mail: penny.potvin@duke.edu","Lee  Hines
BA
Duke Univ Med Ctr
Vascular Surgery Pgm
Box 2834
Durham, NC 27710
Tel: (919) 681-5067
Fax: (919) 681-8856
E-mail: lee.hines@duke.edu",4513600008,"Duke Univ Med Ctr, Vascular Surgery-Integrated Pgm, 2301 Erwin Rd, Durham, NC 27707","2301 Erwin Rd, Durham, NC 27710","3643 N Roxboro St, Durham, NC 27704-2763","508 Fulton St, Durham, NC 27705","3400 Wake Forest Rd, Raleigh, NC 27609","120 E Carver St, Durham, NC 27704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4513221059,University-based,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital,5,5,No,Yes,June,Yes,No,http://gme.dartmouth-hitchcock.org/vascular_residency.html,Not Available,"David  Stone
MD
Dartmouth-Hitchcock Med Ctr
Vascular Surgery
1 Medical Center Dr
Lebanon, NH 03756
Tel: (603) 650-4521
Fax:
E-mail: david.h.stone@hitchcock.org","Sarah T Blum
Dartmouth-Hitchcock Med Ctr
Vascular Surgery
1 Medical Center Dr
Lebanon, NH 03756
Tel: (603) 650-4521
Fax: (603) 650-4973
E-mail: sarah.t.blum@hitchcock.org",4513221059,"Dartmouth-Hitchcock Med Ctr, Vascular Surgery, 1 Medical Center Dr, Lebanon, NH 03756","1 Medical Center Dr, Lebanon, NH 03756-0001","250 Pleasant St, Concord, NH 03301","163 Veterans Dr, White River Junction, VT 05009",,,"Trainees receive open surgical and endovascular training at the forefront of practice. A robust academic exposure to surgical scholarship, quality improvement, and research (statistical analysis, clinical trial design, abstract, manuscript and grant preparation are also emphasized. A robust educational conference schedule including a didactic core curriculum; case conference; M&M; journal club; vascular laboratory; and basic science.",1,1,1,1,1,No,No,"Yes , Codes: 1377451C0",No,10/15/2020,11/8/2020 - 1/18/2021_11/7/2021 - 1/24/2022,9/1/2021,10/15/2021,Yes,24,No,No,3,No,Yes,___,No,236-245,No,No,No Answer,"Desired, with some exceptions",Yes,Yes,Yes,9,0,2,0,11,0,33.3,2.0 to 1,75,24,1,Yes,Yes,100,0,0,28.8,71.1,Every fourth night for 12 month(s),0,Every fourth night for 12 month(s),0,Every fourth night for 12 month(s),0,N/A,13,N/A,13,4,10%,N/A,,"$57,319.00",15,5,"$59,454.00",15,5,"$61,903.00",15,5,"$64,560.00",15,5,"$67,559.00",15,5,No answer,90,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Optional,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4513300126,University-based,Cooper University Hospital,5,5,No,Yes,June,Yes,No,http://www.cooperhealth.edu/residencies/vascular-and-endovascular-surgery,Not Available,"Joseph V Lombardi
MD
Cooper Univ Hosp
Ste 411
3 Cooper Plaza
Camden, NJ 08103
Tel: (856) 963-6889
Fax: (856) 365-7582
E-mail: lombardi-joseph@cooperhealth.edu","Ashley  Sheeran
Cooper Univ Hosp
Office of Surgical Education Ste 411
3 Cooper Plaza
Camden, NJ 08103
Tel: (856) 963-6889
Fax: (856) 365-7582
E-mail: vsprogram@cooperhealth.edu",4513300126,"Cooper Univ Hosp, Ste 411, 3 Cooper Plaza, Camden, NJ 08103","One Cooper Plaza, Camden, NJ 08103-1489",,,,,Cooper University Hospital is the largest hospital in the southern NJ area. We have a large case volume encompassing all aspects of open and endovascular surgery. Faculty are committed to resident education who promote graduated responsibility in order to build confidence and evaluate competence. Research is strongly promoted as part of resident education.,1,1,1,1,1,No,No,"Yes , Codes: 1380451C0",No,,-_10/15/2021 - 12/1/2021,10/21/2021,12/1/2021,Yes,27,No,No,3,No,Yes,215___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,38,3,0,0,38,3,34.2,7.6 to 1,70,24,1,No,Yes,85,0,15,80,20,Every third night for 1 month(s),0,Every seventh night for 3 month(s),0,Every third night for 1 month(s),0,Every third night for 6 month(s),NGO,Every third night for 6 month(s),NGO,6,10%,10%,,"$58,688.00",20,NGO,"$61,117.00",20,NGO,"$63,431.00",20,NGO,"$67,485.00",20,NGO,"$69,075.00",20,NGO,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Not available,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4513300125,University-based,Robert Wood Johnson University Hospital,5,5,No,Yes,July,Yes,No,http://RWJMS.rutgers.edu/surgery,Not Available,"Saum A Rahimi
MD
Rutgers Robert Wood Johnson Med Sch
MEB 541
1 Robert Wood Johnson Pl
New Brunswick, NJ 08901
Tel: (732) 235-7816
Fax: (732) 235-8538
E-mail: rahimisa@rwjms.rutgers.edu","JoAnn M Miller
Rutgers Robert Wood Johnson Med Sch
MEB 541
1 Robert Wood Johnson Pl
New Brunswick, NJ 08903-0019
Tel: (732) 235-8175
Fax: (732) 235-8516
E-mail: millerjm@rwjms.rutgers.edu",4513300125,"Rutgers Robert Wood Johnson Med Sch, MEB 541, 1 Robert Wood Johnson Pl, New Brunswick, NJ 08901","65 Bergen St, Newark, NJ 07103","One Robert Wood Johnson Pl, New Brunswick, NJ 08903-2601",,,,"Annual Moore Course, VEITH Symposium, LSU Simulation Course, and Society for Vascular Surgery Residents Course.",1,1,1,1,1,No,No,Yes,No,1/20/2021,11/4/2020 - 1/29/2021_11/3/2021 - 1/28/2022,8/18/2021,1/28/2022,No,40,No,No,3,No,Yes,201___,No,No Answer,No,No,No Answer,Not known,Yes,No,No,4,0,0,0,4,0,25,0.8 to 1,75,16,2,No,Yes,100,0,0,41.1,58.8,Two times per week for 12 month(s),0,Two times per week for 12 month(s),0,Two times per week for 12 month(s),0,N/A,26,N/A,26,5,20%,5%,,"$61,749.00",20,12,"$65,934.00",20,12,"$69,970.00",20,12,"$74,056.00",20,12,"$76,022.00",20,12,No,12,84,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,More than 30 days of starting program,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Not available,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,
