,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Participant 4,Intro,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Program best described as,Primary teaching site,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Year 4,,Night float system (Residents participate during first year)
0,https://freida.ama-assn.org/program/2200531027,4,4,No,Yes,July,Yes,No,http://www.kernmedical.com/,Not Available,"Juan  Lopez
MD
Kern Med Ctr
Ob/Gyn Pgm
1700 Mount Vernon Ave
Bakersfield, CA 93306
Tel: (661) 326-2237
Fax:
E-mail: elizabeth.maya@kernmedical.com","Elizabeth  Maya
Kern Med Ctr
Ob/Gyn Pgm
1700 Mount Vernon Ave
Bakersfield, CA 93306
Tel: (661) 326-2237
Fax: (661) 326-2235
E-mail: elizabeth.maya@kernmedical.com",2200531027,"Kern Med Ctr, Ob/Gyn Pgm, 1700 Mount Vernon Ave, Bakersfield, CA 93306","1700 Mount Vernon Ave, Bakersfield, CA 93305","420 34th St, Bakersfield, CA 93301","2215 Truxtun Ave, Bakersfield, CA 93301",,,,,,,,,,,Community-based,Kern Medical Center,4,4,4,No,No,"Yes , Codes: 1921220C0",No,11/2/2020,11/16/2020 - 1/5/2021_10/25/2021 - 1/11/2022,9/17/2021,11/1/2021,No,80,No,No,3,No,No,___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",501-540,"Desired, with some exceptions",Yes,No,No,13,0,0,0,13,0,38.4,0.8 to 1,70,16,1,No,,40.3,30.8,28.8,88.7,11.2,Every fourth night for 12 month(s),0,Every fourth night for 12 month(s),0,Every fourth night for 12 month(s),0,Every fourth night for 12 month(s),Not Available,7,22%,8%,"$49,368.00",20,8,"$52,824.00",20,8,"$56,521.00",20,8,"$60,479.00",20,8,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,"Available, Not Paid By Institution",Not Available,Within 30 days of starting program,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Optional,No,No,Yes,4,,Yes
0,https://freida.ama-assn.org/program/2200500335,4,4,No,Yes,July,Yes,No,https://www.arrowheadregional.org/,Not Available,"Shirley P Wong
DO
Arrowhead Regional Med Ctr
Ob/Gyn Pgm
400 N Pepper Ave
Colton, CA 92324
Tel: (909) 580-3496
Fax: (909) 580-3289
E-mail: colladom@armc.sbcounty.gov","Madeleine  Collado
Arrowhead Regional Med Ctr
Ste 206 MOB
400 N Pepper Ave
Colton, CA 92324
Tel: (909) 580-3496
Fax: (909) 580-3289
E-mail: colladom@armc.sbcounty.gov",2200500335,"Arrowhead Regional Med Ctr, Ob/Gyn Pgm, 400 N Pepper Ave, Colton, CA 92324","400 N Pepper Ave, Colton, CA 92324-1819","1500 E Duarte Rd, Duarte, CA 91010-1495","26520 Cactus Ave, Moreno Valley, CA 92555","27882 Forbes Rd, Lguna Nigel, CA 92677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2200531029,4,4,No,Yes,June,Yes,No,http://www.fresno.ucsf.edu/obstetricsgynecology/,Not Available,"Christopher D Downer
MD
UCSF Fresno MEP
Med Educ and Research Ctr
155 N Fresno St
Fresno, CA 93701
Tel: (559) 499-6540
Fax: (559) 499-6541
E-mail: obgyn@fresno.ucsf.edu","Kendra  Perret
UCSF Fresno MEP
Ob/Gyn Pgm Ste 233
155 N Fresno St
Fresno, CA 93701
Tel: (559) 499-6540
Fax: (559) 499-6541
E-mail: kperret@fresno.ucsf.edu",2200531029,"UCSF Fresno MEP, Med Educ and Research Ctr, 155 N Fresno St, Fresno, CA 93701","155 N Fresno St, Fresno, CA 93701-2302","2823 Fresno St, Fresno, CA 93721","1303 E Herndon Ave, Fresno, CA 93720",,,,The UCSF Fresno obstetrics/gynecology residency program offers a unique opportunity to train in a community atmosphere with university quality education through close interaction with core and volunteer clinical faculty. We serve a large and diverse population within California's Central Valley.,,,,,,,Community-based university affiliated,Community Regional Medical Center,4,4,4,No,No,"Yes , Codes: 1022220C0",No,10/21/2020,11/20/2020 - 1/8/2021_10/22/2021 - 12/17/2021,10/21/2021,11/1/2021,Yes,67,No,No,3,No,Yes,220__500_,No,226-235,Yes,No,501-540,"Desired, with some exceptions",Yes,No,Yes,10,2,3,0,13,2,40.0,0.7 to 1,68,24,1.5,No,,59.7,12.7,27.5,91.3,8.6,Other for week(s),0,Other for week(s),0,Other for week(s),NGO,Other for week(s),NGO,4,50%,N/A,"$58,950.00",15,12,"$60,904.00",15,12,"$63,297.00",15,12,"$65,795.00",15,12,Yes,32,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Required,Yes,Yes,Yes,4,(4 wks ),Yes
0,https://freida.ama-assn.org/program/2200521044,4,4,No,Yes,"June,July",Yes,No,http://obgynresidency.ucsd.edu,Not Available,"Daphne Y LaCoursiere
MD, MPH
UCSD Med Ctr
Dept of Reproductive Medicine MC 7433
9300 Campus Point Dr
La Jolla, CA 92037
Tel: (858) 249-1206
Fax: (858) 657-7212
E-mail: obresidents@ucsd.edu","Justin A Maisonet
UCSD Med Ctr
Dept of Reproductive Medicine MC 7433
9300 Campus Point Dr
La Jolla, CA 92037-7433
Tel: (858) 249-1206
Fax: (858) 657-7212
E-mail: obresidents@health.ucsd.edu",2200521044,"UCSD Med Ctr, Dept of Reproductive Medicine MC 7433, 9300 Campus Point Dr, La Jolla, CA 92037","200 W Arbor Dr, San Diego, CA 92103-2180","3350 La Jolla Village Dr, San Diego, CA 92161-4223","4647 Zion Ave, San Diego, CA 92120",,,,"Our residency is an integrated program, partnering with Kaiser Permanente, San Diego for decades. We are a Ryan residency training program and have collaborated with Planned Parenthood of San Diego for over 30 years. Our residents enjoy a month-long elective rotation during their third year. Residents have arranged electives in Kenya, Nigeria, Mozambique, Honduras, India, California, Vietnam, Peru American Samoa and Tanzania.",,,,,,,University-based,University of California (San Diego) Medical Center,6,6,6,No,No,"Yes , Codes: 1049220C0",No,11/1/2020,11/18/2020 - 12/16/2020_11/3/2021 - 11/26/2021,9/1/2021,10/1/2021,No,60,No,No,3,No,Yes,228___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,No,No,No,49,0,4,0,53,0,63.2,2.1 to 1,70,24,1,No,,100.0,0.0,0.0,95.2,4.7,Once per week for 40 week(s),0,Once per week for 40 week(s),0,Once per week for 40 week(s),0,Once per week for 40 week(s),Not Available,4,40%,2%,"$60,719.00",20,12,"$62,731.00",20,12,"$65,196.00",20,12,"$67,769.00",20,12,No,NGO,NGO,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Required,No,No,Yes,6,NGO (wks),Yes
0,https://freida.ama-assn.org/program/2200521329,4,4,No,Yes,June,Yes,No,http://lluh.org/obgyn-residency,Not Available,"Danielle M Mason
MD
Loma Linda Univ Med Ctr
Coleman Pavilion #11105
11175 Campus St
Loma Linda, CA 92354
Tel: (909) 651-5534
Fax: (909) 651-5401
E-mail: dmmason@llu.edu","Eileen  Griego
Loma Linda Univ Med Ctr
Coleman Pavilion #11105
11175 Campus St
Loma Linda, CA 92354
Tel: (909) 651-5534
Fax: (909) 651-5401
E-mail: egriego@llu.edu",2200521329,"Loma Linda Univ Med Ctr, Coleman Pavilion #11105, 11175 Campus St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","26520 Cactus Ave, Moreno Valley, CA 92555","9961 Sierra Ave, Fontana, CA 92335-1084",,,"We prepare our graduates to provide quality whole person care to women. Our patients have diverse backgrounds, and we are committed to reflecting this cultural diversity within our program. We emphasize recruiting physicians committed to our mission of service. Addressing health care disparities in our local community and abroad is a priority. Residents rotate at our primary teaching hospital, local FQHC and county hospital. An international health rotation in Africa is also offered.",,,,,,,University-based,Loma Linda University Health Education Consortium,8,8,9,No,No,"Yes , Codes: 1024220C0",No,11/1/2020,11/20/2020 - 1/22/2021_11/5/2021 - 1/21/2022,9/1/2021,11/1/2021,Yes,78,No,No,3,No,Yes,200_200__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",541-600,"Desired, with some exceptions",Yes,Yes,Yes,42,1,3,0,45,1,66.6,1.2 to 1,80,24,1,Yes,,93.7,0.0,6.2,89.2,10.7,Once per week for 10 month(s),0,Every fourth night for 2 month(s),12,Once per week for 10 month(s),6,Once per week for 10 month(s),24,6,50%,10%,"$58,378.00",15,10,"$60,313.00",20,10,"$62,682.00",20,10,"$65,157.00",20,10,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Required,Yes,Yes,Yes,9,(6 wks ),Yes
0,https://freida.ama-assn.org/program/2200511036,4,4,No,Yes,June,Yes,No,http://keck.usc.edu/obstetrics-and-gynecology/training-education/,Not Available,"Christina E Dancz
MD
LAC+USC Med Ctr
IPT C3F107
1200 N State St
Los Angeles, CA 90033
Tel:
Fax:
E-mail: lkwok@dhs.lacounty.gov","Laurie  Kwok
RN
LAC+USC Med Ctr
IPT C3F107
1200 N State St
Los Angeles, CA 90033
Tel:
Fax:
E-mail: lkwok@dhs.lacounty.gov",2200511036,"LAC+USC Med Ctr, IPT C3F107, 1200 N State St, Los Angeles, CA 90033","1200 N State St, Los Angeles, CA 90033-1084","1200 N State St, Los Angeles, CA 90033-1084","1401 S Grand Ave, Los Angeles, CA 90015","1441 Eastlake Ave, Los Angeles, CA 90033","1500 San Pablo St, Los Angeles, CA 90033",,Program provides a diverse and underserved patient population. Comprehensive educational experience of routine and complex gynecology and gynecologic oncology care as well as normal and high risk deliveries.,,,,,,,University-based,LAC+USC Medical Center,9,9,9,No,No,"Yes , Codes: 1033220C0",No,11/1/2020,11/6/2020 - 12/18/2020_-,,,Yes,70,No,No,3,No,Yes,220_230__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,43,4,7,0,50,4,58.1,1.2 to 1,72,28,1.5,Yes,Yes,100.0,0.0,0.0,75.0,25.0,Every fourth night for 21 week(s),0,Every fourth night for 21 week(s),0,Every fourth night for 21 week(s),0,Every fourth night for 21 week(s),Not Available,8,25%,N/A,"$55,444.00",28,8,"$60,222.00",28,8,"$65,252.00",28,8,"$70,316.00",28,8,No answer,NGO,60,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Within 30 days of starting program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Required,Yes,Yes,Yes,9,(3 wks ),
0,https://freida.ama-assn.org/program/2200512035,4,4,No,Yes,"June,July",Yes,No,https://residency-scal-kaiserpermanente.org/residency/obgyn/,Not Available,"Elena  Martinez
MD, MPH
Kaiser Permanente Los Angeles
Ctr for Med Education 3rd
4733 Sunset Blvd
Los Angeles, CA 90027
Tel: (877) 574-0002
Fax: (626) 405-6581
E-mail: socal.residency@kp.org","Residency Program Coordinator
Kaiser Permanente Regional Offices
GME Admin
393 E Walnut St
Pasadena, CA 91188
Tel: (877) 574-0002
Fax: (626) 405-6581
E-mail: socal.residency@kp.org",2200512035,"Kaiser Permanente Los Angeles, Ctr for Med Education 3rd, 4733 Sunset Blvd, Los Angeles, CA 90027","4733 Sunset Blvd, Los Angeles, CA 90027","4867 Sunset Blvd, Los Angeles, CA 90027","6041 Cadillac Ave, Los Angeles, CA 90034","400 W 30th St, Los Angeles, CA 90007","4216 Fountain Ave, Los Angeles, CA 90029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2200521039,4,4,No,Yes,"June,July",Yes,No,http://www.AHWhiteMemorial.org/ResidencyOB,Not Available,"Cinna  Wohlmuth
MD
Adventist Health White Memorial
Ob/Gyn Pgm
1720 Cesar E Chavez Ave
Los Angeles, CA 90033
Tel: (323) 260-5810
Fax: (323) 881-8601
E-mail: wohlmuct@ah.org","Lana  Hoang
Adventist Health White Memorial
Ob/Gyn Pgm
1720 Cesar E Chavez Ave
Los Angeles, CA 90033
Tel:
Fax: (323) 881-8601
E-mail: hoangl1@ah.org",2200521039,"Adventist Health White Memorial, Ob/Gyn Pgm, 1720 Cesar E Chavez Ave, Los Angeles, CA 90033","1720 Cesar E Chavez Ave, Los Angeles, CA 90033-2481","8700 Beverly Blvd, Los Angeles, CA 90048-1869","10800 Magnolia Ave, Riverside, CA 92505-3000","438 W Las Tunas Dr, San Gabriel, CA 91776-1507","1328 22nd St, Santa Monica, CA 90404-2091","1505 Wilson Terrace Dr, Glendale, CA 91206","We have a challenging curriculum that emphasizes service to culturally diverse communities and innovative practice management curriculum that teaches the necessary skills. Salaries include incentives for examinations, licensure expenses and book allowance.","300 Huntington Dr, Arcadia, CA 91007","27200 Iris Ave, Moreno Valley, CA 92555",,,,,Community-based university affiliated,Adventist Health White Memorial,5,5,4,No,No,"Yes , Codes: 1040220C0",No,11/1/2020,11/18/2020 - 1/6/2021_11/4/2021 - 12/9/2021,9/1/2021,10/1/2021,Yes,70,No,No,3,No,Yes,___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,8,0,0,0,8,0,62.5,0.4 to 1,72,24,1,No,,97.9,2.0,0.0,93.7,6.2,N/A,0,N/A,0,N/A,0,N/A,Not Available,4,20%,N/A,"$62,699.00",20,5,"$63,885.00",20,5,"$65,031.00",20,5,"$74,229.00",20,5,Yes,NGO,NGO,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution",Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Not available,Yes,Yes,Yes,4,,Yes
0,https://freida.ama-assn.org/program/2200531034,4,4,No,Yes,"June,July",Yes,No,http://www.cedars-sinai.edu/obgyn,Not Available,"Bryna J Harwood
MD, MS
Cedars-Sinai Med Ctr
South Tower Ste 3622
8700 Beverly Blvd
Los Angeles, CA 90048
Tel:
Fax:
E-mail: bryna.harwood@cshs.org","C J  Boyd
Cedars-Sinai Med Ctr
South Tower Ste 3622
8700 Beverly Blvd
Los Angeles, CA 90048
Tel: (310) 423-7417
Fax: (310) 423-0313
E-mail: boydc@cshs.org",2200531034,"Cedars-Sinai Med Ctr, South Tower Ste 3622, 8700 Beverly Blvd, Los Angeles, CA 90048","8700 Beverly Blvd, Los Angeles, CA 90048-1869","1401 S Grand Ave, Los Angeles, CA 90015","8405 Beverly Blvd, Los Angeles, CA 90048","1530 S Olive St, Los Angeles, CA 90015","3288 Moanalua N Frontage Rd, Honolulu, HI 96819",,,,,,,,,Community-based university affiliated,Cedars-Sinai Medical Center,7,7,7,No,No,"Yes , Codes: 1030220C0",No,2/1/2021,10/1/2020 - 1/1/2021_-,,,No,78,No,No,3,No,Yes,200___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,Yes,Yes,16,0,21,0,37,0,56.2,0.9 to 1,70,16,2,No,Yes,100.0,0.0,0.0,93.2,6.7,N/A,0,N/A,0,N/A,0,N/A,Not Available,4,20%,17%,"$56,923.00",20,10,"$58,747.00",20,10,"$61,059.00",20,10,"$63,181.00",20,10,Yes,10,20,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Required,No,No,Yes,7,NGO (wks),
0,https://freida.ama-assn.org/program/2200531038,4,4,No,Yes,June,Yes,No,http://obgyn.ucla.edu,Not Available,"Erica D Oberman
MD
UCLA Med Ctr
Rm 27-139 CHS
10833 Le Conte Ave
Los Angeles, CA 90095
Tel: (310) 825-9945
Fax: (310) 206-7186
E-mail: nasantos@mednet.ucla.edu","Nicole  Santos
UCLA Med Ctr
CHS 27-139
10833 Le Conte Ave
Los Angeles, CA 90095-1740
Tel: (310) 794-8492
Fax: (310) 206-7186
E-mail: nasantos@mednet.ucla.edu",2200531038,"UCLA Med Ctr, Rm 27-139 CHS, 10833 Le Conte Ave, Los Angeles, CA 90095","10833 Le Conte Ave, Los Angeles, CA 90024","14445 Olive View Dr, Sylmar, CA 91342-1495","757 Westwood Plaza, Los Angeles, CA 90095","13652 Cantara St, Panorama City, CA 91402","5601 DeSoto Ave, Woodland Hills, CA 91365-4084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2200512040,4,4,No,Yes,June,Yes,No,https://residency-ncal.kaiserpermanente.org/programs/obgyn/oakland/,Not Available,"Laura  Minikel
MD
Kaiser Permanente Oakland Med Ctr
Ob/Gyn Pgm
275 W MacArthur Blvd
Oakland, CA 94611
Tel: (510) 752-7672
Fax: (510) 752-1571
E-mail: laura.l.minikel@kp.org","Joel  Barcelona
Kaiser Permanente Oakland Med Ctr
Graduate Med Education
3600 Broadway
Oakland, CA 94611
Tel: (510) 752-1932
Fax: (510) 752-1571
E-mail: joel.barcelona@kp.org",2200512040,"Kaiser Permanente Oakland Med Ctr, Ob/Gyn Pgm, 275 W MacArthur Blvd, Oakland, CA 94611","1800 Harrison St, Oakland, CA 94612-2298","280 W MacArthur Blvd, Oakland, CA 94611-5693",,,,,,,,,,,,Community-based university affiliated,Kaiser Permanente Oakland Medical Center,6,6,6,No,No,"Yes , Codes: 1042220C0",No,10/21/2020,11/10/2020 - 1/31/2021_11/10/2021 - 1/31/2022,9/1/2021,10/21/2021,Yes,120,No,No,3,No,Yes,210___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,Yes,No,73,10,4,0,77,10,89.0,3.1 to 1,67,24,1.5,Yes,,97.9,0.0,2.0,100.0,0.0,Every seventh night for 8 month(s),0,Every seventh night for 10 month(s),0,Every seventh night for 8 month(s),0,Every seventh night for 8 month(s),Not Available,6,6%,N/A,"$69,047.00",15,13,"$72,747.00",15,13,"$77,372.00",15,13,"$84,581.00",15,13,No answer,28,NGO,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Within 30 days of starting program,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,6,,Yes
0,https://freida.ama-assn.org/program/2200521031,4,4,No,Yes,June,Yes,No,http://www.obgyn.uci.edu/obgyn-residency.asp,Not Available,"Laura E Fitzmaurice
MD
UC Irvine Med Ctr
Ste 1400
333 City Blvd W
Orange, CA 92868
Tel: (714) 456-5616
Fax: (714) 456-8360
E-mail: reginm1@uci.edu","Reggie  Melendez
UC Irvine Med Ctr
Ste 1400
333 City Blvd W
Orange, CA 92868
Tel: (714) 456-8224
Fax: (714) 456-8360
E-mail: reginm1@uci.edu",2200521031,"UC Irvine Med Ctr, Ste 1400, 333 City Blvd W, Orange, CA 92868","200 E Manchester St, Orange, CA 92868","2801 Atlantic Ave, Long Beach, CA 90801-1428","441 Lakeview Ave, Anaheim, CA 92807","4733 Sunset Blvd, Los Angeles, CA 90027",,,Educational/conference discretionary account of $1500 per year.,,,,,,,University-based,University of California (Irvine) Medical Center,7,7,7,No,No,"Yes , Codes: 1043220C0",No,11/1/2020,11/20/2020 - 1/8/2021_-,,,Yes,84,No,No,3,No,Yes,___,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,26,0,0,0,26,0,69.2,0.9 to 1,68,24,1,No,,100.0,0.0,0.0,85.5,14.4,Once per week for 4 week(s),0,Once per week for 4 week(s),8,Two times per week for 4 week(s),8,Two times per week for 7 week(s),38,2,15%,15%,"$60,667.00",20,NGO,"$62,678.00",20,NGO,"$65,140.00",20,NGO,"$67,712.00",20,NGO,No answer,NGO,Not Available,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,No,7,,Yes
