,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Intro,,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Program best described as,Primary teaching site,Night float system (Residents participate during first year),Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Specialty Details,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7,,,
0,https://freida.ama-assn.org/program/4400521033,5,5,No,Yes,June,Yes,No,http://www.surgery.uci.edu/,Not Available,"Brian R Smith
MD
UC Irvine Med Ctr
Ste 1600
333 City Blvd W
Orange, CA 92868
Tel: (714) 509-2377
Fax:
E-mail: skwatson@hs.uci.edu","Stephanie K Watson
MPA
UC Irvine Med Ctr
Dept of Surgery Ste 1600
333 City Blvd W
Orange, CA 92868
Tel: (714) 509-2377
Fax: (714) 456-6188
E-mail: skwatson@hs.uci.edu",4400521033,"UC Irvine Med Ctr, Ste 1600, 333 City Blvd W, Orange, CA 92868","200 E Manchester St, Orange, CA 92868","5901 E 7th St, Long Beach, CA 90822-5201","2801 Atlantic Ave, Long Beach, CA 90801-1428","455 S Main St, Orange, CA 92868","441 Lakeview Ave, Anaheim, CA 92807",,,"Program provides FLS training and test center, paid ACLS, academic and licensing/exam stipends, ACS membership, access to SCORE and AccessSurgery and other education portals, skills training/simulation training, flexible scheduling of rotations, ATLS and ASSET certification.",,10,10,6,6,No,Yes,"Yes , Codes: 1043440C0,1043440P0,1043440P3",No,10/21/2020,11/19/2020 - 1/31/2021_11/1/2021 - 1/31/2022,9/15/2021,10/21/2021,Yes,130,No,No,3,No,Yes,220___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,40,20,0,0,40,20,30,1.0 to 1,75,28,1,No,,89.8,5.1,5,28.2,71.7,Negotiable for week(s),NGO,Negotiable for week(s),NGO,Negotiable for week(s),NGO,Negotiable for week(s),NGO,6,30%,5%,"$62,486.00",28,12,"$64,558.00",28,12,"$67,094.00",28,12,"$69,743.00",28,12,No,NGO,NGO,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,Yes,Yes,Yes,University-based,University of California (Irvine) Medical Center,Yes,,,,,,,6,Negotiable for week(s),NGO,"$72,597.00",28,12,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4400511047,5,5,Yes,Yes,"June,July",Yes,No,http://www.huntingtonhospital.com,Not Available,"Steven G Katz
MD
Huntington Hosp
Graduate Med Education
100 W California Blvd
Pasadena, CA 91105
Tel: (626) 397-5187
Fax: (626) 397-2914
E-mail: steven.katz@huntingtonhospital.com","Jessica  Reed
Huntington Hosp
Graduate Med Education
100 W California Blvd
Pasadena, CA 91105
Tel: (626) 397-5187
Fax: (626) 397-2914
E-mail: jessica.reed@huntingtonhospital.com",4400511047,"Huntington Hosp, Graduate Med Education, 100 W California Blvd, Pasadena, CA 91105","100 W California Blvd, Pasadena, CA 91109","4650 Sunset Blvd, Los Angeles, CA 90027-5693","1500 San Pablo St, Los Angeles, CA 90033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400500430,5,5,No,Yes,July,Yes,No,http://riversidecommunityhospital.com,Not Available,"Ahmed M Mahmoud
MD, PhD
Riverside Community Hosp
General Surgery Pgm
4445 Magnolia Ave
Riverside, CA 92501
Tel: (951) 788-3550
Fax:
E-mail: maria.shannon@hcahealthcare.com","Maria  Shannon
Riverside Community Hosp
General Surgery Pgm
4445 Magnolia Ave
Riverside, CA 92501
Tel: (951) 788-3550
Fax:
E-mail: maria.shannon@hcahealthcare.com",4400500430,"Riverside Community Hosp, General Surgery Pgm, 4445 Magnolia Ave, Riverside, CA 92501","4445 Magnolia Ave, Riverside, CA 92501","3186 Maryland Pkwy, Las Vegas, NV 89193-8530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400521031,5,5,No,Yes,"June,July",Yes,No,http://www.ucdmc.ucdavis.edu/surgery/education/,Not Available,"Edgardo S Salcedo
MD
UC Davis Med Ctr
North Addition 5th Fl
2335 Stockton Blvd
Sacramento, CA 95817
Tel: (916) 734-2724
Fax: (916) 734-5633
E-mail: jmdamon@ucdavis.edu","Jennifer  Hibbs
UC Davis Med Ctr
Surgery Education Office 5th Fl
2335 Stockton Blvd
Sacramento, CA 95817-2282
Tel: (916) 734-2724
Fax: (916) 734-5633
E-mail: jmdamon@ucdavis.edu",4400521031,"UC Davis Med Ctr, North Addition 5th Fl, 2335 Stockton Blvd, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817","2425 Stockton Blvd, Sacramento, CA 95817","2801 L St, Sacramento, CA 95816","2315 Stockton Blvd, Sacramento, CA 95817","101 Bodin Circle, Travis AFB, CA 94535-1800","2025 Morse Ave, Sacramento, CA 95825-1084","6600 Bruceville Rd, Sacramento, CA 95823-2246","We offer a clinically diverse training program that prepares surgeons for any endeavor they wish to pursue: competitive fellowship training, general surgery practice, leadership in surgery. We value clinical excellence and professionalism.",,26,13,9,9,No,Yes,"Yes , Codes: 1046440P0,1046440C0",No,11/1/2020,11/1/2020 - 12/31/2020_11/1/2021 - 12/31/2021,9/15/2021,11/1/2021,Yes,100,No,Yes,3,No,No,___,No,No Answer,No,No,No Answer,"Desired, with some exceptions",Yes,No,No,77,3,0,0,77,3,24.6,1.1 to 1,80,24,1,No,No,87.8,0.4,11.6,58.8,41.1,Every third night for 4 week(s),0,Other for 4 week(s),36,Other for 4 week(s),32,Other for 8 week(s),40,5,20%,N/A,"$57,233.00",20,12,"$59,130.00",20,12,"$61,453.00",20,12,"$63,878.00",20,12,No answer,NGO,NGO,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Optional,No,No,Yes,University-based,University of California Davis Health,,"10535 Hospital Way, Mather, CA 95655",,,,,,9,Other for 8 week(s),40,"$66,492.00",20,12,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4400512013,5,5,Yes,Yes,"July,August",Yes,Yes,,Not Available,"Michael J Krzyzaniak
MD
Naval Med Ctr San Diego
Dept of Surgery
34800 Bob Wilson Dr
San Diego, CA 92134-5000
Tel: (619) 532-9659
Fax: (619) 532-7673
E-mail: kristina.m.umali.civ@mail.mil","Kristina  Umali
Naval Med Ctr San Diego
Dept of Surgery
34800 Bob Wilson Dr
San Diego, CA 92134-5000
Tel: (619) 532-7579
Fax: (619) 532-7673
E-mail: kristina.m.umali.civ@mail.mil",4400512013,"Naval Med Ctr San Diego, Dept of Surgery, 34800 Bob Wilson Dr, San Diego, CA 92134-5000","34800 Bob Wilson Dr, San Diego, CA 92134-5000","4077 Fifth Ave, San Diego, CA 92103-2180","200 W Arbor Dr, San Diego, CA 92103-2180","3020 Children's Way, San Diego, CA 92123-4282","4647 Zion Ave, San Diego, CA 92120","10666 N Torrey Pines Rd, La Jolla, CA 92037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400521048,5,5,Yes,Yes,June,Yes,No,,Not Available,"Garth  Jacobsen
MD
UCSD Med Ctr
MC 8400
200 W Arbor Dr
San Diego, CA 92103
Tel: (619) 471-3859
Fax: (619) 543-3017
E-mail: gjacobsen@ucsd.edu","Lupita  Nuno
UCSD Med Ctr
MC 7220
9300 Campus Point Dr
La Jolla, CA 92037
Tel: (858) 657-7025
Fax: (619) 543-3017
E-mail: gnuno@ucsd.edu",4400521048,"UCSD Med Ctr, MC 8400, 200 W Arbor Dr, San Diego, CA 92103","200 W Arbor Dr, San Diego, CA 92103-2180","3020 Children's Way, San Diego, CA 92123-4282","3350 La Jolla Village Dr, San Diego, CA 92161-4223","4647 Zion Ave, San Diego, CA 92120","10666 N Torrey Pines Rd, La Jolla, CA 92037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400521052,5,7,No,Yes,"June,July",Yes,No,http://www.surgery.ucsf.edu/,Not Available,"Linda M Reilly
MD
UCSF Med Ctr
Dept of Surgery Rm S321
513 Parnassus Ave
San Francisco, CA 94143
Tel: (415) 476-1239
Fax: (415) 502-1259
E-mail: educationoffice@ucsf.edu","Rachelle C Bresnahan
UCSF Med Ctr
Dept of Surgery Rm S321
513 Parnassus Ave
San Francisco, CA 94143-0470
Tel: (415) 476-1239
Fax: (415) 502-1259
E-mail: rachelle.bresnahan@ucsf.edu",4400521052,"UCSF Med Ctr, Dept of Surgery Rm S321, 513 Parnassus Ave, San Francisco, CA 94143","500 Parnassus Ave, San Francisco, CA 94143-0474","500 Parnassus Ave, San Francisco, CA 94143-0296","4150 Clement St, San Francisco, CA 94121-1598","2425 Geary Blvd, San Francisco, CA 94115-3395","1001 Potrero Ave, San Francisco, CA 94110","2333 Buchanan St, San Francisco, CA 94115",,The program also provides a $2400/yr parking stipend. 45 days is the minimum paid sick leave. The total number of days is negotiable. Parental leave is additional.  We provide an annual educational resources fund ($200/yr) and professional development fund to attend meetings that support career development ($1200/yr). We provide loupes.,(104 wks ),27,10,8,8,No,Yes,"Yes , Codes: 1062440P0,1062440C0,1062440P2",No,11/4/2020,12/1/2020 - 1/31/2021_12/1/2021 - 1/31/2022,9/15/2021,10/1/2021,Yes,100,No,No,3,No,Yes,220_235__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",No,Yes,Yes,101,21,0,0,101,21,35.6,1.6 to 1,64,24,1,No,No,96.2,3.7,0,49,50.9,Every third night for 1 month(s),0,N/A,4,N/A,NGO,N/A,NGO,5,20%,N/A,"$75,698.00",30,NGO,"$77,769.00",30,NGO,"$80,305.00",30,NGO,"$82,954.00",30,NGO,Yes,14,45,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Required,Yes,Yes,No,University-based,UCSF and Mount Zion Medical Centers,,,,,,,,8,N/A,NGO,"$85,808.00",30,NGO,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4400512053,5,5,No,Yes,June,Yes,No,http://www.cottagehealth.org,Not Available,"Jeffrey M Gauvin
MD, MS
Santa Barbara Cottage Hosp
Surgery Pgm
400 W Pueblo St
Santa Barbara, CA 93105
Tel: (805) 569-7316
Fax: (805) 569-7317
E-mail: vcampuza@sbch.org","Veronica L Campuzano
Santa Barbara Cottage Hosp
Office of Surgery Education
400 W Pueblo St
Santa Barbara, CA 93105
Tel: (805) 569-7316
Fax: (805) 569-7317
E-mail: vcampuza@sbch.org",4400512053,"Santa Barbara Cottage Hosp, Surgery Pgm, 400 W Pueblo St, Santa Barbara, CA 93105","400 W Pueblo St, Santa Barbara, CA 93105","8700 Beverly Blvd, Los Angeles, CA 90048-1869","1200 N State St, Los Angeles, CA 90033-1084",,,,,"We are one of the oldest surgical training programs on the West Coast. We attract residents that want a high operative volume in an academically-oriented and collegial environment. While most of our residents match into very competitive fellowship programs, many also go directly into practice given our high operative volume. We favor applicants who have had life experience and know the meaning of hard work; grit and distance travelled are highly valued and what we look for in our applicants.",,4,4,4,4,No,No,"Yes , Codes: 1064440C0",No,,-_11/9/2021 - 1/25/2022,9/15/2021,12/31/2021,Yes,55,No,No,4,No,Yes,___,No,236-245,"No, require USMLE scores for all applicants",No Answer,No Answer,"Desired, with some exceptions",No,No,No,4,4,12,0,16,4,0,0.5 to 1,80,16,1.5,No,Yes,93.5,6.4,0,44.5,55.4,Other for week(s),0,Other for week(s),0,Other for week(s),0,Other for week(s),0,5,NGO,10%,"$62,976.00",21,12,"$65,536.00",21,12,"$69,939.00",21,12,"$74,752.00",28,12,Yes,NGO,NGO,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,Community-based,Santa Barbara Cottage Hospital,,,,,,,,4,Other for week(s),Not Available,"$77,824.00",28,12,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4400521054,5,7,No,Yes,June,Yes,No,http://med.stanford.edu/gensurg/education/residencyProgram.html,Not Available,"David A Spain
MD
Stanford Univ Med Ctr
Surgery Pgm H3691
300 Pasteur Dr
Stanford, CA 94305
Tel: (650) 725-2181
Fax:
E-mail: dspain@stanford.edu","Anita  Hagan
Stanford Univ Med Ctr
Surgery Pgm H3691
300 Pasteur Dr
Stanford, CA 94305-5641
Tel: (650) 725-2181
Fax: (650) 724-9806
E-mail: anita.hagan@stanford.edu",4400521054,"Stanford Univ Med Ctr, Surgery Pgm H3691, 300 Pasteur Dr, Stanford, CA 94305","300 Pasteur Dr, Stanford, CA 94305-4007","3801 Miranda Ave, Palo Alto, CA 94304-1207","751 S Bascom Ave, San Jose, CA 95128-2180","700 Lawrence Expressway, Santa Clara, CA 95051","725 Welch Rd, Palo Alto, CA 94304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400521056,5,6,No,Yes,June,Yes,No,http://www.harbor-ucla.org/surgery/,Not Available,"Angela L Neville
MD
Los Angeles County-Harbor-UCLA Med Ctr
Dept of Surgery Box 461
1000 W Carson St
Torrance, CA 90509
Tel: (424) 306-8070
Fax:
E-mail: rmmorrison@lundquist.org","Roxanne M Morrison
Los Angeles County-Harbor-UCLA Med Ctr
Dept of Surgery Box 461
1000 W Carson St
Torrance, CA 90509
Tel: (424) 306-8070
Fax: (310) 533-1841
E-mail: rmmorrison@lundquist.org",4400521056,"Los Angeles County-Harbor-UCLA Med Ctr, Dept of Surgery Box 461, 1000 W Carson St, Torrance, CA 90509","1000 W Carson St, Torrance, CA 90509-7360","1500 E Duarte Rd, Duarte, CA 91010-1495","4650 Sunset Blvd, Los Angeles, CA 90027-5693","757 Westwood Plaza, Los Angeles, CA 90095","1200 N State St, Los Angeles, CA 90033-1084","1011 Baldwin Park Blvd, Baldwin Park, CA 91706","25825 S Vermont Ave, Harbor City, CA 90710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400500429,5,5,No,Yes,July,Yes,No,http://www.cmhshealth.org/residency-program/index,Not Available,"Javier  Romero
MD
Community Memorial Health System
GME Office
147 N Brent St
Ventura, CA 93003
Tel: (805) 652-5675
Fax:
E-mail: jromero@cmhshealth.org","Diana  Sawyer-Thompson
MA
Community Memorial Health System
GME Office
147 N Brent St
Ventura, CA 93003
Tel: (805) 652-5672
Fax:
E-mail: dthompson@cmhshealth.org",4400500429,"Community Memorial Health System, GME Office, 147 N Brent St, Ventura, CA 93003","147 N Brent St, Ventura, CA 93003","3291 Loma Vista Rd, Ventura, CA 93003","8700 Beverly Blvd, Los Angeles, CA 90048-1869","455 S Main St, Orange, CA 92868","1600 N Rose Ave, Oxnard, CA 93030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400500428,5,5,No,Yes,June,Yes,No,http://www.kaweahdelta.org,Not Available,"Sebastiano  Cassaro
MD
Kaweah Delta Health Care District
GME Office SSB Bldg 5th Fl
400 W Mineral King Ave
Visalia, CA 93291
Tel: (559) 624-5225
Fax: (559) 625-7536
E-mail: scassa@kdhcd.org","Jennifer  Carrillo
BS
Kaweah Delta Health Care District
GME Office SSB Bldg Fifth Fl
400 W Mineral King Ave
Visalia, CA 93291
Tel: (559) 624-5220
Fax:
E-mail: jbonilla@kdhcd.org",4400500428,"Kaweah Delta Health Care District, GME Office SSB Bldg 5th Fl, 400 W Mineral King Ave, Visalia, CA 93291","400 W Mineral King, Visalia, CA 93291","200 E Manchester St, Orange, CA 92868","9300 Valley Children's Pl, Madera, CA 93638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4400721058,5,7,No,Yes,June,Yes,No,http://residency.cusurgery.com,Not Available,"Mark R Nehler
MD
Univ of Colorado Denver Sch of Med
Mail Stop C-302 Rm 5405
12631 E 17th Ave
Aurora, CO 80045
Tel: (303) 724-2685
Fax: (303) 724-2682
E-mail: mark.nehler@cuanschutz.edu","Claire E M Travis
MBA, MA
Univ of Colorado Denver Sch of Med
Mail Stop C-302 Rm 5405
12631 E 17th Ave
Aurora, CO 80045
Tel: (303) 724-2685
Fax: (303) 724-2682
E-mail: claire.travis@cuanschutz.edu",4400721058,"Univ of Colorado Denver Sch of Med, Mail Stop C-302 Rm 5405, 12631 E 17th Ave, Aurora, CO 80045","13001 E 17th Pl, Aurora, CO 80045","12605 E 16th Ave, Aurora, CO 80045","1055 Clermont St, Denver, CO 80220-1722","4567 E 9th Ave, Denver, CO 80220-3941","777 Bannock St, Denver, CO 80204-4507","13123 E 16th Ave, Aurora, CO 80045","1400 E Boulder St, Colorado Springs, CO 80909","In addition to the five years of general surgery clinical training, categorical residents are expected to spend at least two years in research/academics. There is abundant opportunity for clinical as well as basic science research within the department. Alternatively, several of our residents have completed masters degrees during the two research years.",(104 wks ),29,18,11,11,No,Yes,"Yes , Codes: 1076440C0,1076440P0",No,11/15/2020,11/1/2020 - 1/15/2021_11/1/2021 - 1/14/2022,9/15/2021,11/15/2021,No,108,No,No,3,No,Yes,220___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,Yes,Yes,135,144,6,2,141,146,28.1,1.7 to 1,68,28,1.4,No,,93.8,6.1,0,41.9,58,N/A,0,Every fourth night for 4 month(s),8,Every seventh night for 5 month(s),6,Every seventh night for 4 month(s),8,4,25%,N/A,"$58,027.00",28,NGO,"$60,285.00",28,NGO,"$62,725.00",28,NGO,"$65,756.00",28,NGO,Yes,28,84,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Required,Yes,Yes,Yes,University-based,University of Colorado Hospital,Yes,,,,,,,11,Every seventh night for 4 month(s),42,"$69,459.00",28,NGO,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4400722057,5,5,No,Yes,"June,July",Yes,No,http://www.saintjoesdenver.org,Not Available,"Jason  Johnson
DO
St Joseph Hosp
General Surgery Pgm
1375 E 19th Ave
Denver, CO 80218
Tel: (303) 812-6400
Fax:
E-mail: jason.johnson@sclhealth.org","Laurie  Cooper
St Joseph Hosp
General Surgery Pgm
1375 E 19th Ave
Denver, CO 80218
Tel: (303) 812-6400
Fax:
E-mail: lauriejoanne.cooper@sclhealth.org",4400722057,"St Joseph Hosp, General Surgery Pgm, 1375 E 19th Ave, Denver, CO 80218","1835 Franklin St, Denver, CO 80218-3798","777 Bannock St, Denver, CO 80204-4507","13123 E 16th Ave, Aurora, CO 80045","12605 E 16th Ave, Aurora, CO 80045","2500 Rocky Mountain Ave, Loveland, CO 80538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
