,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Program best described as,Primary teaching site,Participant 3,Participant 4,Year 1,Year 2,Year 3,Year 4,Year 5,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Night float system,Participant 5,,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Yes
0,https://freida.ama-assn.org/program/3802077070,2,2,Yes,Yes,"July,Negotiable",Yes,No,https://cph.uky.edu/academic-programs/residency-programs/,Not Available,"Susan E Spengler
MD, MPH
Univ of Kentucky Coll of Public Health
Ste 220
111 Washington Ave
Lexington, KY 40536
Tel: (859) 257-5166
Fax: (859) 257-9862
E-mail: deana.bellis@uky.edu","Deana L Bellis
Univ of Kentucky Coll of Public Health
Ste 220
111 Washington Ave
Lexington, KY 40536-0003
Tel: (859) 218-2100
Fax:
E-mail: deana.bellis@uky.edu",3802077070,"Univ of Kentucky Coll of Public Health, Ste 220, 111 Washington Ave, Lexington, KY 40536","800 Rose St, Lexington, KY 40536","800 Rose St, Lexington, KY 40536-0293","1001 Cherry Blossom Way, Georgetown, KY 40324","650 Newtown Pike, Lexington, KY 40508",,,,"Dept for Public Health, Frankfort, KY 40621","1720 Nicholasville Rd, Lexington, KY 40503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1055 Dove Run Rd, Lexington, KY 40502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802121014,2,2,No,No,"July,Negotiable",Yes,No,http://tulane.edu/som/departments/fammed/prevmed.cfm,Not Available,"Clarissa J Hoff
MD, MPH
Tulane Univ Sch of Med
Dept of Family and Community Medicine #8033
1430 Tulane Ave
New Orleans, LA 70112
Tel: (504) 988-4700
Fax: (504) 988-4701
E-mail: choff@tulane.edu","Lisa  Dougherty
BS
Tulane Univ Sch of Med
Dept of Family and Community Medicine #8033
1430 Tulane Ave
New Orleans, LA 70112
Tel: (504) 988-4700
Fax: (504) 988-4701
E-mail: lmills@tulane.edu",3802121014,"Tulane Univ Sch of Med, Dept of Family and Community Medicine #8033, 1430 Tulane Ave, New Orleans, LA 70112","1430 Tulane Ave, New Orleans, LA 70112-2699","1450 L and A Rd, Metairie, LA 70001","Quarters 21-A, Alexandria, LA 71306-9004","1440 Tulane Ave, New Orleans, LA 70112",Physicians who successfully complete the program will graduate with a MPH or MPH+TM degree and will be eligible to take the Board examination in preventive medicine.,University-based,Louisiana Office of Public Health,"1601 Perdido St, New Orleans, LA 70112",,4,4,,,,"Yes  , 1 year(s)",No,No,No,10/1/2020,10/1/2020 - 1/14/2021_-,,,Yes,20,No,Yes,3,No,Yes,200_200_450_450,Yes,No Answer,Yes,Yes,No Answer,"Desired, with some exceptions",No,No,No,1,0,0,0,1,0,100,0.1 to 1,40,16,2,Yes,,46.6,6.6,46.6,63.3,36.6,N/A,0,N/A,Not Available,,,,,,,4,10%,10%,,,,"$55,057.00",15,10,"$56,940.00",15,10,,,,,,,Yes,35,NGO,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Optional,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802421037,2,2,No,Yes,July,No,No,http://www.bumc.bu.edu/medfellowship/prevmedresidency,Not Available,"Pablo  Buitron de la Vega
MD, MSc
Boston Univ Med Ctr
Ste 2070
801 Massachusetts Ave
Boston, MA 02118
Tel: (617) 638-8344
Fax: (617) 414-4676
E-mail: pablo.buitrondelavega@bmc.org","Linda  Neville
BS
Boston Univ Med Ctr
Crosstown 2
801 Massachusetts Ave
Boston, MA 02118
Tel: (617) 638-8344
Fax: (617) 414-4676
E-mail: linda.neville@bmc.org",3802421037,"Boston Univ Med Ctr, Ste 2070, 801 Massachusetts Ave, Boston, MA 02118","One Boston Medical Center Pl, Boston, MA 02118-2393","1400 VFW Pkwy, Boston, MA 02132","250 Washington St, Boston, MA 02108-4619","200 Springs Rd, Bedford, MA 01730",,,,"80 E Concord St, Boston, MA 02118","1010 Massachusetts Ave, Boston, MA 02118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10 Hawthorne Pl, Boston, MA 02114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802477074,2,2,No,Yes,"July,Negotiable",No,No,http://www.hsph.harvard.edu/oemr,Not Available,"Stefanos N Kales
MD, MPH
Harvard Univ Sch of Public Health
Environm/Occupational Med & Epidemiology
665 Huntington Ave
Boston, MA 02115
Tel: (617) 665-1580
Fax: (617) 432-0219
E-mail: skales@hsph.harvard.edu","Annie  Rodriguez
MA
Harvard Univ Sch of Public Health
Environm/Occupational Med & Epidemiology
665 Huntington Ave
Boston, MA 02115-9957
Tel: (617) 432-3937
Fax: (617) 432-0219
E-mail: crodriguez@hsph.harvard.edu",3802477074,"Harvard Univ Sch of Public Health, Environm/Occupational Med & Epidemiology, 665 Huntington Ave, Boston, MA 02115","677 Huntington Ave, Boston, MA 02115","1493 Cambridge St, Cambridge, MA 02139","250 Washington St, Boston, MA 02108-4619","125 Parker Hill Ave, Boston, MA 02120-2850",,,,"100 Central St, Worcester, MA 01608","677 Huntington Ave, Boston, MA 02115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802421018,2,2,No,Yes,"July,August",Yes,No,http://www.umassmed.edu,Not Available,"Jacalyn  Coghlin-Strom
MD, MPH
Univ of Massachusetts Med Sch
Dept of Family Medicine
55 Lake Ave N
Worcester, MA 01655
Tel: (774) 442-5615
Fax: (774) 441-6212
E-mail: jackie.coghlin-strom@umassmed.edu","Linda  Hollis
Univ of Massachusetts Med Sch
Dept of Family Medicine
55 Lake Ave N
Worcester, MA 01655
Tel: (774) 442-6499
Fax:
E-mail: linda.hollis@umassmed.edu",3802421018,"Univ of Massachusetts Med Sch, Dept of Family Medicine, 55 Lake Ave N, Worcester, MA 01655","55 Lake Ave N, Worcester, MA 01655","55 Lake Ave N, Worcester, MA 01655","250 Washington St, Boston, MA 02108-4619","55 Lake Ave N, Worcester, MA 01655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802311015,2,2,No,Yes,July,No,No,http://www.jhsph.edu/academics/residency-programs/,Not Available,"Clarence  Lam
MD, MPH
Johns Hopkins Bloomberg Sch of Public Health
Rm WB602
615 N Wolfe St
Baltimore, MD 21205
Tel: (410) 955-3630
Fax:
E-mail: ckl@jhu.edu","Dottie  Becraft
Johns Hopkins Bloomberg Sch of Public Health
Rm WB602
615 N Wolfe St
Baltimore, MD 21205
Tel: (410) 955-3630
Fax: (410) 614-1582
E-mail: dbecraft@jhu.edu",3802311015,"Johns Hopkins Bloomberg Sch of Public Health, Rm WB602, 615 N Wolfe St, Baltimore, MD 21205","615 N Wolfe St, Baltimore, MD 21205","2222 Jefferson St, Baltimore, MD 21205","100 International Dr, Baltimore, MD 21202","1201 Winterson Rd, Linthicum Heights, MD 21090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802311016,2,2,No,Yes,July,Yes,No,http://www.medschool.umaryland.edu/epidemiology/residency/,Not Available,"Wendy Gwirtzman Lane
MD, MPH
Univ of Maryland Pgm
Howard Hall 102HH
660 W Redwood St
Baltimore, MD 21201
Tel: (410) 706-7865
Fax: (410) 706-4433
E-mail: wlane@som.umaryland.edu","Lauren A Schmand
Univ of Maryland Pgm
Howard Hall 102HH
660 W Redwood St
Baltimore, MD 21201-1596
Tel: (410) 706-2406
Fax: (410) 706-4433
E-mail: lschmand@som.umaryland.edu",3802311016,"Univ of Maryland Pgm, Howard Hall 102HH, 660 W Redwood St, Baltimore, MD 21201","22 S Greene St, Baltimore, MD 21201-1595","10 N Greene St, Baltimore, MD 21201-1524","201 W Preston St, Baltimore, MD 21201",,"We offer a wide variety of public health rotations. Federal rotations include FDA, CMS, OSHA, and HRSA. Residents can rotate at our state health department, Maryland Department of Health, as well as local health departments. Residents also have flexibility to arrange other rotations that meet their public health interests. Residents have the opportunity to work with our hospital Population Health program and to serve as Housestaff Officer for Patient Safety and Quality.",University-based,Veterans Affairs Medical Center (Baltimore),,,2,2,,,,"Yes  , 1 year(s)",No,No,No,11/1/2020,11/2/2020 - 1/15/2021_11/1/2021 - 1/14/2022,9/1/2021,11/1/2021,Yes,18,No,Yes,3,No,Yes,200_200__,Yes,210-225,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,14,17,10,5,24,22,57.1,4.7 to 1,40,10,2,No,,69.4,30.5,0,63.8,36.1,N/A,0,N/A,Not Available,,,,,,,17,NGO,N/A,,,,"$58,699.00",15,15,"$61,403.00",15,15,,,,,,,Yes,15,NGO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Required,No,Yes,No,No,,NGO (wks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802377072,2,2,No,Yes,July,No,No,http://www.jhsph.edu/omr,Not Available,"Aisha  Rivera Margarin
MD, MS
Johns Hopkins Bloomberg Sch of Public Health
Rm WB602
615 N Wolfe St
Baltimore, MD 21205
Tel: (410) 955-3630
Fax:
E-mail: ariver28@jhu.edu","Dottie  Becraft
BS
Johns Hopkins Bloomberg Sch of Public Health
Rm WB602
615 N Wolfe St
Baltimore, MD 21205
Tel: (410) 955-3630
Fax: (410) 614-1582
E-mail: dbecraft@jhu.edu",3802377072,"Johns Hopkins Bloomberg Sch of Public Health, Rm WB602, 615 N Wolfe St, Baltimore, MD 21205","615 N Wolfe St, Baltimore, MD 21205","200 Constitution Ave NW, Washington, DC 20210","600 N Wolfe St, Baltimore, MD 21287-1629","22 S Greene St, Baltimore, MD 21201-1595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802321044,2,3,Yes,Yes,July,No,Yes,,Not Available,"Catherine T Witkop
MD, MPH
Uniformed Services Univ of Health Sciences
PMB Rm A1040A
4301 Jones Bridge Rd
Bethesda, MD 20814
Tel: (301) 295-3719
Fax: (301) 295-0335
E-mail: shelley.mccallum.ctr@usuhs.mil","Shelley  McCallum
Uniformed Services Univ of Health Sciences
PMB Rm A1040A
4301 Jones Bridge Rd
Bethesda, MD 20814-4799
Tel: (301) 295-3717
Fax:
E-mail: shelley.mccallum.ctr@usuhs.mil",3802321044,"Uniformed Services Univ of Health Sciences, PMB Rm A1040A, 4301 Jones Bridge Rd, Bethesda, MD 20814","4301 Jones Bridge Rd, Bethesda, MD 20814-4799","4301 Jones Bridge Rd, Bethesda, MD 20814-4799","2300 E St NW, Washington, DC 20372","110 Luke Ave, Bolling AFB, DC 20332",,,,"1701 14th St NW, Washington, DC 20009","1050 W Perimeter Rd, Andrews AFB, MD 20762-6600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8901 Rockville Pike, Bethesda, MD 20889-5600",,"401 Hungerford Dr, Rockville, MD 20850","250 Wood Rd, Annapolis, MD 21402","540 Gaither Rd, Rockville, MD 20850","2900 Linden Lane, Silver Spring, MD 20910","10777 Main St, Fairfax, VA 22030","1887 Powhatan St, Norfolk, VA 23511-3394","1500 Wilson Blvd, Arlington, VA 22209",,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802377073,2,2,Yes,Yes,"June,July",No,Yes,,Not Available,"Pamela L Krahl
MD, MPH
Uniformed Services Univ of Health Sciences
PMB Rm A-1040A
4301 Jones Bridge Rd
Bethesda, MD 20814-4712
Tel: (301) 295-3718
Fax: (301) 295-0335
E-mail: pamela.krahl@usuhs.edu","Douglas  Smith
Uniformed Services Univ of Health Sciences
PMB Rm A-1040A
4301 Jones Bridge Rd
Bethesda, MD 20814-4712
Tel: (301) 295-1668
Fax: (301) 295-0335
E-mail: douglas.smith.ctr@usuhs.edu",3802377073,"Uniformed Services Univ of Health Sciences, PMB Rm A-1040A, 4301 Jones Bridge Rd, Bethesda, MD 20814-4712","4301 Jones Bridge Rd, Bethesda, MD 20814-4799","4301 Jones Bridge Rd, Bethesda, MD 20814-4799","2510 W Dunlap Ave, Phoenix, AZ 85021","5750 Wilshire Blvd, Los Angeles, CA 90036",,,,"34800 Bob Wilson Dr, San Diego, CA 92134-5000","320 1st St NW, Washington, DC 20534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 Constitution Ave NW, Washington, DC 20210",,"2300 E St NW, Washington, DC 20372","321 Bullfinch Rd, Panama City Beach, FL 32407","480 Central Ave, Pearl Harbor, HI 96860","1050 W Perimeter Rd, Andrews AFB, MD 20762-6600","22 S Greene St, Baltimore, MD 21201-1595","8901 Rockville Pike, Bethesda, MD 20889-5600","250 Wood Rd, Annapolis, MD 21402","2480 Llewellyn Ave, Fort Meade, MD 20755","15005 Shady Grove Rd, Rockville, MD 20850","4301 Mow-Way Rd, Fort Sill, OK 73503","1 Bethel Valley Rd, Oak Ridge, TN 37830","7321 Balmer Ave, Hills AFB, UT 84056","57 Bureau Pkwy, Stafford, VA 22556","620 John Paul Jones Circle, Portsmouth, VA 23708-2197","3259 Catlin Ave, Quantico, VA 21134",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802288001,2,2,Yes,Yes,"July,Negotiable",No,No,http://www.mmc.org/preventive-medicine,Not Available,"Christina Thurston Holt
MD, MSc
Maine Med Ctr
Preventive Medicine Pgm
22 Bramhall St
Portland, ME 04102
Tel: (207) 662-2876
Fax: (207) 874-1918
E-mail: holtc@mmc.org","Thomasine  Chapin
BA
Maine Med Partners
Preventive Medicine Pgm
272 Congress St
Portland, ME 04101
Tel: (207) 662-7357
Fax:
E-mail: tchapin@mmc.org",3802288001,"Maine Med Ctr, Preventive Medicine Pgm, 22 Bramhall St, Portland, ME 04102","22 Bramhall St, Portland, ME 04102-3175","716 Stevens Ave, Portland, ME 04103","103 India St, Portland, ME 04101","144 Fore St, Portland, ME 04101","Skills address population health needs with policymakers, public health entities, clinical/patient advocacy groups. Provide leadership in specialty to provide care that reduces incidence and burden of acute and chronic disease, to enhance the effectiveness of healthcare and improves the health of citizens, especially vulnerable populations. Develop skills to advocate for preventive medicine in health care policy, integrative medicine and complementary methods for wellness and health maintenance.",Community-based university affiliated,Maine Medical Center,,,2,2,,,,"Yes  , 3 year(s)",No,No,No,,-_-,,,Yes,2,No,No,3,No,No,___,No,No Answer,No,No Answer,No Answer,Not known,Yes,No,No,0,0,4,0,4,0,,0.5 to 1,50,12,2,Yes,,66.6,22.2,11.1,77.7,22.2,N/A,0,N/A,Not Available,,,,,,,2,10%,30%,,,,,,,,,,"$67,465.00",21,Not Available,,,,Yes,NGO,NGO,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Optional,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802521125,2,2,No,Yes,"July,Negotiable",Yes,No,https://sph.umich.edu/pmr,Not Available,"Laura  Power
MD, MPH
Univ of Michigan Sch of Public Health
Preventive Medicine Pgm
1415 Washington Heights
Ann Arbor, MI 48109
Tel: (734) 647-1120
Fax:
E-mail: sphprevmed@umich.edu","Shawna  Matzinger
Univ of Michigan Sch of Public Health
Preventive Medicine Pgm
1415 Washington Heights
Ann Arbor, MI 48109-2029
Tel: (734) 647-1120
Fax: (734) 936-2084
E-mail: sphprevmed@umich.edu",3802521125,"Univ of Michigan Sch of Public Health, Preventive Medicine Pgm, 1415 Washington Heights, Ann Arbor, MI 48109","1415 Washington Heights, Ann Arbor, MI 48109","505 N Jackson St, Jackson, MI 49201","3423 N Martin Luther King Jr Blvd, Lansing, MI 48909","555 Towner St, Ypsilanti, MI 48198",,,,"6550 W Warren Ave, Detroit, MI 48210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802588126,2,3,No,Yes,July,Yes,No,https://familymedicine.med.wayne.edu/preventive,Not Available,"James  Blessman
MD, MPH
Wayne State Univ Sch of Med
Family Medicine and Public Health Science
3939 Woodward Ave
Detroit, MI 48201
Tel: (248) 601-4900
Fax: (248) 601-4994
E-mail: rmoschel@med.wayne.edu","Rose  Moschelli
Wayne State Univ Sch of Med
2 South
1101 W University Dr
Rochester, MI 48307
Tel:
Fax:
E-mail: rmoschel@med.wayne.edu",3802588126,"Wayne State Univ Sch of Med, Family Medicine and Public Health Science, 3939 Woodward Ave, Detroit, MI 48201","540 E Canfield, Detroit, MI 48201","7633 E Jefferson Ave, Detroit, MI 48214","5300 Lawton St, Detroit, MI 48208","3939 Woodward Ave, Detroit, MI 48201","Our mission is to prepare well-trained preventive medicine physicians to practice 'high-quality, compassionate, and comprehensive' patient care while 'improving' the health of residents of Detroit and the surrounding area - the community we are privileged to serve. We offer innovative training in clinical preventive medicine and public health sciences, with strengths in the areas of clinical care for urban populations, underserved populations, and corrections populations.",Community-based university affiliated,Health Centers Detroit,"1151 Taylor St, Detroit, MI 48202","5716 Michigan Ave, Detroit, MI 48210",2,2,,,,"Yes  , 1 year(s)",Yes,"Yes , Codes: 1361999P1",No,12/31/2020,11/2/2020 - 1/31/2021_11/1/2021 - 12/31/2021,9/15/2021,12/31/2021,Yes,30,No,No,3,No,Yes,200_200_500_500,Yes,210-225,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,No,No,3,0,4,4,7,4,33.3,1.2 to 1,50,24,1.5,No,Yes,,,,,,Other for 2 week(s),NGO,N/A,Not Available,,,,,,,4,NGO,N/A,,,,"$55,324.00",20,NGO,,,,,,,,,,No answer,90,NGO,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Not available,Yes,No,Yes,,"33030 Van Born Rd, Wayne, MI 48184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3802621020,2,2,No,Yes,July,Yes,No,http://www.mayo.edu/msgme/,Not Available,"M Hassan Murad
MD, MPH
Mayo Clinic Rochester
Preventive Medicine Pgm
200 First St SW
Rochester, MN 55905
Tel: (507) 284-9966
Fax: (507) 284-4251
E-mail: murad.mohammad@mayo.edu","Mary  Rahman
Mayo Clinic
Preventive Medicine
200 First St SW
Rochester, MN 55905
Tel: (507) 284-9966
Fax: (507) 284-4251
E-mail: rahman.mary@mayo.edu",3802621020,"Mayo Clinic Rochester, Preventive Medicine Pgm, 200 First St SW, Rochester, MN 55905","200 First St SW, Rochester, MN 55905","200 First St SW, Rochester, MN 55905","420 Delaware St SE, Minneapolis, MN 55455-0381","555 Cedar St, St Paul, MN 55101","The program prepares physicians for leadership roles in academic/clinical preventive medicine, health-care management, clinical epidemiology, and public health at federal/state/local level. Year one is in graduate school obtaining MPH.",University-based,Mayo Clinic (Rochester),"625 Robert St N, St Paul, MN 55164","810 4th Ave S, Moorhead, MN 56560",2,1,,,,"Yes  , 3 year(s)",No,No,No,1/29/2021,2/1/2021 - 3/31/2021_2/1/2022 - 3/24/2022,2/1/2021,1/28/2022,No,2,No,No,3,No,No,_209__,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",No,No,No,14,3,0,0,14,3,28.5,4.6 to 1,40,8,2,Yes,,44.4,55.5,0,77.7,22.2,N/A,0,N/A,Not Available,,,,,,,NGO,25%,N/A,,,,,,,,,,"$64,728.00",15,90,"$67,521.00",15,90,Yes,84,NGO,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Required,Yes,Yes,Yes,No,,NGO (wks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
