,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,Participant 4,,Yes,Night float system,No,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 11,Participant 12,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6
0,https://freida.ama-assn.org/program/2603821015,Community-based university affiliated,Summa Health System,5,5,Yes,Yes,July,Yes,No,https://www.summahealth.org/medicaleducation/,Not Available,"Jeffrey T Junko
MD
Summa Health System
PO Box 2090
444 N Main St
Akron, OH 44310
Tel: (330) 379-5681
Fax: (330) 379-5053
E-mail: junkoj@summahealth.org","Melissa  Wheeler
MA
Summa Health System
PO Box 2090
444 N Main St
Akron, OH 44310
Tel: (330) 379-5681
Fax: (330) 379-5053
E-mail: wheelerm@summahealth.org",2603821015,"Summa Health System, PO Box 2090, 444 N Main St, Akron, OH 44310","525 E Market St, Akron, OH 44309-2090","525 E Market St, Akron, OH 44309-2090","One Perkins Sq, Akron, OH 44308-1062","Program provides educational materials money; paid conference attendance for research presentations. Paid attendance to a national meeting each year. Paid subscription to OrthoBullets PASS system. We are a high volume community based program at a level 1 trauma center. All orthopaedic specialties, including orthopaedic oncology and pediatrics are available locally in Akron, OH. Our mission is to train highly skilled orthopaedic surgeons with a focus on leadership development.",4,4,4,4,No,No,"Yes , Codes: 1541260C0",No,,-_-,,,Yes,60,No,No,3,No,Yes,230___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,10,0,0,0,10,0,0,0.5 to 1,80,16,1,Yes,,100,0,0,3.4,96.5,Every third night for 12 month(s),NGO,Every fourth night for 12 month(s),NGO,Every fourth night for 12 month(s),NGO,Every fourth night for 12 month(s),NGO,5,5%,5%,"$55,161.00",15,30,"$56,939.00",15,30,"$58,139.00",15,30,"$60,009.00",15,30,No answer,NGO,NGO,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Required,No,Yes,Yes,"20 Olive St, Akron, OH 44310",,,(4 wks ),,Yes,,,,,,,,4,Other for 12 month(s),NGO,"$62,109.00",15,30,,,,,
0,https://freida.ama-assn.org/program/2603821058,Community-based university affiliated,Cleveland Clinic Akron General,5,5,No,Yes,July,Yes,No,http://www.akrongeneral.org/orthopaedicsurgeryresidency,Not Available,"Gregory  Vrabec
MD
Akron General Med Ctr
POB 224/430 Orthopaedic Surgery
1 Akron General Ave
Akron, OH 44307
Tel: (330) 344-6269
Fax: (330) 344-2973
E-mail: milkovd2@ccf.org","Denise  Milkovich
Akron General Med Ctr
POB 224/430 Orthopaedic Surgery
1 Akron General Ave
Akron, OH 44307
Tel: (330) 344-6269
Fax: (330) 344-2973
E-mail: milkovd2@ccf.org",2603821058,"Akron General Med Ctr, POB 224/430 Orthopaedic Surgery, 1 Akron General Ave, Akron, OH 44307","400 Wabash Ave, Akron, OH 44307","One Perkins Sq, Akron, OH 44308-1062",,,3,3,3,3,No,No,"Yes , Codes: 1542260C0",No,10/21/2020,11/11/2020 - 1/27/2021_11/10/2021 - 1/26/2022,9/1/2021,10/13/2021,Yes,53,No,No,3,No,Yes,230_235__,Yes,Greater than 245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,No,No,No,2,0,13,0,15,0,0,0.5 to 1,60,12,1,No,,95.5,4.4,0,8.8,91.1,Two times per week for 1 month(s),0,Two times per week for 1 month(s),0,Two times per week for 1 month(s),0,Two times per week for 1 month(s),0,5,10%,10%,"$58,642.00",15,NGO,"$60,618.00",15,NGO,"$62,577.00",15,NGO,"$65,025.00",15,NGO,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Required,Yes,Yes,No,,,,(4 wks ),,No,,,,,,,,3,Two times per week for 1 month(s),8,"$67,191.00",15,NGO,,,,,
0,https://freida.ama-assn.org/program/2603821017,University-based,University of Cincinnati Medical Center Inc,5,5,No,Yes,July,Yes,No,http://med.uc.edu/ortho,Not Available,"Ferhan A Asghar
MD
Univ of Cincinnati Med Ctr
PO Box 670212
231 Albert Sabin Way
Cincinnati, OH 45267
Tel:
Fax:
E-mail: asgharfa@ucmail.uc.edu","Kim  Reising
Univ of Cincinnati Med Ctr
PO Box 670212
231 Albert Sabin Way
Cincinnati, OH 45267-0212
Tel: (513) 558-4592
Fax: (513) 558-2220
E-mail: kim.weingartner@uc.edu",2603821017,"Univ of Cincinnati Med Ctr, PO Box 670212, 231 Albert Sabin Way, Cincinnati, OH 45267","234 Goodman St, Cincinnati, OH 45219","3333 Burnet Ave, Cincinnati, OH 45229-3039","3200 Vine St, Cincinnati, OH 45220-2213",,5,5,5,5,No,No,"Yes , Codes: 1548260C0",No,10/21/2020,11/15/2020 - 1/15/2021_11/15/2021 - 1/15/2022,9/15/2021,10/15/2021,No,100,No,No,3,No,Yes,240___,No,Greater than 245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,Yes,No,40,1,0,0,40,1,7.5,1.6 to 1,65,24,2,No,,100,0,0,16,84,Other for 3 month(s),0,Two times per week for 10 week(s),0,Two times per week for 10 week(s),10,N/A,48,7,40%,5%,"$58,150.00",20,5,"$59,595.00",20,5,"$61,020.00",20,5,"$63,302.00",20,5,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Required,Yes,Yes,Yes,"375 Dixmyth Ave, Cincinnati, OH 45220-2489",,,(10 wks ),,No,,,,,,,,5,N/A,48,"$65,769.00",20,5,,,,,
0,https://freida.ama-assn.org/program/2603800184,,,5,5,No,Yes,July,Yes,No,https://www.uhhospitals.org/locations/uh-richmond-medical-center/education/,Not Available,"Jeffrey B Shroyer
MD
Univ Hosps Cleveland Med Ctr
Orthopaedic Surgery Pgm
11100 Euclid Ave
Cleveland, OH 44106
Tel: (440) 827-5579
Fax:
E-mail: jeffrey.shroyer@uhhospitals.org","Robyn  Luce
Univ Hosps Cleveland Med Ctr
Orthopaedic Surgery Pgm
11100 Euclid Ave
Cleveland, OH 44106
Tel: (440) 827-5579
Fax:
E-mail: robyn.luce@uhhospitals.org",2603800184,"Univ Hosps Cleveland Med Ctr, Orthopaedic Surgery Pgm, 11100 Euclid Ave, Cleveland, OH 44106","11100 Euclid Ave, Cleveland, OH 44106-2602","27100 Chardon Rd, Richmond Heights, OH 44143","3333 Burnet Ave, Cincinnati, OH 45229-3039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11100 Euclid Ave, Cleveland, OH 44106-2602","13207 Ravenna Rd, Chardon, OH 44024","870 W Main St, Geneva, OH 44041",,,,,"44 Blaine Ave, Bedford, OH 44146",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2603821027,University-based,Case Western Reserve University/University Hospitals Cleveland Medical Center,5,5,No,Yes,July,Yes,No,https://www.uhhospitals.org/medical-education,Not Available,"Robert E Gillespie
MD
Univ Hosps Cleveland Med Ctr
Dept of Ortho Surgery
11100 Euclid Ave
Cleveland, OH 44106
Tel: (216) 844-0209
Fax: (216) 201-4239
E-mail: robert.gillespie@uhhospitals.org","Kerwin  Samson
Univ Hosps Cleveland Med Ctr
Dept of Orthopaedic Surgery
11100 Euclid Ave
Cleveland, OH 44106
Tel: (216) 844-3233
Fax: (216) 844-8181
E-mail: kerwin.samson@uhhospitals.org",2603821027,"Univ Hosps Cleveland Med Ctr, Dept of Ortho Surgery, 11100 Euclid Ave, Cleveland, OH 44106","11100 Euclid Ave, Cleveland, OH 44106-2602","2500 MetroHealth Dr, Cleveland, OH 44109-1998","10701 East Blvd, Cleveland, OH 44106",,6,6,6,6,No,No,"Yes , Codes: 1552260C0",No,10/15/2020,12/1/2020 - 1/31/2021_12/1/2021 - 1/31/2022,7/1/2021,10/15/2021,No,115,No,No,3,No,Yes,215___,No,236-245,"No, require USMLE scores for all applicants",No Answer,No Answer,Not known,Yes,No,No,40,0,0,0,40,0,17.5,1.3 to 1,80,16,1,No,,100,0,0,16.8,83.1,N/A,NGO,Every fourth night for 4 month(s),NGO,Every fourth night for 2 month(s),NGO,N/A,NGO,5,10%,10%,"$58,905.00",20,Not Available,"$60,890.00",20,Not Available,"$62,895.00",20,Not Available,"$65,450.00",20,Not Available,No answer,84,84,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,,,,Yes,,,,,,,,6,N/A,NGO,"$66,905.00",20,Not Available,,,,,
0,https://freida.ama-assn.org/program/2603822042,Community-based university affiliated,Cleveland Clinic Foundation,5,5,No,Yes,July,Yes,No,http://Clevelandclinic.org/ORIResidencies,Not Available,"Thomas E Kuivila
MD
Cleveland Clinic
A41
9500 Euclid Ave
Cleveland, OH 44195
Tel: (216) 444-2741
Fax: (216) 444-1162
E-mail: orlinsc@ccf.org","Thomas E Kuivila
MD
Cleveland Clinic
A41
9500 Euclid Ave
Cleveland, OH 44195
Tel: (216) 444-2741
Fax: (216) 444-1162
E-mail: orlinsc@ccf.org",2603822042,"Cleveland Clinic, A41, 9500 Euclid Ave, Cleveland, OH 44195","9500 Euclid Ave, Cleveland, OH 44195-5242","2500 MetroHealth Dr, Cleveland, OH 44109-1998","One Perkins Sq, Akron, OH 44308-1062","All residents are provided subscriptions to both the OrthoBullets and AAOS ResStudy online curriculums. Each resident also has an annual education allowance for use at their discretion. In addition, Graduate Medical Education and the Department of Orthopaedic Surgery support meeting attendance for the presentation of posters and abstracts.",6,6,6,6,No,No,"Yes , Codes: 1968260C1",No,11/1/2020,12/1/2020 - 1/31/2021_12/1/2021 - 1/31/2022,9/15/2021,11/1/2021,Yes,70,No,No,2,No,Yes,235___,No,Greater than 245,"No, require USMLE scores for all applicants",No Answer,No Answer,Not known,Yes,Yes,Yes,58,55,1,0,59,55,6.8,1.9 to 1,80,10,1,Yes,,84.7,14.1,1,19.5,80.4,Every fourth night for 52 week(s),0,Other for 2 month(s),0,Every eleventh night or more for 52 week(s),0,Every eleventh night or more for 52 week(s),0,4,15%,N/A,"$58,642.00",15,NGO,"$60,618.00",15,NGO,"$62,577.00",15,NGO,"$65,025.00",15,NGO,Yes,NGO,NGO,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"1730 W 25th St, Cleveland, OH 44113","18901 Lake Shore Blvd, Euclid, OH 44119",,,,Yes,,,,,,,,6,N/A,9,"$67,191.00",15,NGO,,,,,
0,https://freida.ama-assn.org/program/2603800177,Community-based,Doctors Hospital/OhioHealth,5,5,No,Yes,July,Yes,No,http://www.ohiohealth.com/medicaleducationdoctors/,Not Available,"Thomas E Baker
DO
Doctors Hosp/OhioHealth
Orthopaedic Surgery Pgm
5100 W Broad St
Columbus, OH 43228
Tel: (614) 544-2089
Fax:
E-mail: dh-orthoresidency@ohiohealth.com","Tashianna  Sullivan
MBA
Doctors Hosp/OhioHealth
Orthopaedic Surgery Pgm
5100 W Broad St
Columbus, OH 43228
Tel: (614) 544-1921
Fax:
E-mail: tashianna.sullivan@ohiohealth.com",2603800177,"Doctors Hosp/OhioHealth, Orthopaedic Surgery Pgm, 5100 W Broad St, Columbus, OH 43228","155 E Broad St, Columbus, OH 43215","5100 Broad St, Columbus, OH 43228-1607","410 W Tenth Ave, Columbus, OH 43210-1228",,5,5,5,5,No,No,"Yes , Codes: 2122260C0",No,10/30/2020,12/1/2020 - 1/15/2021_12/1/2021 - 1/15/2022,9/1/2021,10/1/2021,Yes,20,No,No,3,Yes,No,__550_550,No,No Answer,Yes,Yes,541-600,Required,No,No,No,0,0,2,0,2,0,,0.0 to 1,70,24,1,Yes,,,,,,,N/A,0,Two times per week for 6 month(s),6,Two times per week for 10 month(s),12,Once per week for 12 month(s),24,5,20%,20%,"$56,056.00",20,Not Available,"$57,886.00",20,Not Available,"$59,696.00",20,Not Available,"$61,672.00",20,Not Available,Yes,20,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Required,Yes,Yes,No,"285 E State St, Columbus, OH 43215-1898","3535 Olentangy River Rd, Columbus, OH 43214","700 Children's Dr, Columbus, OH 43205-2596",(4 wks ),,No,,"300 Polaris Pkwy, Westerville, OH 43082",,,,,,5,Once per week for 12 month(s),24,"$64,168.00",20,Not Available,,,,,
0,https://freida.ama-assn.org/program/2603821099,University-based,Ohio State University Hospital,5,5,No,Yes,July,Yes,No,http://www.ortho.ohio-state.edu/,Not Available,"Thomas  Scharschmidt
MD
Ohio State Univ Wexner Med Ctr
735 Prior Hall
376 W 10th Ave
Columbus, OH 43210
Tel: (614) 293-6194
Fax: (614) 293-3596
E-mail: thomas.scharschmidt@osumc.edu","Julia A Panzo
Ohio State Univ Wexner Med Ctr
725 Prior Hall
376 W 10th Ave
Columbus, OH 43210
Tel: (614) 293-6194
Fax: (614) 293-3596
E-mail: julia.panzo@osumc.edu",2603821099,"Ohio State Univ Wexner Med Ctr, 735 Prior Hall, 376 W 10th Ave, Columbus, OH 43210","410 W Tenth Ave, Columbus, OH 43210-1228","285 E State St, Columbus, OH 43215-1898","3535 Olentangy River Rd, Columbus, OH 43214",,6,6,6,6,No,No,"Yes , Codes: 1566260C0",No,10/15/2020,10/30/2020 - 1/31/2021_11/1/2021 - 1/31/2022,9/1/2021,10/15/2021,Yes,75,No,No,3,No,Yes,240___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,35,5,0,0,35,5,22.8,1.1 to 1,60,24,1,Yes,,100,0,0,17.6,82.3,Every third night for 12 month(s),NGO,Every third night for 12 month(s),NGO,Every third night for 12 month(s),NGO,Every third night for 12 month(s),NGO,4,40%,10%,"$53,586.00",15,15,"$55,200.00",15,15,"$56,965.00",15,15,"$58,918.00",15,15,No answer,NGO,NGO,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"700 Children's Dr, Columbus, OH 43205-2596",,,,,Yes,,,,,,,,6,Every third night for 12 month(s),NGO,"$60,817.00",15,15,,,,,
0,https://freida.ama-assn.org/program/2603800180,,,5,5,Yes,Yes,July,Yes,No,http://westernreservehospital.org,Not Available,"Gregory  Hill
DO
Western Reserve Hosp
Orthopaedic Surgery Pgm
1900 23rd St
Cuyahoga Falls, OH 44223
Tel: (330) 971-7225
Fax:
E-mail: ghill@westernreservehospital.org","Stephanie  Thompson
Western Reserve Hosp
Orthopaedic Surgery Pgm
1900 23rd St
Cuyahoga Falls, OH 44223
Tel:
Fax:
E-mail: sthompson1@westernreservehospital.org",2603800180,"Western Reserve Hosp, Orthopaedic Surgery Pgm, 1900 23rd St, Cuyahoga Falls, OH 44223","1900 23rd St, Cuyahoga Falls, OH 44223","2500 MetroHealth Dr, Cleveland, OH 44109-1998","3333 Burnet Ave, Cincinnati, OH 45229-3039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Perkins Sq, Akron, OH 44308-1062",,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2603800178,,,5,5,No,Yes,July,Yes,No,http://www.ketteringhealth.org,Not Available,"H Brent Bamberger
DO
Kettering Health Network
Orthopaedic Surgery Pgm
405 W Grand Ave
Dayton, OH 45405
Tel: (937) 723-4188
Fax: (937) 723-5017
E-mail: rebecca.deborde@ketteringhealth.org","Toni M Ennis
Grandview Med Ctr
Orthopaedic Surgery Pgm
405 W Grand Ave
Dayton, OH 45405
Tel: (937) 723-4188
Fax: (937) 522-7168
E-mail: toni.ennis@ketteringhealth.org",2603800178,"Kettering Health Network, Orthopaedic Surgery Pgm, 405 W Grand Ave, Dayton, OH 45405","3535 Southern Blvd, Kettering, OH 45429-1221","405 W Grand Ave, Dayton, OH 45405","2001 W 86th St, Indianapolis, IN 46240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285 E State St, Columbus, OH 43215-1898","3535 Southern Blvd, Kettering, OH 45429-2989","One Children's Plaza, Dayton, OH 45404-1815",,,,,"7500 State Rd, Anderson Township, OH 45255","7677 Yankee St, Dayton, OH 45459","7333 Smith's Mill Rd, New Albany, OH 43054",,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2603821105,Community-based university affiliated,Miami Valley Hospital,5,5,No,Yes,July,Yes,No,https://medicine.wright.edu/orthopaedic-and-plastic-surgery/,Not Available,"Anil B Krishnamurthy
MD
Miami Valley Hosp
Dept of Orthopaedic Surgery Ste 2200
30 E Apple St
Dayton, OH 45409
Tel: (937) 208-2127
Fax: (937) 208-2091
E-mail: lynne.buckingham@wright.edu","Lynne  Buckingham
Miami Valley Hosp
Dept of Orthopaedic Surgery Ste 2200
30 E Apple St
Dayton, OH 45409
Tel:
Fax:
E-mail: lynne.buckingham@wright.edu",2603821105,"Miami Valley Hosp, Dept of Orthopaedic Surgery Ste 2200, 30 E Apple St, Dayton, OH 45409","3640 Colonel Glenn Hwy, Dayton, OH 45435","1 Wyoming St, Dayton, OH 45409","4100 W 3rd St, Dayton, OH 45428","Locations include the region's only Level 1 trauma center, Dayton Children's, and the Dayton VA Medical Center. Our graduates are ready for private practice or a fellowship. Housing is very affordable and most residents own homes. Resident camaraderie is a key focus and residents gather frequently for out of work activities. The last Friday each month, everyone is excused from clinical duties and encouraged to gather for team building.",4,4,4,4,No,No,"Yes , Codes: 2011260C0,2011260C1",No,,1/8/2021 - 1/9/2021_-,,,Yes,45,No,No,3,No,Yes,240_240__,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,No,No,No,9,0,7,0,16,0,11.1,0.6 to 1,60,24,2,Yes,Yes,100,0,0,6,93.9,Three times per week for 2 month(s),NGO,Two times per week for 2 month(s),NGO,Once per week for 12 month(s),NGO,Two times per week for 12 month(s),NGO,6,25%,5%,"$57,221.00",15,NGO,"$58,802.00",15,NGO,"$60,278.00",15,NGO,"$61,714.00",15,NGO,No answer,30,Not Available,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Required,Yes,Yes,No,"One Children's Plaza, Dayton, OH 45404-1815","1 Medical Center Dr, Middletown, OH 45005",,(8 wks ),,,,,,,,,,4,Two times per week for 12 month(s),NGO,"$64,147.00",15,NGO,,,,,
0,https://freida.ama-assn.org/program/2603832025,Community-based,Mount Carmel Health System,5,5,No,Yes,July,Yes,No,http://www.gme.mchs.com,Not Available,"Richard  Fankhauser
MD
Mount Carmel Health System
Bldg 2 Ste 5900
5300 N Meadows Dr
Grove City, OH 43123
Tel: (614) 663-4626
Fax: (614) 663-4621
E-mail: rfankhauser@mchs.com","Lori A Cropper
Mount Carmel Health System
Bldg 2 Ste 5900
5300 N Meadows Dr
Grove City, OH 43123
Tel: (614) 663-4626
Fax: (614) 663-4621
E-mail: lcropper@mchs.com",2603832025,"Mount Carmel Health System, Bldg 2 Ste 5900, 5300 N Meadows Dr, Grove City, OH 43123","793 W State St, Columbus, OH 43222-1560","285 E State St, Columbus, OH 43215-1898","700 Children's Dr, Columbus, OH 43205-2596",,2,2,2,2,No,No,"Yes , Codes: 1565260C0",No,11/15/2020,1/6/2021 - 1/20/2021_1/5/2022 - 1/19/2022,9/15/2021,10/31/2021,Yes,45,No,No,3,No,Yes,220___,No,Greater than 245,"No, require USMLE scores for all applicants",No Answer,No Answer,Required,No,No,No,0,0,4,0,4,0,,0.2 to 1,80,24,1,Yes,,100,0,0,6.6,93.3,N/A,0,Every fourth night for 52 week(s),0,Every fourth night for 52 week(s),0,Every fourth night for 52 week(s),0,8,85%,N/A,"$60,805.00",23,23,"$62,425.00",28,28,"$66,113.00",28,28,"$67,414.00",28,28,No answer,NGO,NGO,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Optional,No,No,Yes,,,,,,No,,,,,,,,2,Other for 52 week(s),26,"$70,569.00",28,28,,,,,
