,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Murder,Rape,Robbery,Burglary,Theft,Motor Vehicle Theft,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Two or more races,African American,American Indian or Alaska native,Asian,Hawaiian or other Pacific Islander,Other race,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+,Assault vs. National,Murder vs. National,Rape vs. National,Robbery vs. National,Burglary vs. National,Theft vs. National,Motor Vehicle Theft vs. National
0,https://www.niche.com/places-to-live/c/scott-county-ks/,B+,B+,C,B,B,A,B minus,B+,C minus,C minus,A minus,"Scott County is located in Kansas with a population of 4,917. In Scott County, most residents own their homes. Many young professionals and retirees live in Scott County and residents tend to be conservative.",,,,,,,,0.3,0.7,,,,,,,,0.15,0.12,0.08,0.1,0.12,0.12,0.13,0.18,0.06,-0.5,0.19,-0.050000000000000044,0.32,0.10344827586206917,0.27,0.0,0.16,0.3333333333333335,,,,,,,,0.008,0.061,0.046,0.81,0.16,0.01,0.0,0.0,0.01,0.0,0.0,0.52,0.48,0.17,0.16,0.23,0.37,0.06,0.22,0.3,0.28,0.19,,,,,,,
0,https://www.niche.com/places-to-live/c/gregory-county-sd/,B+,A,B minus,B minus,B minus,A minus,C,A,C,C minus,A minus,"Gregory County is located in South Dakota with a population of 4,186. In Gregory County, most residents own their homes. Many retirees live in Gregory County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,0.13,0.11,0.06,0.09,0.11,0.1,0.16,0.24,0.06,-0.5,0.14,-0.29999999999999993,0.34,0.1724137931034484,0.36,0.33333333333333326,0.11,-0.08333333333333326,,,,,,,,0.006,0.141,0.001,0.88,0.01,0.03,0.0,0.07,0.02,0.0,0.0,0.51,0.49,0.29,0.22,0.22,0.22,0.05,0.32,0.31,0.26,0.11,,,,,,,
0,https://www.niche.com/places-to-live/c/armstrong-county-tx/,B,A minus,D minus,B,C+,A+,A,A minus,B minus,C,C,"Armstrong County is located in Texas with a population of 1,973. In Armstrong County, most residents own their homes. Many retirees live in Armstrong County and residents tend to be conservative.",,,,,,,,0.12,0.88,,,,,,,,0.11,0.12,0.06,0.09,0.12,0.13,0.16,0.22,0.07,-0.41666666666666663,0.16,-0.20000000000000007,0.42,0.4482758620689655,0.22,-0.18518518518518523,0.13,0.08333333333333348,,,,,,,,0.006,0.09300000000000001,0.006,0.89,0.08,0.02,0.0,0.01,0.0,0.0,0.0,0.5,0.5,0.14,0.17,0.23,0.33,0.14,0.28,0.25,0.27,0.2,,,,,,,
0,https://www.niche.com/places-to-live/c/webster-county-ne/,C+,B+,B,B minus,C+,A,unavailable,A,C minus,C+,B,"Webster County is located in Nebraska with a population of 3,537. In Webster County, most residents own their homes. Many retirees live in Webster County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,0.12,0.11,0.08,0.1,0.1,0.12,0.16,0.22,0.08,-0.33333333333333326,0.15,-0.2500000000000001,0.35,0.2068965517241379,0.35,0.29629629629629606,0.06,-0.5,,,,,,,,0.013999999999999999,0.10400000000000001,0.001,0.92,0.05,0.02,0.0,0.01,0.0,0.0,0.0,0.51,0.49,0.25,0.25,0.19,0.24,0.07,0.27,0.32,0.28,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/foster-county-nd/,C+,A,B,B minus,C,A minus,C minus,A minus,C+,C minus,A,"Foster County is located in North Dakota with a population of 3,260. In Foster County, most residents own their homes. Many retirees live in Foster County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,0.1,0.11,0.07,0.1,0.12,0.11,0.16,0.23,0.06,-0.5,0.21,0.04999999999999982,0.38,0.3103448275862071,0.26,-0.03703703703703709,0.1,-0.16666666666666663,,,,,,,,0.004,0.073,0.008,0.95,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.49,0.51,0.15,0.19,0.27,0.28,0.11,0.2,0.3,0.32,0.18,,,,,,,
0,https://www.niche.com/places-to-live/c/douglas-county-sd/,A minus,A,B minus,B minus,C,A,C,A,B minus,C minus,A,"Douglas County is located in South Dakota with a population of 2,929. In Douglas County, most residents own their homes. Many retirees live in Douglas County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,0.14,0.11,0.06,0.09,0.08,0.11,0.17,0.23,0.05,-0.5833333333333333,0.1,-0.5,0.38,0.3103448275862071,0.35,0.29629629629629606,0.12,0.0,,,,,,,,0.005,0.064,0.016,0.94,0.01,0.03,0.0,0.02,0.0,0.0,0.0,0.49,0.51,0.18,0.2,0.25,0.31,0.07,0.3,0.3,0.28,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/hidalgo-county-nm/,B+,B+,C,B minus,A minus,A,A minus,B,B minus,C+,B+,"Hidalgo County is located in New Mexico with a population of 4,297. In Hidalgo County, most residents own their homes. Many retirees live in Hidalgo County and residents tend to have moderate political views.",,,,,,,,0.29,0.71,,,,,,,,0.13,0.09,0.09,0.1,0.1,0.12,0.15,0.21,0.05,-0.5833333333333333,0.1,-0.5,0.33,0.13793103448275867,0.35,0.29629629629629606,0.18,0.5,,,,,,,,0.037000000000000005,0.256,0.040999999999999995,0.39,0.58,0.0,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.35,0.18,0.25,0.21,0.02,0.37,0.34,0.19,0.09,,,,,,,
0,https://www.niche.com/places-to-live/c/haines-borough-ak/,A+,C+,B minus,B+,B,B minus,unavailable,C minus,B minus,B minus,A,"Haines Borough is a County in Alaska with a population of 2,518. In Haines Borough, most residents own their homes. Many young professionals live in Haines Borough.",,,,,,,,0.34,0.66,,,,,,,,0.15,0.1,0.01,0.1,0.14,0.11,0.13,0.25,0.17,0.41666666666666674,0.16,-0.20000000000000007,0.34,0.1724137931034484,0.3,0.11111111111111094,0.02,-0.8333333333333333,,,,,,,,0.031,0.113,0.018000000000000002,0.78,0.04,0.08,0.0,0.09,0.01,0.0,0.0,0.52,0.48,0.21,0.16,0.2,0.37,0.05,0.3,0.21,0.3,0.2,,,,,,,
0,https://www.niche.com/places-to-live/c/hardeman-county-tx/,B minus,A minus,C,B,B+,B minus,B,A,C,C minus,B,"Hardeman County is located in Texas with a population of 3,945. In Hardeman County, most residents own their homes. Many retirees live in Hardeman County and residents tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,0.1,0.1,0.09,0.12,0.1,0.13,0.14,0.21,0.04,-0.6666666666666666,0.1,-0.5,0.33,0.13793103448275867,0.33,0.2222222222222221,0.21,0.75,,,,,,,,0.044000000000000004,0.132,0.067,0.72,0.19,0.02,0.06,0.01,0.0,0.0,0.0,0.49,0.51,0.33,0.19,0.23,0.22,0.03,0.36,0.31,0.22,0.11,,,,,,,
0,https://www.niche.com/places-to-live/c/faulk-county-sd/,B+,A,B,B minus,C,A minus,C,A,C minus,D minus,A minus,"Faulk County is located in South Dakota with a population of 2,312. In Faulk County, most residents own their homes. Many retirees live in Faulk County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,0.14,0.08,0.06,0.1,0.09,0.12,0.14,0.27,0.13,0.08333333333333348,0.13,-0.35,0.32,0.10344827586206917,0.35,0.29629629629629606,0.07,-0.41666666666666663,,,1,0,0,0,0,0.001,0.149,0.0,0.96,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.51,0.49,0.18,0.26,0.22,0.3,0.05,0.3,0.3,0.27,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/golden-valley-county-nd/,C+,A minus,B minus,B minus,C+,B+,B minus,A,C,C,B+,"Golden Valley County is located in North Dakota with a population of 1,845. In Golden Valley County, most residents own their homes. Many retirees live in Golden Valley County and residents tend to be conservative.",,,,,,,,0.3,0.7,,,,,,,,0.11,0.11,0.08,0.1,0.1,0.13,0.17,0.21,0.04,-0.6666666666666666,0.23,0.1499999999999999,0.41,0.4137931034482758,0.25,-0.07407407407407418,0.07,-0.41666666666666663,,,,,,,,0.02,0.076,0.0,0.9,0.03,0.05,0.0,0.02,0.0,0.0,0.0,0.49,0.51,0.2,0.2,0.28,0.25,0.07,0.23,0.31,0.27,0.19,,,,,,,
0,https://www.niche.com/places-to-live/c/cochran-county-tx/,B,A,C minus,B,A minus,C,A minus,A,B minus,C minus,C,"Cochran County is located in Texas with a population of 2,887. In Cochran County, most residents own their homes. Many families live in Cochran County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,0.16,0.11,0.08,0.15,0.13,0.09,0.13,0.16,0.02,-0.8333333333333333,0.06,-0.7,0.29,0.0,0.31,0.14814814814814814,0.32,1.666666666666667,,,,,,,,0.049,0.257,0.105,0.36,0.59,0.01,0.04,0.0,0.0,0.0,0.0,0.52,0.48,0.33,0.21,0.16,0.22,0.08,0.38,0.28,0.21,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/meade-county-ks/,B minus,A minus,C,B,B+,B minus,B+,A,C,D+,B+,"Meade County is located in Kansas with a population of 4,180. In Meade County, most residents own their homes. Many young professionals and retirees live in Meade County and residents tend to be conservative.",,,,,,,,0.31,0.69,,,,,,,,0.13,0.12,0.09,0.12,0.1,0.13,0.13,0.17,0.07,-0.41666666666666663,0.13,-0.35,0.34,0.1724137931034484,0.26,-0.03703703703703709,0.19,0.5833333333333335,,,,,,,,0.009000000000000001,0.066,0.063,0.75,0.2,0.02,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.18,0.18,0.24,0.33,0.06,0.25,0.31,0.27,0.17,,,,,,,
0,https://www.niche.com/places-to-live/c/burke-county-nd/,B minus,A,B,B,C,B,C+,A,C,C,B,"Burke County is located in North Dakota with a population of 2,182. In Burke County, most residents own their homes. Many families live in Burke County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,0.17,0.11,0.04,0.16,0.1,0.11,0.15,0.17,0.04,-0.6666666666666666,0.19,-0.050000000000000044,0.42,0.4482758620689655,0.28,0.03703703703703698,0.07,-0.41666666666666663,,,,,,,,0.016,0.059000000000000004,0.012,0.96,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.54,0.46,0.15,0.13,0.2,0.36,0.16,0.21,0.19,0.32,0.28,,,,,,,
0,https://www.niche.com/places-to-live/c/bowman-county-nd/,B minus,A minus,B,B minus,C+,B+,C,A,C+,C minus,A,"Bowman County is located in North Dakota with a population of 3,148. In Bowman County, most residents own their homes. Many young professionals and retirees live in Bowman County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,0.16,0.09,0.08,0.11,0.11,0.09,0.16,0.21,0.05,-0.5833333333333333,0.19,-0.050000000000000044,0.3,0.034482758620689724,0.35,0.29629629629629606,0.11,-0.08333333333333326,,,,,,,,0.023,0.079,0.006,0.93,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.5,0.5,0.19,0.15,0.25,0.31,0.1,0.23,0.29,0.29,0.2,,,,,,,
0,https://www.niche.com/places-to-live/c/bennett-county-sd/,C,C+,B minus,B minus,A minus,C+,unavailable,A,C minus,C,B+,"Bennett County is located in South Dakota with a population of 3,425. In Bennett County, most residents own their homes. Residents of Bennett County tend to lean conservative.",,,,,,,,0.4,0.6,,,,,,,,0.21,0.15,0.09,0.14,0.11,0.09,0.1,0.12,0.02,-0.8333333333333333,0.13,-0.35,0.32,0.10344827586206917,0.33,0.2222222222222221,0.2,0.6666666666666667,,,1,0,3,2,0,0.076,0.35700000000000004,0.006,0.33,0.03,0.04,0.0,0.6,0.0,0.0,0.0,0.49,0.51,0.24,0.23,0.28,0.18,0.07,0.33,0.35,0.23,0.09,,,,,,,
0,https://www.niche.com/places-to-live/c/eureka-county-nv/,A,A+,C minus,C+,C+,A minus,B,B,C+,C minus,B+,"Eureka County is located in Nevada with a population of 1,859. In Eureka County, most residents own their homes. Many families live in Eureka County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,0.11,0.12,0.05,0.07,0.12,0.17,0.18,0.18,0.02,-0.8333333333333333,0.07,-0.6499999999999999,0.38,0.3103448275862071,0.47,0.7407407407407405,0.05,-0.5833333333333333,,,,,,,,0.0,0.08,0.008,0.9,0.04,0.0,0.0,0.05,0.01,0.0,0.0,0.51,0.49,0.2,0.11,0.21,0.35,0.13,0.28,0.24,0.2,0.28,,,,,,,
0,https://www.niche.com/places-to-live/c/furnas-county-ne/,B minus,B+,B,C,C,B minus,unavailable,A,C,D+,A minus,"Furnas County is located in Nebraska with a population of 4,747. In Furnas County, most residents own their homes. Many retirees live in Furnas County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,0.12,0.1,0.07,0.09,0.1,0.12,0.16,0.24,0.04,-0.6666666666666666,0.14,-0.29999999999999993,0.38,0.3103448275862071,0.33,0.2222222222222221,0.11,-0.08333333333333326,,,,,,,,0.011000000000000001,0.107,0.013000000000000001,0.93,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.49,0.51,0.24,0.22,0.24,0.25,0.05,0.27,0.32,0.29,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/echols-county-ga/,C+,B minus,C minus,C+,A minus,A minus,B+,A,C+,C+,B minus,"Echols County is located in Georgia with a population of 3,981. In Echols County, most residents own their homes. Many families live in Echols County and residents tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,0.12,0.1,0.08,0.13,0.15,0.16,0.11,0.16,0.04,-0.6666666666666666,0.06,-0.7,0.23,-0.2068965517241378,0.42,0.5555555555555554,0.26,1.166666666666667,,,1,0,0,0,0,0.018000000000000002,0.237,0.033,0.66,0.27,0.02,0.02,0.02,0.0,0.0,0.0,0.47,0.53,0.36,0.2,0.24,0.18,0.02,0.3,0.36,0.24,0.11,,,,,,,
0,https://www.niche.com/places-to-live/c/hitchcock-county-ne/,B,A,C,C,C minus,B+,unavailable,A,C minus,D minus,B minus,"Hitchcock County is located in Nebraska with a population of 2,815. In Hitchcock County, most residents own their homes. Many retirees live in Hitchcock County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,0.12,0.11,0.06,0.09,0.11,0.11,0.15,0.25,0.06,-0.5,0.11,-0.45000000000000007,0.41,0.4137931034482758,0.34,0.2592592592592593,0.08,-0.33333333333333326,,,,,,,,0.018000000000000002,0.114,0.001,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.23,0.21,0.28,0.22,0.06,0.3,0.29,0.28,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/hinsdale-county-co/,B minus,C,C,C+,C,C+,C minus,C minus,B minus,B minus,A+,"Hinsdale County is located in Colorado with a population of 857. In Hinsdale County, most residents own their homes. Many retirees live in Hinsdale County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,0.07,0.09,0.02,0.08,0.09,0.12,0.28,0.25,0.15,0.25,0.31,0.5499999999999998,0.25,-0.13793103448275856,0.23,-0.14814814814814814,0.06,-0.5,,,,,,,,0.026000000000000002,0.099,0.004,0.9,0.06,0.02,0.0,0.02,0.0,0.0,0.0,0.45,0.55,0.18,0.23,0.3,0.21,0.08,0.27,0.34,0.25,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/lincoln-county-ks/,B minus,B,C minus,C+,C,B+,B minus,A,C+,C,B minus,"Lincoln County is located in Kansas with a population of 3,044. In Lincoln County, most residents own their homes. Many retirees live in Lincoln County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,0.1,0.13,0.07,0.07,0.11,0.12,0.16,0.24,0.09,-0.25,0.13,-0.35,0.39,0.3448275862068968,0.31,0.14814814814814814,0.07,-0.41666666666666663,,,,,,,,0.021,0.08900000000000001,0.003,0.95,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.2,0.3,0.21,0.25,0.04,0.26,0.35,0.27,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/mercer-county-mo/,B minus,B+,C,C+,C,C+,B minus,A,B minus,C,B minus,"Mercer County is located in Missouri with a population of 3,644. In Mercer County, most residents own their homes. Many retirees live in Mercer County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,0.14,0.11,0.09,0.08,0.1,0.12,0.16,0.21,0.07,-0.41666666666666663,0.12,-0.4,0.22,-0.2413793103448275,0.47,0.7407407407407405,0.12,0.0,,,,,,,,0.015,0.10099999999999999,0.011000000000000001,0.96,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.28,0.2,0.24,0.25,0.03,0.33,0.35,0.2,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/big-stone-county-mn/,B,B+,B,C+,C,B,C,A,C+,C,A minus,"Big Stone County is located in Minnesota with a population of 4,996. In Big Stone County, most residents own their homes. Many retirees live in Big Stone County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,0.12,0.09,0.06,0.1,0.09,0.11,0.17,0.26,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.32,0.10344827586206917,0.45,0.6666666666666665,0.07,-0.41666666666666663,,,,,,,,0.018000000000000002,0.102,0.006999999999999999,0.96,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.24,0.18,0.24,0.29,0.05,0.26,0.32,0.3,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/mcpherson-county-ne/,B,C+,C minus,C minus,C minus,A,A+,A minus,C,C+,B minus,"McPherson County is located in Nebraska with a population of 395. In McPherson County, most residents own their homes. Residents of McPherson County tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,0.07,0.09,0.03,0.07,0.06,0.19,0.19,0.3,0.04,-0.6666666666666666,0.18,-0.10000000000000009,0.43,0.48275862068965525,0.24,-0.11111111111111116,0.11,-0.08333333333333326,,,,,,,,0.0,0.171,0.003,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.48,0.29,0.17,0.26,0.21,0.06,0.28,0.25,0.33,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/hickman-county-ky/,B,B+,D minus,B minus,B minus,C,B minus,A,C,C+,B,"Hickman County is located in Kentucky with a population of 4,510. In Hickman County, most residents own their homes. Many retirees live in Hickman County and residents tend to be conservative.",,,,,,,,0.17,0.83,,,,,,,,0.08,0.11,0.08,0.08,0.12,0.13,0.15,0.24,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.23,-0.2068965517241378,0.42,0.5555555555555554,0.2,0.6666666666666667,,,0,0,1,0,0,0.033,0.149,0.001,0.86,0.02,0.02,0.08,0.0,0.01,0.0,0.0,0.47,0.53,0.29,0.26,0.19,0.19,0.07,0.36,0.29,0.23,0.12,,,,,,,
0,https://www.niche.com/places-to-live/c/garfield-county-wa/,C+,B,C minus,B minus,C+,C+,A minus,B minus,C+,A minus,B minus,"Garfield County is located in Washington with a population of 2,230. In Garfield County, most residents own their homes. Many retirees live in Garfield County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,0.11,0.13,0.03,0.11,0.1,0.11,0.16,0.25,0.08,-0.33333333333333326,0.17,-0.15000000000000002,0.42,0.4482758620689655,0.28,0.03703703703703698,0.06,-0.5,,,,,,,,0.038,0.10300000000000001,0.023,0.89,0.02,0.05,0.0,0.0,0.03,0.0,0.0,0.51,0.49,0.18,0.24,0.27,0.29,0.02,0.24,0.35,0.27,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/hot-springs-county-wy/,B,B,B,C+,C,C+,C+,B minus,B minus,B,A minus,"Hot Springs County is located in Wyoming with a population of 4,607. In Hot Springs County, most residents own their homes. Many retirees live in Hot Springs County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,0.12,0.08,0.05,0.11,0.12,0.12,0.16,0.24,0.08,-0.33333333333333326,0.15,-0.2500000000000001,0.41,0.4137931034482758,0.3,0.11111111111111094,0.05,-0.5833333333333333,,,,,,,,0.018000000000000002,0.153,0.002,0.93,0.04,0.01,0.0,0.03,0.0,0.0,0.0,0.5,0.5,0.23,0.2,0.2,0.31,0.06,0.27,0.31,0.22,0.21,,,,,,,
0,https://www.niche.com/places-to-live/c/san-juan-county-co/,A minus,C,B+,C+,C+,C,C minus,D+,B minus,B+,A+,"San Juan County is located in Colorado with a population of 589. In San Juan County, most residents own their homes. Many young professionals and retirees live in San Juan County and residents tend to lean liberal.",,,,,,,,0.37,0.63,,,,,,,,0.05,0.07,0.05,0.12,0.09,0.15,0.21,0.25,0.09,-0.25,0.26,0.30000000000000004,0.32,0.10344827586206917,0.26,-0.03703703703703709,0.06,-0.5,,,,,,,,0.013000000000000001,0.053,0.0,0.89,0.08,0.02,0.0,0.01,0.0,0.0,0.0,0.5,0.5,0.17,0.22,0.29,0.24,0.08,0.22,0.31,0.31,0.15,,,,,,,
0,https://www.niche.com/places-to-live/c/calhoun-county-il/,B,B+,B+,C+,C minus,B minus,A minus,A minus,C+,B minus,C minus,"Calhoun County is located in Illinois with a population of 4,830. In Calhoun County, most residents own their homes. Many retirees live in Calhoun County and residents tend to be conservative.",,,,,,,,0.13,0.87,,,,,,,,0.09,0.12,0.07,0.09,0.1,0.14,0.16,0.23,0.06,-0.5,0.08,-0.6000000000000001,0.34,0.1724137931034484,0.43,0.5925925925925926,0.08,-0.33333333333333326,,,,,,,,0.016,0.115,0.002,0.97,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.5,0.5,0.22,0.15,0.22,0.35,0.06,0.3,0.28,0.24,0.18,,,,,,,
0,https://www.niche.com/places-to-live/c/red-lake-county-mn/,B,A minus,B,B minus,C+,C+,C minus,A,C,C minus,C+,"Red Lake County is located in Minnesota with a population of 4,015. In Red Lake County, most residents own their homes. Many retirees live in Red Lake County and residents tend to be conservative.",,,,,,,,0.16,0.84,,,,,,,,0.13,0.12,0.06,0.1,0.13,0.12,0.16,0.2,0.03,-0.75,0.13,-0.35,0.39,0.3448275862068968,0.37,0.37037037037037024,0.07,-0.41666666666666663,,,,,,,,0.019,0.10400000000000001,0.004,0.92,0.04,0.02,0.0,0.02,0.0,0.0,0.0,0.51,0.49,0.19,0.2,0.21,0.35,0.05,0.24,0.3,0.32,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/hudspeth-county-tx/,C,A minus,C+,C,B,B+,A minus,A,C+,C minus,C+,"Hudspeth County is located in Texas with a population of 4,415. In Hudspeth County, most residents own their homes. Many families live in Hudspeth County and residents tend to lean conservative.",,,,,,,,0.28,0.72,,,,,,,,0.15,0.1,0.09,0.16,0.13,0.1,0.13,0.15,0.01,-0.9166666666666666,0.1,-0.5,0.14,-0.5172413793103448,0.31,0.14814814814814814,0.44,2.666666666666667,,,,,,,,0.031,0.237,0.32899999999999996,0.17,0.78,0.02,0.02,0.0,0.01,0.0,0.0,0.5,0.5,0.36,0.3,0.22,0.07,0.05,0.53,0.29,0.15,0.04,,,,,,,
0,https://www.niche.com/places-to-live/c/divide-county-nd/,C,B minus,B minus,C,C+,A,B minus,A,C+,C,B minus,"Divide County is located in North Dakota with a population of 2,335. In Divide County, most residents own their homes. Many retirees live in Divide County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,0.11,0.09,0.06,0.06,0.11,0.13,0.17,0.27,0.02,-0.8333333333333333,0.16,-0.20000000000000007,0.41,0.4137931034482758,0.34,0.2592592592592593,0.07,-0.41666666666666663,,,,,,,,0.006999999999999999,0.09,0.012,0.89,0.04,0.01,0.03,0.01,0.01,0.0,0.0,0.48,0.52,0.2,0.2,0.19,0.24,0.17,0.3,0.19,0.24,0.26,,,,,,,
0,https://www.niche.com/places-to-live/c/jackson-county-co/,B minus,B,B minus,C+,B minus,A minus,C,B minus,C+,A minus,B minus,"Jackson County is located in Colorado with a population of 1,261. In Jackson County, most residents own their homes. Many retirees live in Jackson County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,0.06,0.09,0.08,0.09,0.1,0.12,0.18,0.28,0.03,-0.75,0.17,-0.15000000000000002,0.39,0.3448275862068968,0.28,0.03703703703703698,0.13,0.08333333333333348,,,,,,,,0.01,0.09699999999999999,0.021,0.82,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.19,0.22,0.31,0.24,0.04,0.25,0.39,0.24,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/comanche-county-ks/,B minus,B,C minus,C,C,B,B+,A+,C,C minus,A minus,"Comanche County is located in Kansas with a population of 1,740. In Comanche County, most residents own their homes. Many retirees live in Comanche County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,0.1,0.12,0.06,0.05,0.13,0.11,0.17,0.26,0.03,-0.75,0.13,-0.35,0.43,0.48275862068965525,0.35,0.29629629629629606,0.06,-0.5,,,,,,,,0.022000000000000002,0.105,0.004,0.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.47,0.23,0.21,0.21,0.27,0.07,0.24,0.34,0.28,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/culberson-county-tx/,C,B,C,C,B+,B minus,A,A,C,C,B+,"Culberson County is located in Texas with a population of 2,214. In Culberson County, most residents own their homes. Many families live in Culberson County and residents tend to be liberal.",,,,,,,,0.33,0.67,,,,,,,,0.19,0.1,0.07,0.15,0.09,0.14,0.12,0.15,0.02,-0.8333333333333333,0.08,-0.6000000000000001,0.21,-0.27586206896551724,0.35,0.29629629629629606,0.34,1.8333333333333335,,,,,,,,0.061,0.268,0.051,0.25,0.71,0.03,0.0,0.0,0.01,0.0,0.0,0.57,0.43,0.34,0.23,0.21,0.21,0.0,0.4,0.42,0.11,0.06,,,,,,,
0,https://www.niche.com/places-to-live/c/morton-county-ks/,B,B minus,C,C+,B+,B minus,B minus,A minus,C,D minus,B,"Morton County is located in Kansas with a population of 2,754. In Morton County, most residents own their homes. Many retirees live in Morton County and residents tend to be conservative.",,,,,,,,0.31,0.69,,,,,,,,0.14,0.12,0.07,0.13,0.08,0.12,0.13,0.21,0.04,-0.6666666666666666,0.13,-0.35,0.39,0.3448275862068968,0.28,0.03703703703703698,0.16,0.3333333333333335,,,,,,,,0.013999999999999999,0.1,0.065,0.71,0.23,0.04,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.22,0.26,0.23,0.25,0.05,0.26,0.32,0.28,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/garden-county-ne/,B minus,B+,C+,C,C,B minus,unavailable,A,C,C minus,B+,"Garden County is located in Nebraska with a population of 1,864. In Garden County, most residents own their homes. Many retirees live in Garden County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,0.07,0.13,0.03,0.09,0.12,0.13,0.16,0.28,0.06,-0.5,0.17,-0.15000000000000002,0.4,0.3793103448275863,0.32,0.18518518518518512,0.06,-0.5,,,,,,,,0.006,0.078,0.025,0.94,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.2,0.32,0.23,0.21,0.04,0.27,0.33,0.26,0.13,,,,,,,
