"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","TR-2 Measure Description","TR-2 %","TR-2 Denominator","TR-2 Footnote","Start Date","End Date","FUH Measure Description","FUH-30 %","FUH-30 Denominator","FUH-30 Footnote","FUH-7 %","FUH-7 Denominator","FUH-7 Footnote","FUH Measure Start Date","FUH Measure End Date","MedCoPsy Measure Desc","MedCoPsy %","MedCoPsy Denominator","MedCoPsy Footnote","MedCoPsy Measure Start Date","MedCoPsy Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,Juneau,Hours of physical-restraint use,0.11,9.11,3428,,Hours of seclusion use,0.24,19.63,3428,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),84,160,,Alcohol use brief intervention provided or offered,97,34,,91,34,,Alcohol and other drug use disorder treatment provided or offered at discharge,56,54,,39,54,,Tobacco use treatment provided or offered,96,56,,80,56,,Tobacco use treatment provided or offered at discharge,40,50,,6,50,,Transition record with specified elements received by discharged patients (TR1),69,415,,Timely transmission of transition record (TR2),51,415,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51.5,68,,19.1,68,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,69.2,107,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,184,21.8,17.5,26.4,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),96,193,,10/01/2019,03/31/2020
024001,NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,AK,99508,Anchorage,Hours of physical-restraint use,0.10,75.83,30854,,Hours of seclusion use,0.26,195.6,30854,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),82,320,,Alcohol use brief intervention provided or offered,96,150,,95,150,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,172,,38,172,,Tobacco use treatment provided or offered,99,168,,64,168,,Tobacco use treatment provided or offered at discharge,86,140,,1,140,,Transition record with specified elements received by discharged patients (TR1),83,675,,Timely transmission of transition record (TR2),72,675,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),97,126,,10/01/2019,03/31/2020
024002,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER STREET,ANCHORAGE,AK,99508,Anchorage,Hours of physical-restraint use,0.25,80.25,13520,,Hours of seclusion use,0.32,102.82,13520,,Patients discharged on multiple antipsychotic medications with appropriate justification,82.00,39,,Screening for metabolic disorders (SMD),0,394,,Alcohol use brief intervention provided or offered,0,60,,0,60,,Alcohol and other drug use disorder treatment provided or offered at discharge,0,111,,0,111,,Tobacco use treatment provided or offered,81,184,,5,184,,Tobacco use treatment provided or offered at discharge,0,153,,0,153,,Transition record with specified elements received by discharged patients (TR1),0,343,,Timely transmission of transition record (TR2),0,343,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,43.3,60,,21.7,60,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,58.8,102,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,221,21.3,17.3,25.7,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),99,79,,10/01/2019,03/31/2020
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,Maricopa,Hours of physical-restraint use,0.01,1.32,10030,,Hours of seclusion use,0.00,0.5,10030,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),87,350,,Alcohol use brief intervention provided or offered,87,45,,87,45,,Alcohol and other drug use disorder treatment provided or offered at discharge,56,41,,51,41,,Tobacco use treatment provided or offered,42,40,,35,40,,Tobacco use treatment provided or offered at discharge,59,27,,56,27,,Transition record with specified elements received by discharged patients (TR1),86,609,,Timely transmission of transition record (TR2),73,609,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54.8,31,,32.3,31,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,80,18.9,14.7,24.1,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),99,295,,10/01/2019,03/31/2020
030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,Pima,Hours of physical-restraint use,0.00,0,3733,,Hours of seclusion use,0.00,0,3733,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),85,148,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),28,71,,Timely transmission of transition record (TR2),11,71,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39.1,46,,30.4,46,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,299,22.5,18.0,27.7,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),81,144,,10/01/2019,03/31/2020
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,Yavapai,Hours of physical-restraint use,0.00,0,281,,Hours of seclusion use,0.00,0,281,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),95,21,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),83,36,,Timely transmission of transition record (TR2),75,36,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,75,12,,58.3,12,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,39,20.2,14.7,27.4,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,7,10/01/2019,03/31/2020
030010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,Pima,Hours of physical-restraint use,0.01,5.9,16941,,Hours of seclusion use,0.00,0,16941,,Patients discharged on multiple antipsychotic medications with appropriate justification,13.00,15,,Screening for metabolic disorders (SMD),42,265,,Alcohol use brief intervention provided or offered,78,239,,78,239,,Alcohol and other drug use disorder treatment provided or offered at discharge,78,202,,75,202,,Tobacco use treatment provided or offered,63,189,,60,189,,Tobacco use treatment provided or offered at discharge,27,142,,22,142,,Transition record with specified elements received by discharged patients (TR1),37,611,,Timely transmission of transition record (TR2),17,611,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,59.6,47,,38.3,47,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,175,22.2,17.6,27.3,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),88,156,,10/01/2019,03/31/2020
030011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,Pima,Hours of physical-restraint use,0.01,2.2,12439,,Hours of seclusion use,0.00,0,12439,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),83,212,,Alcohol use brief intervention provided or offered,90,288,,90,288,,Alcohol and other drug use disorder treatment provided or offered at discharge,78,358,,78,358,,Tobacco use treatment provided or offered,92,320,,87,320,,Tobacco use treatment provided or offered at discharge,80,289,,48,289,,Transition record with specified elements received by discharged patients (TR1),79,612,,Timely transmission of transition record (TR2),75,612,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,33.3,12,,25,12,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,54,22.7,17.8,28.4,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),97,154,,10/01/2019,03/31/2020
030022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,Maricopa,Hours of physical-restraint use,3.39,7641.27,94044,,Hours of seclusion use,0.99,2244.15,94044,,Patients discharged on multiple antipsychotic medications with appropriate justification,97.00,196,,Screening for metabolic disorders (SMD),99,716,,Alcohol use brief intervention provided or offered,97,102,,89,102,,Alcohol and other drug use disorder treatment provided or offered at discharge,95,313,,95,313,,Tobacco use treatment provided or offered,98,408,,80,408,,Tobacco use treatment provided or offered at discharge,97,336,,34,336,,Transition record with specified elements received by discharged patients (TR1),99,885,,Timely transmission of transition record (TR2),96,885,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,65.7,280,,48.6,280,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,78.5,427,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better than the National Rate,616,13.6,11.3,16.1,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,430,,10/01/2019,03/31/2020
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86002,Coconino,Hours of physical-restraint use,0.10,6.18,2513,,Hours of seclusion use,0.07,4,2513,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,7,Screening for metabolic disorders (SMD),96,80,,Alcohol use brief intervention provided or offered,90,42,,90,42,,Alcohol and other drug use disorder treatment provided or offered at discharge,72,46,,50,46,,Tobacco use treatment provided or offered,88,25,,32,25,,Tobacco use treatment provided or offered at discharge,80,20,,10,20,,Transition record with specified elements received by discharged patients (TR1),81,277,,Timely transmission of transition record (TR2),79,277,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,57.1,21,,28.6,21,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,71,20.5,15.4,27.1,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),97,168,,10/01/2019,03/31/2020
030037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,Maricopa,Hours of physical-restraint use,0.00,0.02,10255,,Hours of seclusion use,0.00,0,10255,,Patients discharged on multiple antipsychotic medications with appropriate justification,52.00,25,,Screening for metabolic disorders (SMD),99,375,,Alcohol use brief intervention provided or offered,76,46,,74,46,,Alcohol and other drug use disorder treatment provided or offered at discharge,59,108,,59,108,,Tobacco use treatment provided or offered,50,134,,37,134,,Tobacco use treatment provided or offered at discharge,81,121,,81,121,,Transition record with specified elements received by discharged patients (TR1),59,614,,Timely transmission of transition record (TR2),58,614,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,53.8,106,,34.9,106,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,76.6,201,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,343,18.6,15.3,22.9,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),67,78,,10/01/2019,03/31/2020
030043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,Cochise,Hours of physical-restraint use,0.00,0.12,4541,,Hours of seclusion use,0.04,4.34,4541,,Patients discharged on multiple antipsychotic medications with appropriate justification,43.00,35,,Screening for metabolic disorders (SMD),99,340,,Alcohol use brief intervention provided or offered,98,125,,70,125,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,156,,96,156,,Tobacco use treatment provided or offered,91,337,,11,337,,Tobacco use treatment provided or offered at discharge,75,264,,42,264,,Transition record with specified elements received by discharged patients (TR1),94,616,,Timely transmission of transition record (TR2),64,616,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,45.8,48,,31.3,48,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,115,23.2,17.9,29.6,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),93,139,,10/01/2019,03/31/2020
030089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,Maricopa,Hours of physical-restraint use,0.07,41.05,23984,,Hours of seclusion use,0.00,0.37,23984,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),85,298,,Alcohol use brief intervention provided or offered,79,14,,64,14,,Alcohol and other drug use disorder treatment provided or offered at discharge,48,25,,48,25,,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),82,631,,Timely transmission of transition record (TR2),78,631,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,60.8,97,,42.3,97,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,75.9,137,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,205,22.6,18.5,27.1,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),99,304,,10/01/2019,03/31/2020
030093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,Maricopa,Hours of physical-restraint use,0.01,8.39,31060,,Hours of seclusion use,0.00,3.67,31060,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),84,316,,Alcohol use brief intervention provided or offered,67,27,,59,27,,Alcohol and other drug use disorder treatment provided or offered at discharge,80,45,,73,45,,Tobacco use treatment provided or offered,94,48,,67,48,,Tobacco use treatment provided or offered at discharge,96,46,,37,46,,Transition record with specified elements received by discharged patients (TR1),87,629,,Timely transmission of transition record (TR2),79,629,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,48.2,168,,31,168,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,75.2,254,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,744,22.8,19.8,26.0,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),99,312,,10/01/2019,03/31/2020
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713,Pima,Hours of physical-restraint use,0.01,0.68,3150,,Hours of seclusion use,0.00,0.07,3150,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),81,59,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),76,103,,Timely transmission of transition record (TR2),71,103,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54.8,31,,32.3,31,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,157,20.9,16.3,26.5,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,45,,10/01/2019,03/31/2020
030114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,Pima,Hours of physical-restraint use,0.15,14,3863,,Hours of seclusion use,0.01,1,3863,,Patients discharged on multiple antipsychotic medications with appropriate justification,27.00,11,,Screening for metabolic disorders (SMD),95,165,,Alcohol use brief intervention provided or offered,90,126,,75,126,,Alcohol and other drug use disorder treatment provided or offered at discharge,72,144,,52,144,,Tobacco use treatment provided or offered,94,121,,12,121,,Tobacco use treatment provided or offered at discharge,90,31,,3,31,,Transition record with specified elements received by discharged patients (TR1),74,427,,Timely transmission of transition record (TR2),55,427,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,59.6,47,,36.2,47,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,75,100,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,185,19.5,15.2,24.7,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),87,203,,10/01/2019,03/31/2020
030121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,Maricopa,Hours of physical-restraint use,0.00,0,4404,,Hours of seclusion use,0.00,0,4404,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,252,,Alcohol use brief intervention provided or offered,92,13,,92,13,,Alcohol and other drug use disorder treatment provided or offered at discharge,21,29,,21,29,,Tobacco use treatment provided or offered,74,46,,65,46,,Tobacco use treatment provided or offered at discharge,97,38,,97,38,,Transition record with specified elements received by discharged patients (TR1),72,404,,Timely transmission of transition record (TR2),64,404,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44.6,65,,23.1,65,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,74.5,94,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,253,19.9,15.6,24.9,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),92,210,,10/01/2019,03/31/2020
034004,BANNER BEHAVIORAL HEALTH HOSPITAL,7575 EAST EARLL DRIVE,SCOTTSDALE,AZ,85251,Maricopa,Hours of physical-restraint use,0.07,73.72,42625,,Hours of seclusion use,0.03,27.3,42625,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),88,501,,Alcohol use brief intervention provided or offered,88,182,,86,182,,Alcohol and other drug use disorder treatment provided or offered at discharge,81,307,,79,307,,Tobacco use treatment provided or offered,91,180,,80,180,,Tobacco use treatment provided or offered at discharge,70,165,,25,165,,Transition record with specified elements received by discharged patients (TR1),82,1240,,Timely transmission of transition record (TR2),65,1240,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,62.7,134,,41,134,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,73.3,206,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,335,20.7,17.1,24.6,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,612,,10/01/2019,03/31/2020
034013,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",1800 EAST VAN BUREN,PHOENIX,AZ,85006,Maricopa,Hours of physical-restraint use,0.06,58.98,41634,,Hours of seclusion use,0.03,29.06,41634,,Patients discharged on multiple antipsychotic medications with appropriate justification,59.00,124,,Screening for metabolic disorders (SMD),95,748,,Alcohol use brief intervention provided or offered,82,244,,80,244,,Alcohol and other drug use disorder treatment provided or offered at discharge,74,590,,74,590,,Tobacco use treatment provided or offered,69,598,,54,598,,Tobacco use treatment provided or offered at discharge,91,568,,91,568,,Transition record with specified elements received by discharged patients (TR1),73,1268,,Timely transmission of transition record (TR2),53,1268,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,59.7,176,,50.6,176,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,75.3,324,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,456,21.8,18.7,25.0,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),91,321,,10/01/2019,03/31/2020
034020,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,"1201 SOUTH 7TH AVENUE, SUITE 200",PHOENIX,AZ,85007,Maricopa,Hours of physical-restraint use,0.03,13.51,18921,,Hours of seclusion use,0.04,19.8,18921,,Patients discharged on multiple antipsychotic medications with appropriate justification,38.00,29,,Screening for metabolic disorders (SMD),99,355,,Alcohol use brief intervention provided or offered,55,129,,40,129,,Alcohol and other drug use disorder treatment provided or offered at discharge,23,247,,7,247,,Tobacco use treatment provided or offered,74,257,,35,257,,Tobacco use treatment provided or offered at discharge,12,248,,1,248,,Transition record with specified elements received by discharged patients (TR1),95,557,,Timely transmission of transition record (TR2),19,557,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,146,,34.2,146,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,75.5,241,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,553,22.5,19.3,26.3,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),52,153,,10/01/2019,03/31/2020
034021,ARIZONA STATE HOSPITAL,2500 EAST VAN BUREN STREET,PHOENIX,AZ,85008,Maricopa,Hours of physical-restraint use,0.36,198.45,22949,,Hours of seclusion use,0.52,287.3,22949,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,19,,Screening for metabolic disorders (SMD),Not Available,Not Available,1,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),3,36,,Timely transmission of transition record (TR2),3,36,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,1,10/01/2019,03/31/2020
